,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,new_addition,apt_id,github-id
55,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-02-01 18:10:26.000000,2024-02-01 08:41:19,1512.0,92.0,100.0,28.0,1605.0,47.0,279.0,2238.0,2024-01-16 08:53:43,0.33.0,56.0,20.0,20.0,26.0,,,1556.0,3.0,,ghcr.io/cerbos/cerbos,54462.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
56,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-01-30 16:11:37.000000,2023-12-17 17:09:26,2994.0,37.0,289.0,79.0,838.0,285.0,614.0,1757.0,2023-12-17 18:26:45,5.7.8,52.0,3.0,3.0,86.0,https://www.npmjs.com/package/solid-server,808.0,9480.0,1.0,,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-12-17 18:38:41.970023,4.0,980034.0,,,,,,,,,,,,
57,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-01-31 23:14:18.000000,2024-01-31 18:19:22,464.0,32.0,65.0,29.0,144.0,5.0,47.0,189.0,2024-01-13 07:12:48,10.1.3,57.0,1450.0,1450.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,19255.0,19255.0,1.0,,,,,,,,,,,,,,,,,,,
58,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,27,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-02-01 16:51:01.000000,2024-02-01 07:59:53,2831.0,160.0,359.0,36.0,4913.0,473.0,1461.0,6132.0,2024-01-31 14:32:34,2.43.7,100.0,,,97.0,,,529.0,3.0,,ghcr.io/zitadel/zitadel,2118.0,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,,
59,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2024-02-01 15:29:59.000000,2024-02-01 11:56:26,13546.0,650.0,444.0,33.0,6380.0,474.0,1332.0,5703.0,2024-01-29 17:26:20,ersion/2023.10.7,100.0,,,210.0,,,91.0,3.0,,,2642.0,,,,,,,,https://charts.goauthentik.io,,,,,,,,
60,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,27,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2024-01-27 10:17:37.000000,2024-01-25 08:40:46,2453.0,30.0,736.0,70.0,243.0,,,2930.0,2024-01-17 08:17:36,8.4.5,100.0,3.0,3.0,72.0,https://www.npmjs.com/package/oidc-provider,178652.0,178652.0,2.0,,,,,,,,,,,,,,,,,,,
61,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2024-02-01 08:50:54.931893,2024-02-01 02:00:29,1772.0,100.0,121.0,18.0,1763.0,134.0,522.0,1865.0,2023-10-31 12:08:26,1.1.0-rc.15,17.0,42.0,42.0,62.0,,,1822.0,3.0,,kanidm/server,250.0,https://hub.docker.com/r/kanidm/server,2024-02-01 08:50:54.931893,,109094.0,,,,,,,,,,,,
62,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2024-02-01 13:50:04.000000,2024-02-01 13:50:03,33623.0,482.0,57.0,31.0,4416.0,344.0,2748.0,352.0,2024-02-01 08:06:08,1.0.22,100.0,,,111.0,,,276.0,3.0,,,1104.0,,,,,,,,,,,,,,,,
63,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2024-02-01 17:21:38.000000,2024-01-18 09:12:14,359.0,5.0,40.0,23.0,97.0,2.0,47.0,163.0,2024-01-18 09:12:30,4.0.0,54.0,859.0,859.0,22.0,https://www.npmjs.com/package/did-jwt-vc,17905.0,17905.0,1.0,,,,,,,,,,,,,,,,,,,
64,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,25,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2024-01-29 17:54:06.000000,2024-01-29 17:54:05,6051.0,118.0,308.0,409.0,4166.0,118.0,417.0,1678.0,2024-01-17 19:18:46,1.7.0,28.0,,,149.0,,,0.0,2.0,,,51.0,,,,,,,,,,,,,,,,
65,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2024-01-31 18:10:36.000000,2024-01-31 18:10:36,2963.0,98.0,262.0,52.0,2238.0,37.0,204.0,834.0,2024-01-31 05:49:52,1.11.51,100.0,27.0,27.0,81.0,,,,2.0,,,,,,,,,,,,,,,,,,,
66,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2024-02-01 18:14:14.000000,2024-01-31 16:38:23,1841.0,25.0,113.0,23.0,758.0,61.0,362.0,381.0,2024-01-16 17:06:31,5.6.0,43.0,561.0,561.0,54.0,,,,1.0,,,,,,,,,,,,,,,,,,,
67,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2024-02-01 00:55:03.000000,2024-01-31 15:30:20,8737.0,451.0,439.0,30.0,1611.0,212.0,929.0,379.0,2023-11-25 05:08:09,0.11.0,73.0,,,134.0,,,,1.0,,,,,,,,,,,,,,,,,,,
68,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,24,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2024-01-26 13:50:46.000000,2024-01-26 13:50:46,615.0,24.0,151.0,35.0,258.0,61.0,173.0,1014.0,2022-09-28 20:32:17,3.0.1,14.0,228.0,228.0,44.0,,,,3.0,,,,,,,,,,,,,,,,,,,
69,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],24,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-02-01 02:35:53.000000,2024-02-01 02:34:29,442.0,45.0,92.0,18.0,427.0,62.0,184.0,318.0,2024-01-26 20:37:43,0.2.14,32.0,350.0,350.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,,,,
70,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2024-02-01 17:17:44.000000,2024-01-26 14:33:50,1431.0,19.0,71.0,23.0,994.0,53.0,217.0,275.0,2023-11-02 09:48:53,1.0.0,24.0,110.0,110.0,35.0,,,,2.0,,,,,,,,,,,,,,,,,,,
71,hanko,https://github.com/teamhanko/hanko,idp,Auth and user management for the passkey era.,,,23,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2024-02-01 11:38:43.000000,2024-01-31 13:04:40,1956.0,68.0,806.0,27.0,1119.0,44.0,118.0,5223.0,2023-11-27 14:20:28,backend/v0.9.1,18.0,215.0,215.0,43.0,,,1.0,3.0,,,21.0,,,,,,,,,,,,,,,,
72,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2024-01-23 19:06:26.000000,2023-12-08 22:18:11,4035.0,11.0,757.0,255.0,329.0,62.0,210.0,2824.0,2015-09-29 22:50:55,1.1.0,4.0,,,56.0,,,892.0,3.0,,,109777.0,,,,,,,,,,,,,,,,
73,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2024-02-01 10:37:42.000000,2024-01-31 09:33:14,2516.0,441.0,100.0,18.0,881.0,26.0,130.0,2266.0,2024-02-01 10:45:31,0.7.3,57.0,1.0,1.0,40.0,,,81.0,3.0,,ghcr.io/permify/permify,1471.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
74,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2024-01-31 22:26:18.000000,2023-12-20 10:28:40,1684.0,7.0,124.0,21.0,358.0,38.0,77.0,2021.0,2023-09-14 19:06:35,0.7.4,32.0,,,46.0,,,4048.0,3.0,,permitio/opal-server,562.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,1.0,145183.0,,,,,,,,,,,,
75,maxkey,https://github.com/dromara/MaxKey,idp,"MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) ProductIAM-IDaas,OAuth2.xOpenID..",,,23,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2024-01-10 10:36:35.000000,2024-01-05 02:13:29,2229.0,18.0,260.0,26.0,90.0,8.0,88.0,1105.0,2023-10-11 13:10:11,4.0.2,57.0,,,37.0,,,86.0,3.0,,maxkeytop/maxkey,,https://hub.docker.com/r/maxkeytop/maxkey,2023-10-11 12:25:07.733007,5.0,7551.0,,,,,,,,,,True,,
76,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2024-02-01 09:18:41.000000,2024-01-30 17:27:12,15779.0,76.0,310.0,51.0,7212.0,,,1052.0,,,,,,222.0,,,40149.0,3.0,,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2024-01-31 05:06:33.435128,161.0,5661139.0,,,,,,,,,,,,
77,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2024-01-29 23:54:32.000000,2024-01-23 12:40:14,1689.0,19.0,219.0,59.0,286.0,26.0,82.0,507.0,2022-01-07 16:42:38,0.5.0,6.0,,,100.0,,,1532.0,2.0,,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2024-01-23 12:42:08.376657,,119520.0,,,,,,,,,,,,
78,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2024-02-01 15:41:04.000000,2024-02-01 15:38:55,888.0,57.0,151.0,28.0,1053.0,176.0,471.0,220.0,2023-10-05 13:35:35,0.4.2,77.0,3.0,3.0,57.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
79,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],23,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-01-31 22:26:26.000000,2024-01-29 02:52:17,388.0,11.0,41.0,24.0,128.0,3.0,18.0,201.0,2023-03-08 14:05:37,4.1.0,24.0,5537.0,5537.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,,
80,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2024-01-31 03:29:21.000000,2024-01-31 03:29:21,769.0,153.0,36.0,16.0,211.0,23.0,80.0,63.0,2023-06-02 16:26:49,0.1.0,27.0,62.0,62.0,22.0,,,4089.0,2.0,,,53157.0,,,,,,,,,,,,,,,,
81,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,3042.0,285.0,25.0,1.0,143.0,19869.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,23264.0,3.0,,,744465.0,,,,,,,,,,,,,,,,
82,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,22,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2024-01-30 07:08:56.000000,2024-01-05 08:55:10,931.0,23.0,414.0,62.0,437.0,109.0,349.0,11167.0,2023-12-07 05:06:05,7.0.16,57.0,,,26.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
83,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2024-01-24 17:15:00.000000,2024-01-17 13:25:40,562.0,4.0,280.0,59.0,146.0,182.0,550.0,5184.0,2020-09-02 15:57:23,2.6.1,11.0,,,61.0,,,212.0,3.0,,,15320.0,,,,,,,,,,,,,,,howdy,
84,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],22,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2024-01-15 13:57:58.000000,2024-01-15 13:57:58,1279.0,8.0,262.0,90.0,488.0,25.0,160.0,2807.0,2021-06-23 10:02:43,ctap2.0,1.0,78.0,78.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,
85,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,22,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,,123.0,48.0,1887.0,207.0,901.0,734.0,2023-08-04 21:07:07,1.20.0,73.0,,,96.0,,,76567.0,3.0,-2.0,cyberark/conjur,378.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7043727.0,,,,,,,,,,,,
86,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2024-01-30 14:52:06.000000,2024-01-29 17:59:54,14915.0,34.0,651.0,113.0,17.0,,,673.0,,,,122.0,122.0,727.0,,,,3.0,,,,,,,,,,,,,,,,,,,
87,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,22,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2024-02-01 01:55:57.000000,2024-02-01 00:47:43,13258.0,171.0,126.0,11.0,1765.0,933.0,1963.0,290.0,2023-06-16 12:51:58,11.4.3,55.0,,,85.0,,,103.0,3.0,,,7726.0,,,,,,,,,,,,,,,,
88,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2024-01-31 21:24:56.000000,2024-01-29 02:01:43,286.0,14.0,15.0,14.0,117.0,1.0,10.0,80.0,2023-07-03 18:25:08,2.0.27,38.0,863.0,863.0,12.0,https://www.npmjs.com/package/web-did-resolver,18042.0,18042.0,2.0,,,,,,,,,,,,,,,,,,,
89,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-12-18 22:01:36.000000,2023-08-31 21:53:17,639.0,,268.0,66.0,222.0,8.0,123.0,3657.0,2022-02-09 12:50:28,1.0.1,2.0,10.0,10.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,,
90,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2024-01-29 16:52:29.000000,2024-01-24 20:18:51,2247.0,61.0,151.0,179.0,846.0,68.0,1047.0,1066.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,74.0,,,,1.0,,,,,,,,,,,,,,,,,,,
91,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,21,True,github/webauthn-json,github/webauthn-json,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2023-09-06 10:03:37.000000,2023-07-17 21:06:20,282.0,,51.0,246.0,28.0,6.0,39.0,698.0,2023-01-31 02:32:05,2.1.1,52.0,1111.0,1111.0,12.0,https://www.npmjs.com/package/github/webauthn-json,,,3.0,,,,,,,,,,,,,,,,,,,
92,sidetree,https://github.com/decentralized-identity/sidetree,specs,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-12-18 20:07:43.000000,2023-04-04 19:14:54,1149.0,,103.0,40.0,682.0,37.0,441.0,431.0,2021-03-09 22:06:35,1.0.2,12.0,32.0,32.0,47.0,,,,1.0,,,,,,,,,,,,,,,,,,,
93,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,21,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2024-01-31 08:16:37.000000,2024-01-23 08:35:12,1730.0,12.0,100.0,28.0,346.0,36.0,73.0,176.0,2023-06-11 17:23:23,8.4.0,49.0,30.0,30.0,51.0,,,,3.0,,,,,,,,,,,,,,,,,,,
94,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2024-01-30 11:54:01.000000,2024-01-30 11:52:36,2480.0,93.0,32.0,16.0,3190.0,49.0,96.0,62.0,2023-12-20 18:55:46,2.0.0,22.0,789.0,789.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
95,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4662.0,567.0,122.0,500.0,620.0,13375.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
96,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2024-01-20 11:25:45.000000,2023-10-25 17:45:50,394.0,,669.0,97.0,311.0,155.0,326.0,1640.0,2023-05-01 17:52:41,1.6.2,25.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,,,
97,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn and Apple App Attest server side verification.,,,20,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2024-02-01 07:45:18.000000,2024-02-01 07:44:20,2232.0,63.0,67.0,21.0,726.0,5.0,95.0,363.0,2024-02-01 07:18:11,0.22.1.RELEASE,53.0,,,26.0,,,,3.0,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
98,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,156.0,20.0,2046.0,388.0,1196.0,238.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,61.0,,,,2.0,,,,,,,,,,,,,,,,,,,
99,web5-js,https://github.com/TBD54566975/web5-js,ssi-sdks,"An SDK for building decentralized web apps with DIDs, VCs, and DWNs.",,['web5'],20,True,TBD54566975/web5-js,web5/api,https://github.com/TBD54566975/web5-js,Apache-2.0,2023-03-06 19:11:53,2024-02-01 14:32:34.000000,2024-01-31 17:32:10,429.0,82.0,39.0,6.0,238.0,58.0,96.0,100.0,2024-01-11 22:18:15,api-0.8.4,19.0,65.0,65.0,26.0,https://www.npmjs.com/package/web5/api,,,2.0,,,,,,,,,,,,,,,,,,,
100,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2024-01-26 19:48:38.000000,2024-01-26 19:47:04,1098.0,17.0,16.0,12.0,1264.0,,321.0,28.0,2023-11-16 22:24:18,1.13.0,16.0,,,27.0,,,345.0,2.0,,,9687.0,,,,,,,,,,,,,,,,
101,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2024-01-04 09:29:30.000000,2023-07-12 07:05:13,339.0,,805.0,238.0,240.0,183.0,526.0,2659.0,,,,,,47.0,,,,3.0,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
102,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,269.0,96.0,42.0,28.0,24.0,2429.0,,,,,,26.0,,,1828.0,3.0,,,,,,,,pyja3,https://pypi.org/project/pyja3,1828.0,,,,,,,,,
103,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2024-02-01 12:35:18.000000,2024-02-01 12:35:18,4896.0,9.0,633.0,64.0,1748.0,33.0,49.0,659.0,2022-09-02 20:48:34,1.12.6,36.0,,,101.0,,,10.0,2.0,-1.0,,568.0,,,,,,,,,,,,,,,,
104,aries-rfcs,https://github.com/hyperledger/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2024-01-31 16:53:33.000000,2024-01-31 15:58:58,2185.0,20.0,207.0,56.0,583.0,55.0,172.0,313.0,,,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,,,
105,vc-data-model,https://github.com/w3c/vc-data-model,specs,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],19,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2024-02-01 05:26:51.000000,2024-01-26 14:45:00,1869.0,282.0,81.0,78.0,737.0,36.0,631.0,263.0,,,,,,65.0,,,,2.0,,,,,,,,,,,,,,,,,,,
106,digitalbazaar-vc,https://github.com/digitalbazaar/vc,ssi-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,19,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2024-01-16 16:58:33.000000,2024-01-16 16:58:30,388.0,44.0,44.0,16.0,87.0,23.0,62.0,164.0,,,,233.0,233.0,14.0,,,,2.0,,,,,,,,,,,,,,,,,,,
