,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,trending,gem_url,brew_id,apt_id,github,github-id
54,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,bamos/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3485.0,741.0,77.0,5.0,382.0,15470.0,2024-10-04 12:56:15,0.2.2,,1308.0,5.0,96.0,96.0,31.0,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163602.0,3.0,,,,,,,,,,,,,,,,
55,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,ghcr.io/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2026-02-16 07:58:36.000000,2026-02-16 07:56:20,2359.0,161.0,171.0,33.0,2508.0,48.0,365.0,4223.0,2026-02-04 09:23:48,0.51.0,51321.0,869.0,75.0,33.0,33.0,33.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,3.0,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,
56,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3827.0,348.0,113.0,452.0,393.0,17767.0,2020-03-22 14:01:55,0.22.2,,314383.0,38.0,,,25.0,,,,,3.0,face-api.js,https://www.npmjs.com/package/face-api.js,314383.0,,,,,,,,,,,,,
57,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,27,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2026-02-19 18:04:16.000000,2026-02-19 14:53:01,2431.0,110.0,1007.0,40.0,1950.0,30.0,384.0,8790.0,2026-01-20 14:59:45,backend/v2.4.0,1061.0,24.0,39.0,336.0,336.0,53.0,,,,,3.0,,,,,,,,,,,,,,,,
58,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,ghcr.io/permify/permify,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2026-02-19 16:45:34.000000,2026-02-11 14:37:46,5666.0,243.0,283.0,23.0,2426.0,58.0,288.0,5811.0,2026-01-26 14:47:58,1.6.2,10973.0,406.0,100.0,4.0,4.0,74.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,3.0,,,,,,,,,,,,,,,,
59,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,27,True,permitio/opal,permitio/opal-server,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2026-02-11 18:12:03.000000,2025-11-26 13:54:19,2068.0,4.0,268.0,29.0,612.0,49.0,127.0,5426.0,2026-01-22 11:31:58,0.9.3,1909.0,7408.0,67.0,47.0,47.0,74.0,https://hub.docker.com/r/permitio/opal-server,2026-01-22 18:08:46.296112,1.0,442611.0,3.0,,,,,,,,,,,,,,,,
60,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,184.0,25.0,1529.0,110.0,104.0,3497.0,2024-01-13 04:08:30,0.27.3,3856.0,22093.0,100.0,219.0,219.0,68.0,,,,,3.0,,,,oso,https://pypi.org/project/oso,22029.0,,,,,,,,,,
61,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2026-02-18 02:11:39.000000,2026-02-18 02:10:28,3680.0,80.0,294.0,49.0,2874.0,34.0,271.0,980.0,2026-02-10 00:50:38,1.12.34,,,100.0,373.0,373.0,103.0,,,,,2.0,,,,,,,,,,,,,,,,
62,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],27,True,decentralized-identity/did-jwt,,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-02-17 18:47:28.000000,2025-12-01 01:00:51,676.0,2.0,70.0,36.0,233.0,5.0,87.0,369.0,2025-08-25 22:29:37,8.0.18,,322484.0,100.0,6179.0,6179.0,42.0,,,,,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,322484.0,,,,,,,,-1.0,,,,,
63,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],27,True,decentralized-identity/ethr-did-resolver,,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2026-02-17 17:08:16.000000,2026-02-02 01:38:27,559.0,12.0,76.0,26.0,158.0,6.0,48.0,230.0,2025-08-10 14:02:43,11.0.5,,22256.0,71.0,1899.0,1899.0,28.0,,,,,1.0,ethr-did-resolver,https://www.npmjs.com/package/ethr-did-resolver,22256.0,,,,,,,,,,,,,
64,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2026-02-13 00:41:40.000000,2026-02-13 00:41:40,7118.0,18.0,318.0,417.0,4719.0,105.0,448.0,1765.0,2024-06-11 16:44:34,1.8.2,64.0,0.0,31.0,47.0,47.0,158.0,,,,,3.0,,,,,,,,,,,,,,,,
65,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,26,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2026-02-11 23:35:11.000000,2026-02-11 23:33:40,571.0,10.0,180.0,33.0,147.0,,107.0,1027.0,2026-02-11 23:35:38,2.7.1,,2789124.0,37.0,,,32.0,,,,,2.0,,,,webauthn,https://pypi.org/project/webauthn,2789124.0,,,,,,,,,,
66,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2026-02-19 18:47:08.000000,2026-02-11 12:59:21,1942.0,29.0,131.0,22.0,868.0,67.0,393.0,523.0,2026-02-11 12:59:23,7.0.0,,,47.0,920.0,920.0,59.0,,,,,1.0,,,,,,,,,,,,,,,,
67,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2026-02-19 03:18:49.000000,2026-02-19 03:18:20,10414.0,144.0,499.0,23.0,2625.0,153.0,1280.0,480.0,2026-01-29 15:30:21,1.5.0,,,100.0,,,166.0,,,,,1.0,,,,,,,openwallet-foundation/acapy,,,,,,,,,
68,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],26,True,decentralized-identity/did-jwt-vc,,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2026-01-21 22:02:21.000000,2025-11-20 16:45:53,405.0,,44.0,19.0,103.0,4.0,49.0,207.0,2025-08-26 05:57:14,4.0.16,,64543.0,70.0,1366.0,1366.0,22.0,,,,,1.0,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,64543.0,,,,,,,,1.0,,,,,
69,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,25,True,dromara/MaxKey,maxkeytop/maxkey,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2026-02-10 01:05:11.000000,2026-02-10 01:05:08,2742.0,59.0,386.0,30.0,124.0,3.0,131.0,1851.0,2026-02-02 00:59:44,4.1.11,,371.0,72.0,,,60.0,https://hub.docker.com/r/maxkeytop/maxkey,2026-02-01 06:50:25.105245,5.0,41244.0,3.0,,,,,,,,,,,,,,,,
70,authgear,https://github.com/authgear/authgear-server,idp,"Open source Auth0/Clerk/Firebase alternative. Passkeys, SSO, MFA, passwordless, biometric login. Self-hosted or cloud...",,,25,True,authgear/authgear-server,,https://github.com/authgear/authgear-server,Apache-2.0,2020-06-16 03:34:34,2026-02-18 04:46:53.000000,2026-02-13 08:44:16,23191.0,394.0,95.0,9.0,3142.0,350.0,1941.0,1399.0,2026-02-04 13:03:42,authgear-once/1.2.0,668.0,12.0,70.0,9.0,9.0,49.0,,,,,3.0,,,,,,,,,,,,,,,,
71,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,823.0,65.0,131.0,531.0,786.0,19028.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,225040.0,3169.0,2.0,21.0,21.0,22.0,,,,,3.0,,,,,,,,,,,,,,,,
72,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,registry.supertokens.io/supertokens/supertokens-postgresql,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2026-02-19 14:46:08.000000,2026-02-13 16:19:36,1407.0,53.0,635.0,66.0,663.0,131.0,403.0,14921.0,2026-02-13 17:39:13,11.4.0,,,100.0,,,34.0,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,3.0,,,,,,,,,,,1.0,,,,,
73,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,24,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-12-11 18:50:40.000000,2025-12-11 18:50:38,684.0,5.0,195.0,41.0,342.0,33.0,248.0,1405.0,2025-08-29 13:12:19,4.0.0,,,21.0,368.0,368.0,51.0,,,,,3.0,,,,,,,,,,,,,,,,
74,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,freeipa/freeipa-server,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2026-02-18 21:48:43.000000,2026-02-18 11:38:05,16409.0,78.0,361.0,47.0,8192.0,,,1367.0,,,,38255.0,,,,250.0,https://hub.docker.com/r/freeipa/freeipa-server,2026-02-18 06:27:23.123560,180.0,6312096.0,3.0,,,,,,,,,,,,,,,,
75,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2026-02-19 14:17:05.000000,2026-02-16 10:36:54,1736.0,25.0,97.0,24.0,1318.0,85.0,349.0,341.0,2026-02-16 10:46:05,1.9.1-beta.1,,,58.0,155.0,155.0,44.0,,,,,1.0,,,,,,,iotaledger/identity,,,,1.0,,,,,
76,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],24,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2026-02-19 17:55:53.000000,2026-02-19 17:53:56,2168.0,54.0,174.0,24.0,1468.0,19.0,285.0,191.0,2026-02-04 19:23:53,2.12.7,,,55.0,7.0,7.0,63.0,,,,,1.0,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,,
77,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],24,False,inrupt/solid-client-authn-js,,https://github.com/inrupt/solid-client-authn-js,MIT,2019-11-21 00:49:46,2026-02-19 08:45:03.000000,2026-02-13 14:21:21,3153.0,50.0,40.0,11.0,4048.0,57.0,104.0,77.0,2025-10-30 14:51:08,3.1.1,,,38.0,992.0,992.0,27.0,,,,,3.0,inrupt/solid-client-authn-node,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,,,,,,,,,,,
78,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,23,True,cyberark/conjur,cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-11-20 20:24:22.000000,2025-11-10 16:00:50,4111.0,,142.0,47.0,1907.0,137.0,973.0,940.0,2025-11-20 20:24:03,1.24.0,1666.0,65494.0,83.0,,,115.0,https://hub.docker.com/r/cyberark/conjur,2025-11-10 16:58:40.255868,29.0,7595442.0,3.0,,,,,,,,,,,,,,,,
79,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,universalresolver/uni-resolver-web,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2026-02-19 12:53:39.000000,2026-02-08 22:23:46,2062.0,41.0,270.0,55.0,405.0,34.0,90.0,632.0,2022-01-07 16:42:38,0.5.0,,1466.0,6.0,,,131.0,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-02-08 22:42:10.187880,,149542.0,2.0,,,,,,,,,,,,,,,,
80,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,23,True,passwordless-id/webauthn,,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2026-02-15 16:52:39.000000,2026-02-15 16:52:31,304.0,16.0,57.0,7.0,39.0,1.0,63.0,578.0,2026-02-15 16:48:57,2.3.5,,,42.0,5503.0,5503.0,20.0,,,,,3.0,passwordless-id/webauthn,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,,,,,
81,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2026-02-19 18:22:38.000000,2026-02-19 15:52:01,14816.0,108.0,152.0,14.0,2254.0,102.0,2924.0,475.0,2023-06-16 12:51:58,11.4.3,9959.0,100.0,55.0,,,97.0,,,,,3.0,,,,,,,,,,,,,,,,
82,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2026-02-19 13:30:04.000000,2026-02-19 13:26:55,1349.0,68.0,228.0,26.0,1733.0,236.0,650.0,337.0,2026-02-04 10:03:06,0.6.2,,,100.0,,,88.0,,,,,2.0,,,,,,,,,,,,,,,,
83,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,waltid/identity,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2026-02-19 15:49:08.000000,2026-02-18 16:41:18,12278.0,784.0,106.0,5.0,1210.0,2.0,298.0,252.0,2026-01-22 16:02:05,0.17.1,,,100.0,,,43.0,https://hub.docker.com/r/waltid/identity,,,,2.0,,,,,,,,,,,,,,,,
84,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2026-02-17 20:55:29.000000,2026-02-16 01:05:47,370.0,17.0,20.0,12.0,126.0,1.0,11.0,98.0,2025-12-03 20:47:02,2.0.32,,37934.0,43.0,1428.0,1428.0,12.0,,,,,2.0,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,37934.0,,,,,,,,,,,,,
85,hyperledger-anoncreds-rs,https://github.com/anoncreds/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/anoncreds/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2026-01-07 14:36:37.000000,2026-01-07 14:36:37,835.0,3.0,57.0,12.0,249.0,29.0,91.0,84.0,2025-11-13 16:53:54,0.2.3,361072.0,9758.0,33.0,74.0,74.0,28.0,,,,,2.0,,,,,,,anoncreds/anoncreds-rs,,,,,,,,,
86,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,22,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,1110.0,444.0,25.0,1.0,143.0,30530.0,2023-01-21 09:26:53,TINA_SHIFT,1597928.0,28534.0,35.0,,,11.0,,,,,3.0,,,,,,,,,,,,,,,,
87,gotrue,https://github.com/netlify/gotrue,idp,An JWT based API for managing users and issuing JWT tokens.,,,22,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2026-02-19 16:03:52.000000,2026-02-19 15:22:53,656.0,13.0,318.0,55.0,256.0,1.0,137.0,4325.0,2022-02-09 12:50:28,1.0.1,,,2.0,11.0,11.0,46.0,,,,,3.0,,,,,,,,,,,,,,,,
88,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2026-01-09 17:26:39.000000,2025-11-14 16:30:51,4083.0,,782.0,237.0,367.0,64.0,210.0,2902.0,2015-09-29 22:50:55,1.1.0,126624.0,861.0,4.0,,,60.0,,,,,3.0,,,,,,,,,,,,,,,,
89,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2026-02-19 18:09:56.000000,2026-02-18 20:12:09,2779.0,17.0,247.0,185.0,1000.0,69.0,1245.0,1367.0,2018-03-20 13:11:25,CR-00-20180320,,,7.0,,,82.0,,,,,1.0,,,,,,,,,,,,,,,,
90,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2026-02-17 15:47:35.000000,2026-02-17 15:46:32,15297.0,40.0,679.0,106.0,19.0,,,709.0,,,,,,186.0,186.0,759.0,,,,,3.0,,,,,,,,,,,,,,,,
91,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,359.0,70.0,172.0,299.0,612.0,7355.0,2020-09-02 15:57:23,2.6.1,30452.0,317.0,11.0,,,69.0,,,,,3.0,,,,,,,,,,,,,,howdy,,
92,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],21,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2026-02-17 21:41:09.000000,2026-02-02 01:58:20,418.0,2.0,42.0,21.0,132.0,4.0,18.0,229.0,2023-03-08 14:05:37,4.1.0,,,24.0,7802.0,7802.0,25.0,,,,,2.0,,,,,,,,,,,-1.0,,,,,
93,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,21,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2026-02-18 08:57:45.000000,2026-02-18 08:57:11,666.0,85.0,40.0,4.0,345.0,6.0,39.0,71.0,2026-02-18 08:57:46,1.40.3,,,100.0,269.0,269.0,19.0,,,,,2.0,,,,,,,,,,,,,,,,
94,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4682.0,552.0,123.0,511.0,622.0,14302.0,,,,,,,,36.0,,,,,3.0,,,,,,,,,,,,,,,,
95,indy-node,https://github.com/hyperledger-indy/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger-indy/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-12-01 15:07:14.000000,2025-02-24 16:33:21,4946.0,,647.0,61.0,1834.0,39.0,60.0,701.0,2024-02-09 14:17:29,1.13.2,2126.0,26.0,37.0,,,111.0,,,,,2.0,,,,,,,hyperledger-indy/indy-node,,,,,,,,,
96,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,20,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2026-02-19 14:32:36.000000,2026-02-12 22:27:12,2814.0,110.0,89.0,20.0,1031.0,9.0,149.0,561.0,2026-02-01 14:15:29,0.31.0.RELEASE,,,86.0,,,37.0,,,,,3.0,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,,
97,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,323.0,2024-10-23 19:02:40,0.5.2,,,62.0,492.0,492.0,48.0,,,,,2.0,tbd54566975/dwn-sdk-js,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,,
98,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,157.0,17.0,2046.0,388.0,1196.0,239.0,2023-05-09 10:57:15,0.3.2,,,14.0,3.0,3.0,62.0,,,,,2.0,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,,303.0,93.0,43.0,28.0,24.0,3066.0,,,,3060.0,,1.0,1.0,27.0,,,,,3.0,,,,pyja3,https://pypi.org/project/pyja3,3060.0,,,,,,,,,,
100,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-09-29 23:07:10.000000,2025-04-22 20:11:48,414.0,,785.0,93.0,362.0,181.0,368.0,1978.0,2025-04-23 13:34:24,2.0.0,,,33.0,,,52.0,,,,,3.0,,,,,,,,,,,,,,,,
101,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,19,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,127.0,26.0,363.0,56.0,77.0,255.0,2025-02-10 16:01:17,8.5.1,,,51.0,42.0,42.0,57.0,,,,,3.0,,,,,,,,,,,,,,,,
102,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2026-02-13 16:36:57.000000,2026-02-13 16:35:41,645.0,8.0,73.0,34.0,470.0,96.0,122.0,249.0,,,,,,211.0,211.0,31.0,,,,,2.0,,,,,,,,,,,,,,,,
103,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,19,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2026-02-19 16:34:11.000000,2026-02-19 16:34:11,3328.0,158.0,68.0,11.0,851.0,186.0,137.0,74.0,,,,,1.0,68.0,68.0,36.0,,,,,2.0,,,,,,,,,,,,,,,,
104,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],18,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2026-01-14 15:14:54.000000,2026-01-14 15:14:54,1326.0,2.0,305.0,86.0,544.0,31.0,182.0,3288.0,2021-06-23 10:02:43,ctap2.0,,,1.0,,,24.0,,,,,3.0,,,,,,,,,,,,,,,,
105,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,,936.0,243.0,260.0,215.0,555.0,3195.0,,,,,,,,49.0,,,,,3.0,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,,
