,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,gem_url,updated_github_id,apt_id,github-id
55,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-12-23 14:48:00.000000,2024-12-23 11:37:46,1875.0,82.0,148.0,32.0,2006.0,43.0,334.0,3500.0,2024-11-26 14:18:43,0.40.0,63.0,28.0,28.0,32.0,,,2127.0,3.0,ghcr.io/cerbos/cerbos,95734.0,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,,
56,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2024-11-26 10:06:43.000000,2024-11-23 10:03:19,3181.0,36.0,296.0,78.0,864.0,287.0,638.0,1787.0,2024-11-23 10:17:00,5.8.3,58.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,253.0,8420.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004611.0,,,,,,,,,,,,
57,yubikey-manager,https://github.com/Yubico/yubikey-manager,pki,Python library and command line tool for configuring any YubiKey over all USB interfaces.,,,28,True,Yubico/yubikey-manager,,https://github.com/Yubico/yubikey-manager,BSD-2-Clause,2016-07-04 14:23:53,2024-10-01 15:01:45.000000,2024-10-01 12:58:01,2814.0,3.0,124.0,60.0,316.0,35.0,279.0,890.0,2024-07-01 10:11:29,5.5.1,39.0,157.0,157.0,46.0,,,101089.0,2.0,,14004.0,,,,,yubikey-manager,https://pypi.org/project/yubikey-manager,100951.0,,,,,,,,,
58,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-12-27 10:36:57.000000,2024-11-14 19:18:28,518.0,16.0,72.0,29.0,154.0,4.0,48.0,213.0,2024-10-12 07:15:54,11.0.2,68.0,1693.0,1693.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,16623.0,16623.0,1.0,,,,,,,,,,,,,,,,,,
59,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,27,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2024-11-19 23:13:32.000000,2024-11-19 23:12:57,1830.0,1.0,13125.0,1534.0,524.0,24.0,844.0,52757.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,6290.0,3.0,,440364.0,,,,,,,,,,,-2.0,,,,,
60,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2024-06-13 20:04:10.000000,2024-06-13 19:55:21,1214.0,,174.0,30.0,1527.0,109.0,102.0,3484.0,2024-01-13 04:08:30,0.27.3,100.0,207.0,207.0,67.0,,,27999.0,3.0,,3337.0,,,,,oso,https://pypi.org/project/oso,27927.0,,,,,,,,,
61,jansen,https://github.com/JanssenProject/jans,idp,"An enterprise identity and access management platform-- Janssen is a distribution of standards-based, developer..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2024-12-27 12:00:16.000000,2024-12-27 11:02:49,34628.0,330.0,75.0,33.0,6053.0,453.0,3853.0,504.0,2024-12-24 18:40:41,1.2.0,100.0,,,122.0,,,442.0,3.0,,6200.0,,,,,,,,,,,,,,,,
62,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],27,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2024-12-27 09:01:46.000000,2024-10-22 19:06:00,623.0,1.0,67.0,40.0,224.0,4.0,86.0,340.0,2024-03-25 23:03:17,8.0.4,100.0,5390.0,5390.0,41.0,https://www.npmjs.com/package/did-jwt,269099.0,269099.0,1.0,,,,,,,,,,,,,,,,,,
63,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,26,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2024-12-27 03:05:44.000000,2024-12-24 16:55:55,2018.0,82.0,186.0,31.0,499.0,50.0,97.0,5154.0,2024-11-18 12:44:06,0.7.15,43.0,,,68.0,,,6043.0,3.0,permitio/opal-server,1253.0,https://hub.docker.com/r/permitio/opal-server,2024-11-18 12:51:28.778608,1.0,276694.0,,,,,,,,,,,,
64,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2024-12-25 06:08:53.000000,2024-12-25 02:24:51,9822.0,182.0,484.0,31.0,2111.0,118.0,1191.0,423.0,2024-12-17 20:21:46,0.12.3,99.0,,,151.0,,,,1.0,,,,,,,,,,,,,,,,openwallet-foundation/acapy,,
65,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],26,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2024-12-23 19:04:58.000000,2024-03-26 04:30:10,367.0,,44.0,23.0,99.0,2.0,48.0,186.0,2024-03-26 04:30:27,4.0.4,58.0,1114.0,1114.0,22.0,https://www.npmjs.com/package/did-jwt-vc,48201.0,48201.0,1.0,,,,,,,,,,,,,,,,,,
66,hanko,https://github.com/teamhanko/hanko,idp,"The Complete Authentication and User Management Solution for the Passkey Era. Open Source Alternative to Clerk, Auth0,..",,,25,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2024-12-26 19:49:09.000000,2024-12-20 08:52:52,2193.0,56.0,937.0,37.0,1585.0,43.0,343.0,7427.0,2024-12-17 08:43:35,backend/v1.3.1,29.0,295.0,295.0,50.0,,,16.0,3.0,,488.0,,,,,,,,,,,,,,,,
67,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache License, Version 2.0..",,,25,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2024-12-26 13:43:04.000000,2024-12-26 13:35:44,2498.0,96.0,330.0,30.0,116.0,3.0,118.0,1545.0,2024-12-26 13:43:04,4.1.4,65.0,,,46.0,,,281.0,3.0,maxkeytop/maxkey,,https://hub.docker.com/r/maxkeytop/maxkey,2024-12-25 14:39:17.297057,5.0,27340.0,,,,,,,,,,,,
68,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,25,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2024-12-11 17:01:39.000000,2024-12-11 17:01:38,649.0,21.0,175.0,39.0,301.0,46.0,219.0,1198.0,2022-09-28 20:32:17,3.0.1,19.0,289.0,289.0,49.0,,,,3.0,,,,,,,,,,,,,,,,,,
69,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2024-12-26 22:23:34.000000,2024-12-26 22:23:34,3258.0,95.0,279.0,53.0,2544.0,28.0,245.0,916.0,2024-12-20 19:12:47,1.12.7,100.0,34.0,34.0,90.0,,,,2.0,,,,,,,,,,,,,,,,,,
70,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2024-12-17 14:12:17.000000,2024-11-21 17:03:23,3756.0,40.0,124.0,47.0,1898.0,207.0,902.0,817.0,2024-11-22 15:40:40,1.21.2,76.0,,,101.0,,,70003.0,3.0,cyberark/conjur,913.0,https://hub.docker.com/r/cyberark/conjur,2024-11-22 14:54:15.198377,30.0,7139380.0,,,,,,,3.0,,,,,
71,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2024-12-26 11:10:18.000000,2024-10-29 13:49:45,1148.0,91.0,539.0,66.0,553.0,122.0,386.0,13486.0,2024-10-31 05:18:48,9.3.0,78.0,,,30.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
72,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,24,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2024-12-23 17:15:53.000000,2024-12-02 20:02:56,6523.0,101.0,314.0,425.0,4434.0,124.0,420.0,1726.0,2024-06-11 16:44:34,1.8.2,31.0,,,151.0,,,0.0,3.0,,64.0,,,,,,,,,,,,,,,,
73,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2024-12-27 11:35:35.313654,2024-12-20 14:33:40,16068.0,54.0,336.0,51.0,7637.0,,,1181.0,,,,,,236.0,,,39107.0,3.0,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2024-12-27 11:35:35.313654,171.0,5905271.0,,,,,,,,,,,,
74,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,24,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2024-12-27 06:42:55.000000,2024-12-23 08:33:09,1818.0,43.0,239.0,57.0,337.0,34.0,86.0,565.0,2022-01-07 16:42:38,0.5.0,6.0,,,115.0,,,1494.0,2.0,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2024-12-23 08:34:38.273626,,131477.0,,,,,,,,,,,,
75,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,23,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,4.0,100.0,5.0,131.0,531.0,787.0,16642.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3335.0,3.0,,190134.0,,,,,,,,,,,-5.0,,,,,
76,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],23,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2024-12-19 23:59:39.000000,2024-12-18 19:14:54,2589.0,103.0,173.0,179.0,936.0,67.0,1152.0,1190.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,80.0,,,,1.0,,,,,,,,,,,,,,,,,,
77,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,23,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2024-12-21 19:00:19.000000,2024-10-31 18:27:11,1882.0,8.0,130.0,24.0,816.0,66.0,390.0,447.0,2024-04-02 18:54:31,6.0.0,44.0,767.0,767.0,58.0,,,,1.0,,,,,,,,,,,,,,,,,,
78,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2024-12-23 22:02:04.000000,2024-12-23 22:02:04,14023.0,207.0,137.0,15.0,1974.0,954.0,1986.0,385.0,2023-06-16 12:51:58,11.4.3,55.0,,,89.0,,,101.0,3.0,,8617.0,,,,,,,,,,,,,,,,
79,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,17.0,104.0,18.0,545.0,42.0,238.0,326.0,2024-10-23 19:02:40,0.5.2,62.0,465.0,465.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,decentralized-identity/dwn-sdk-js,,
80,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2024-12-13 16:59:03.000000,2024-12-13 16:38:23,15079.0,38.0,663.0,110.0,18.0,,,696.0,,,,152.0,152.0,740.0,,,,3.0,,,,,,,,,,,,,,,,,,
81,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,22,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2024-12-23 12:46:53.000000,2024-12-06 12:03:26,1490.0,2.0,88.0,28.0,1124.0,86.0,256.0,304.0,2024-09-23 08:34:59,1.4.0,32.0,131.0,131.0,42.0,,,,2.0,,,,,,,,,,,,,,,,,,
82,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],22,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2024-12-17 21:36:03.000000,2024-12-17 15:15:16,1086.0,37.0,188.0,28.0,1330.0,182.0,579.0,281.0,2024-11-07 19:07:51,0.5.13,100.0,3.0,3.0,71.0,,,,2.0,,,,,,,,,,,,,,,,,,
83,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-12-23 18:52:28.000000,2024-11-19 00:19:30,397.0,4.0,40.0,23.0,132.0,3.0,18.0,216.0,2023-03-08 14:05:37,4.1.0,24.0,6759.0,6759.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,
84,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2024-12-24 12:44:29.000000,2024-12-24 12:42:24,2837.0,75.0,35.0,16.0,3662.0,53.0,100.0,71.0,2024-11-14 15:51:25,2.3.0,32.0,905.0,905.0,25.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,
85,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2024-08-17 20:52:59.000000,2024-05-04 11:30:12,564.0,,304.0,63.0,154.0,240.0,582.0,5941.0,2020-09-02 15:57:23,2.6.1,11.0,,,61.0,,,248.0,3.0,,20346.0,,,,,,,,,,,,,,,howdy,
86,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2024-12-20 19:13:23.000000,2024-12-20 18:45:52,642.0,3.0,288.0,62.0,232.0,3.0,130.0,3920.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,
87,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,21,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2024-12-06 18:34:35.000000,2024-10-25 21:28:29,4051.0,1.0,759.0,250.0,343.0,63.0,210.0,2855.0,2015-09-29 22:50:55,1.1.0,4.0,,,58.0,,,856.0,3.0,,113872.0,,,,,,,,,,,,,,,,
88,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],21,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2024-11-28 00:10:31.000000,2024-11-26 00:53:33,411.0,4.0,729.0,100.0,341.0,177.0,354.0,1793.0,2024-11-26 01:35:07,1.7.6,32.0,,,52.0,,,,3.0,,,,,,,,,,,,,,,,,,
89,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,21,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2024-12-01 16:33:19.000000,2024-12-01 16:33:19,244.0,7.0,51.0,8.0,29.0,2.0,48.0,482.0,2024-09-23 20:02:22,2.1.2,35.0,3022.0,3022.0,16.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,
90,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,21,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2024-12-26 13:37:28.000000,2024-12-24 08:52:18,4227.0,503.0,53.0,6.0,687.0,6.0,163.0,127.0,2024-12-20 20:22:19,0.10.0,100.0,,,26.0,,,,2.0,waltid/identity,,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,
91,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],21,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2024-12-23 20:30:50.000000,2024-07-17 13:29:31,294.0,,16.0,15.0,124.0,1.0,11.0,84.0,2023-07-03 18:25:08,2.0.27,38.0,1198.0,1198.0,12.0,https://www.npmjs.com/package/web-did-resolver,25115.0,25115.0,2.0,,,,,,,,,,,,,,,,,,
92,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],21,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2024-12-19 21:58:55.000000,2024-12-19 21:58:55,799.0,2.0,47.0,15.0,232.0,27.0,86.0,74.0,2024-02-13 10:21:42,0.2.0,30.0,133.0,133.0,23.0,,,9623.0,2.0,,221335.0,,,,,,,,,,,,,,,,
93,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,20,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,2.0,148.0,385.0,25.0,1.0,143.0,27222.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,28545.0,3.0,,1198910.0,,,,,,,,,,,,,,,,
94,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4688.0,560.0,122.0,509.0,621.0,13874.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,
95,webauthn-ruby,https://github.com/cedarcode/webauthn-ruby,authentication,WebAuthn ruby server library Make your Ruby/Rails web server become a conformant WebAuthn Relying Party.,,,20,True,cedarcode/webauthn-ruby,,https://github.com/cedarcode/webauthn-ruby,MIT,2018-05-09 21:49:17,2024-11-14 19:57:43.000000,2024-11-14 19:56:04,940.0,32.0,56.0,12.0,317.0,8.0,109.0,666.0,,,,954.0,954.0,32.0,,,,3.0,,,,,,,,,,,,,,,,,,
96,aries-framework-go,https://github.com/hyperledger-archives/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger-archives/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,161.0,20.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,,,,,,,hyperledger-archives/aries-framework-go,,
97,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,20,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2024-12-27 12:16:38.000000,2024-12-23 10:29:00,521.0,19.0,32.0,4.0,248.0,6.0,39.0,63.0,2024-12-18 09:24:19,1.25.1,87.0,230.0,230.0,19.0,,,,2.0,,,,,,,,,,,,,,,,,,
98,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2024-10-01 14:33:56.000000,2024-09-24 12:43:17,1285.0,,281.0,89.0,509.0,29.0,166.0,3046.0,2021-06-23 10:02:43,ctap2.0,1.0,,,24.0,,,,3.0,,,,,,,,,,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,False,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,289.0,96.0,42.0,28.0,24.0,2802.0,,,,,,26.0,,,1339.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,1339.0,,,,,,,,,
100,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2024-12-24 13:38:56.000000,2024-11-26 21:38:13,4929.0,8.0,653.0,67.0,1798.0,37.0,57.0,687.0,2024-02-09 14:17:29,1.13.2,37.0,,,107.0,,,11.0,2.0,,746.0,,,,,,,,,,,,,,,,
101,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2024-12-23 14:47:04.000000,2024-12-22 13:11:36,2508.0,115.0,74.0,20.0,890.0,5.0,127.0,452.0,2024-12-01 03:40:41,0.24.7.RELEASE,71.0,,,30.0,,,,3.0,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
102,sidetree,https://github.com/decentralized-identity/sidetree,specs,Sidetree Specification and Reference Implementation.,,['dif'],19,False,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2024-12-12 16:15:38.000000,2023-04-04 19:14:54,1149.0,,105.0,40.0,684.0,37.0,441.0,438.0,2021-03-09 22:06:35,1.0.2,12.0,,,47.0,,,,1.0,,,,,,,,,,,,,,,,,,
103,aries-rfcs,https://github.com/hyperledger/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2024-12-16 12:56:53.000000,2024-10-16 14:18:06,2381.0,25.0,214.0,51.0,631.0,56.0,175.0,326.0,,,,,,91.0,,,,1.0,,,,,,,,,,,,,,,,,,
104,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],19,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-12-11 23:50:38.000000,2024-10-03 18:09:33,367.0,2.0,57.0,13.0,399.0,49.0,108.0,208.0,2024-10-03 18:13:37,0.0.1-beta,5.0,56.0,56.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,
105,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,19,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2024-11-06 12:06:51.000000,2024-11-06 12:06:45,1739.0,1.0,114.0,27.0,355.0,47.0,75.0,206.0,2023-06-11 17:23:23,8.4.0,49.0,36.0,36.0,54.0,,,,3.0,,,,,,,,,,,,,,,,,,
106,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2024-12-20 10:08:00.000000,2024-12-20 09:54:00,615.0,24.0,60.0,34.0,439.0,74.0,117.0,195.0,,,,148.0,148.0,30.0,,,,2.0,,,,,,,,,,,,,,,,,,
107,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],19,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2024-12-24 20:55:09.000000,2024-12-24 20:52:59,1864.0,70.0,138.0,23.0,1094.0,58.0,213.0,157.0,,,,,,53.0,,,,2.0,,,,,,,,,,,,,,,,openwallet-foundation/bifold-wallet,,
