,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,trending,helm_id,brew_id,gem_url,apt_id,github,github-id
54,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3491.0,742.0,77.0,5.0,382.0,15434.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1338.0,3.0,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163323.0,,,,,,,,,,,,,
55,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,28,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-08-29 11:36:50.000000,2025-08-29 11:36:50,2517.0,10.0,1034.0,102.0,878.0,46.0,849.0,5438.0,2025-04-04 08:29:47,5.8.2,70.0,10770.0,10770.0,333.0,,,,2.0,,,,,,,,,,,,,-1.0,,,doorkeeper,,,
56,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-11-03 21:36:37.000000,2025-11-03 01:11:22,544.0,19.0,75.0,26.0,157.0,5.0,48.0,229.0,2025-08-10 14:02:43,11.0.5,71.0,1837.0,1837.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,26549.0,26549.0,1.0,,,,,,,,,,,,,,,,,,,
57,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,27,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-11-06 17:52:15.000000,2025-11-06 17:51:56,1845.0,8.0,13282.0,1531.0,532.0,36.0,850.0,54667.0,2023-06-18 18:08:19,2.2.0,4.0,,,98.0,,,799.0,3.0,,64789.0,,,,,,,,,,,,,,,,,
58,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3813.0,345.0,113.0,452.0,393.0,17613.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,196651.0,196651.0,3.0,,,,,,,,,,,,,,,,,,,
59,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2025-11-06 08:56:51.000000,2025-11-06 08:56:48,5330.0,466.0,264.0,25.0,2246.0,49.0,280.0,5650.0,2025-11-03 10:45:54,1.5.0,100.0,4.0,4.0,68.0,,,358.0,3.0,ghcr.io/permify/permify,9677.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
60,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,27,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-11-05 11:14:35.000000,2025-11-05 11:14:35,2062.0,9.0,239.0,30.0,581.0,48.0,119.0,5387.0,2025-10-28 09:59:58,0.9.1,60.0,47.0,47.0,72.0,,,6861.0,3.0,permitio/opal-server,1781.0,https://hub.docker.com/r/permitio/opal-server,2025-10-28 10:01:42.305682,1.0,389299.0,,,,,,,,,,,,,
61,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,181.0,26.0,1529.0,110.0,104.0,3493.0,2024-01-13 04:08:30,0.27.3,100.0,213.0,213.0,68.0,,,30530.0,3.0,,3593.0,,,,,oso,https://pypi.org/project/oso,30467.0,,,,,,,,,,
62,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,27,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-10-27 16:47:31.000000,2025-10-27 16:46:38,7099.0,157.0,318.0,418.0,4705.0,102.0,448.0,1758.0,2024-06-11 16:44:34,1.8.2,31.0,43.0,43.0,156.0,,,0.0,2.0,,64.0,,,,,,,,,,,,,,,,,
63,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-11-05 03:01:30.000000,2025-11-05 03:01:28,3588.0,117.0,290.0,50.0,2801.0,32.0,261.0,967.0,2025-10-25 01:48:27,1.12.28,100.0,367.0,367.0,100.0,,,,2.0,,,,,,,,,,,,,,,,,,,
64,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,26,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-11-05 20:59:05.000000,2025-11-05 18:44:37,2308.0,28.0,970.0,38.0,1824.0,35.0,373.0,8520.0,2025-10-28 15:18:50,backend/v2.2.0,36.0,330.0,330.0,51.0,,,23.0,3.0,,928.0,,,,,,,,,,,,,,,,,
65,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],26,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-11-06 18:03:11.000000,2025-11-04 15:28:38,3219.0,8.0,298.0,74.0,883.0,290.0,642.0,1791.0,2025-02-21 20:25:35,5.8.5,59.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,1951.0,9451.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005105.0,,,,,,,1.0,,,,,,
66,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,26,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-09-05 08:25:29.000000,2025-09-04 07:51:02,678.0,23.0,192.0,41.0,334.0,33.0,243.0,1360.0,2025-08-29 13:12:19,4.0.0,21.0,350.0,350.0,51.0,,,,2.0,,,,,,,,,,,,,,,,,,,
67,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,26,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-09-30 23:28:42.000000,2025-09-30 23:28:37,560.0,15.0,179.0,33.0,145.0,,107.0,998.0,2025-09-04 23:18:52,2.7.0,36.0,,,31.0,,,517938.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,517938.0,,,,,,,,,,
68,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-11-05 16:43:47.000000,2025-11-05 15:59:23,10234.0,109.0,496.0,23.0,2522.0,145.0,1269.0,472.0,2025-08-26 19:35:08,1.3.2,100.0,,,163.0,,,,1.0,,,,,,,,,,openwallet-foundation/acapy,,,,,,,,,
69,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],26,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-11-03 22:45:40.000000,2025-10-28 01:31:35,404.0,7.0,46.0,20.0,103.0,4.0,49.0,205.0,2025-08-26 05:57:14,4.0.16,70.0,1319.0,1319.0,22.0,https://www.npmjs.com/package/did-jwt-vc,49881.0,49881.0,1.0,,,,,,,,,,,,,,,,,,,
70,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,25,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-11-06 01:14:13.000000,2025-11-06 01:13:49,2671.0,61.0,376.0,30.0,123.0,2.0,131.0,1800.0,2025-10-10 01:21:58,4.1.9,70.0,,,59.0,,,349.0,3.0,maxkeytop/maxkey,,https://hub.docker.com/r/maxkeytop/maxkey,2025-10-13 03:39:11.964812,5.0,37714.0,,,,,,,,,,,,,
71,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-11-06 15:45:15.951236,2025-08-20 20:52:34,3891.0,16.0,131.0,45.0,1907.0,137.0,972.0,900.0,2025-09-24 21:09:35,1.22.3,82.0,,,104.0,,,66841.0,3.0,cyberark/conjur,1487.0,https://hub.docker.com/r/cyberark/conjur,2025-11-06 15:45:15.951236,29.0,7551397.0,,,,,,,,,,,,,
72,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-11-05 11:04:26.000000,2025-10-15 06:03:01,1913.0,13.0,131.0,23.0,854.0,65.0,392.0,505.0,2024-04-02 18:54:31,6.0.0,44.0,888.0,888.0,59.0,,,,1.0,,,,,,,,,,,,,,,,,,,
73,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,740.0,59.0,131.0,531.0,786.0,18745.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3213.0,3.0,,218537.0,,,,,,,,,,,,,,,,,
74,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-11-06 14:21:25.912579,2025-11-05 22:45:04,16297.0,76.0,348.0,47.0,8010.0,,,1327.0,,,,,,247.0,,,38055.0,3.0,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2025-11-06 14:21:25.912579,179.0,6164967.0,,,,,,,,,,,,,
75,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2025-11-06 14:42:56.000000,2025-10-24 13:36:40,1709.0,21.0,95.0,24.0,1290.0,98.0,319.0,339.0,2025-10-24 13:37:52,1.7.0-beta.2,48.0,150.0,150.0,44.0,,,,1.0,,,,,,,,,,iotaledger/identity,,,,,,,,,
76,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],24,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-11-05 19:37:19.000000,2025-11-05 19:35:27,2104.0,62.0,166.0,25.0,1397.0,31.0,265.0,184.0,2025-10-24 17:42:38,2.10.1,36.0,5.0,5.0,62.0,,,,1.0,,,,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,,
77,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-11-04 12:30:45.000000,2025-10-28 07:42:28,1346.0,13.0,628.0,65.0,642.0,130.0,399.0,14675.0,2025-10-28 12:13:58,11.2.0,93.0,,,32.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
78,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-11-06 12:47:49.000000,2025-11-03 09:38:47,2021.0,34.0,260.0,55.0,395.0,34.0,89.0,616.0,2022-01-07 16:42:38,0.5.0,6.0,,,127.0,,,1462.0,2.0,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-11-03 12:02:02.178814,,144805.0,,,,,,,,,,,,,
79,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-11-06 14:31:34.000000,2025-11-06 14:28:19,1252.0,75.0,218.0,26.0,1578.0,227.0,629.0,320.0,2025-10-31 19:50:59,0.5.18,100.0,,,82.0,,,,2.0,,,,,,,,,,,,,,,,,,,
80,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-11-06 18:12:50.000000,2025-11-06 18:12:47,11306.0,669.0,87.0,6.0,1037.0,7.0,274.0,229.0,2025-07-22 15:14:36,0.15.1,100.0,,,37.0,,,,2.0,waltid/identity,,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,,
81,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-11-03 04:27:30.000000,2025-11-03 03:06:46,350.0,19.0,20.0,12.0,125.0,1.0,11.0,96.0,2025-10-20 08:49:10,2.0.31,42.0,1384.0,1384.0,12.0,https://www.npmjs.com/package/web-did-resolver,46806.0,46806.0,2.0,,,,,,,,,,,,,,,,,,,
82,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-10-25 20:06:56.000000,2025-10-01 18:47:30,810.0,5.0,56.0,12.0,245.0,31.0,89.0,82.0,2025-10-01 19:00:05,0.2.2,32.0,74.0,74.0,27.0,,,9396.0,2.0,,319466.0,,,,,,,,,,,,,,,,,
83,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-10-10 04:39:03.000000,2025-10-10 04:39:03,4081.0,6.0,783.0,238.0,365.0,64.0,210.0,2895.0,2015-09-29 22:50:55,1.1.0,4.0,,,60.0,,,858.0,3.0,,123631.0,,,,,,,,,,,,,,,,,
84,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-11-03 11:43:10.000000,2025-10-29 19:27:52,2753.0,13.0,227.0,181.0,982.0,75.0,1225.0,1319.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,82.0,,,,1.0,,,,,,,,,,,,,,,,,,,
85,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-11-04 22:13:39.000000,2025-11-04 14:04:25,15244.0,17.0,678.0,106.0,19.0,,,706.0,,,,182.0,182.0,755.0,,,,3.0,,,,,,,,,,,,,,,,,,,
86,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,22,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-11-06 16:31:49.000000,2025-11-06 16:31:49,14657.0,75.0,146.0,14.0,2192.0,94.0,2912.0,449.0,2023-06-16 12:51:58,11.4.3,55.0,,,93.0,,,103.0,3.0,,9951.0,,,,,,,,,,,,,,,,,
87,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-11-03 21:52:15.000000,2025-10-28 01:42:40,415.0,8.0,43.0,21.0,132.0,3.0,18.0,228.0,2023-03-08 14:05:37,4.1.0,24.0,7587.0,7587.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,
88,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2025-11-03 15:41:56.000000,2025-11-03 15:36:09,3092.0,78.0,39.0,11.0,3964.0,54.0,103.0,76.0,2025-10-30 14:51:08,3.1.1,38.0,984.0,984.0,26.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
89,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,958.0,433.0,25.0,1.0,143.0,29999.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,28699.0,3.0,,1521061.0,,,,,,,,,,,,,,,,,
90,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,343.0,66.0,165.0,280.0,607.0,6845.0,2020-09-02 15:57:23,2.6.1,11.0,,,69.0,,,293.0,3.0,,27325.0,,,,,,,,,,,,,,,howdy,,
91,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,21,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-07-28 19:27:56.000000,2025-07-28 19:27:49,287.0,,57.0,7.0,35.0,1.0,59.0,558.0,2025-06-29 14:25:26,2.3.1,38.0,5411.0,5411.0,20.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,
92,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4689.0,555.0,123.0,510.0,622.0,14231.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
93,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,,314.0,58.0,237.0,4.0,132.0,4233.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,
94,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-09-29 23:07:10.000000,2025-04-22 20:11:48,414.0,,783.0,92.0,360.0,182.0,368.0,1931.0,2025-04-23 13:34:24,2.0.0,33.0,,,52.0,,,,3.0,,,,,,,,,,,,,,,,,,,
95,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-10-27 21:26:05.000000,2025-02-24 16:33:21,4946.0,,654.0,61.0,1831.0,39.0,60.0,696.0,2024-02-09 14:17:29,1.13.2,37.0,,,111.0,,,26.0,2.0,,2069.0,,,,,,,,,,,,,,,,,
96,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,325.0,2024-10-23 19:02:40,0.5.2,62.0,487.0,487.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,,
97,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,160.0,17.0,2046.0,388.0,1196.0,238.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,,
98,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,20,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2025-11-06 13:47:56.000000,2025-10-27 12:17:35,570.0,21.0,38.0,4.0,311.0,6.0,39.0,69.0,2025-10-22 13:49:26,1.37.0,100.0,262.0,262.0,19.0,,,,2.0,,,,,,,,,,,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,,303.0,92.0,43.0,28.0,24.0,3019.0,,,,1.0,1.0,27.0,,,2215.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,2215.0,,,,,,,,,,
100,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-11-03 14:01:04.000000,2025-11-01 13:54:30,2701.0,54.0,82.0,19.0,972.0,9.0,143.0,534.0,2025-11-01 15:18:55,0.30.0.RELEASE,83.0,,,35.0,,,,3.0,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,,
101,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,19,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,128.0,25.0,363.0,54.0,77.0,249.0,2025-02-10 16:01:17,8.5.1,51.0,39.0,39.0,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,
102,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],18,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-10-20 09:33:35.000000,2025-10-20 09:33:34,1324.0,1.0,307.0,85.0,541.0,32.0,177.0,3220.0,2021-06-23 10:02:43,ctap2.0,1.0,,,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,
103,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,,923.0,245.0,255.0,212.0,555.0,3141.0,,,,,,49.0,,,,3.0,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,,
104,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-10-22 16:06:57.000000,2025-10-22 16:06:52,166.0,2.0,221.0,62.0,107.0,2.0,59.0,2448.0,2024-03-06 13:35:30,1.3.0,41.0,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,
105,ion,https://github.com/decentralized-identity/ion,dids,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,False,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,164.0,84.0,184.0,73.0,69.0,1236.0,2022-06-09 01:42:53,1.0.4,17.0,,,32.0,,,,2.0,,,,,,,,,,,,,,,,,,,
106,solid-specification,https://github.com/solid/specification,specs,Solid Technical Reports.,,['solid'],18,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2025-11-05 15:01:23.000000,2025-11-04 13:06:40,1264.0,12.0,50.0,47.0,323.0,189.0,152.0,542.0,2021-12-21 13:00:06,protocol-v0.9.0,1.0,,,29.0,,,,1.0,,,,,,,,,,,,,,,,,,,
