,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,new_addition,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
24,boundary,hashicorp/boundary,,,machine,https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-04-21 20:16:34.000000,2023-04-21 16:40:17,2876.0,226.0,75.0,2887.0,3604.0,Boundary enables identity-based access management for dynamic infrastructure.,128.0,31,True,232.0,72.0,213.0,43.0,2023-04-07 19:27:59,8.0,156782.0,3.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6114529.0,['hashicorp'],,10.0,,,,,,,,,,,,
25,spicedb,authzed/spicedb,,,authorization,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-04-21 21:49:27.000000,2023-04-21 13:57:30,2667.0,174.0,34.0,948.0,3400.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,258.0,100.0,224.0,27.0,2023-04-19 16:39:52,22.0,9871.0,2.0,1.20.0,12156.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-04-19 16:30:08.515160,184649.0,,,4.0,,,,,,,,,,,,
26,node-oidc-provider,panva/node-oidc-provider,,,authentication,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-04-22 12:21:26.000000,2023-04-22 12:21:21,2378.0,699.0,69.0,214.0,2636.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,60.0,31,True,34.0,,,100.0,2023-04-21 20:37:24,941.0,113325.0,3.0,8.1.2,,941.0,,,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,113325.0,,,,,,,,,
27,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,995.0,108.0,807.0,5132.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,37.0,19.0,825.0,62.0,2023-03-29 07:20:04,7646.0,,3.0,5.6.6,,7646.0,,,,,,,,,,,,,,,,,,doorkeeper,
28,authelia,authelia/authelia,,,idp,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-04-23 11:15:11.000000,2023-04-23 11:13:34,4188.0,896.0,156.0,3988.0,16167.0,The Single Sign-On Multi-Factor portal for web apps.,125.0,29,True,365.0,72.0,1024.0,100.0,2022-12-21 09:01:04,2.0,555.0,2.0,4.37.5,21670.0,2.0,,,,,,,,,,,,,,,,,,,
29,oathkeeper,ory/oathkeeper,,,machine,https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-04-17 08:27:24.000000,2023-04-17 08:27:23,1303.0,304.0,49.0,693.0,2945.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,34.0,49.0,262.0,100.0,2023-03-15 16:29:58,2.0,1104558.0,3.0,0.40.2,22084.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-03-15 16:29:58.302274,73983047.0,['ory'],,22.0,,,,,,,,,,,,
30,did-jwt,decentralized-identity/did-jwt,,,decentralized,https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-04-21 19:13:15.000000,2023-04-19 15:56:17,567.0,62.0,39.0,199.0,288.0,Create and verify DID verifiable JWTs in Javascript.,39.0,29,True,18.0,7.0,72.0,90.0,2023-04-19 15:57:26,3162.0,116802.0,1.0,7.0.0,,3162.0,,,,,['dif'],True,,did-jwt,https://www.npmjs.com/package/did-jwt,116802.0,,,,,,,,,
31,dex,dexidp/dex,,,authentication,https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-04-23 09:32:22.000000,2023-04-21 17:40:52,2387.0,1402.0,175.0,1689.0,8037.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,216.0,28,True,78.0,280.0,771.0,79.0,2023-03-20 13:29:42,15.0,2.0,3.0,2.36.0,236.0,15.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,['linux-foundation'],,,,,,,,,,,,,,
32,casdoor,casdoor/casdoor,,,idp,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-04-23 09:12:20.000000,2023-04-23 09:02:29,1542.0,686.0,48.0,981.0,5847.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",114.0,28,True,213.0,101.0,646.0,100.0,2023-04-23 09:12:21,1.0,1487.0,2.0,1.302.3,,1.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-04-22 11:19:30.520194,44615.0,,,6.0,,,,,,,,,,,,
33,boulder,letsencrypt/boulder,,,pki,https://github.com/letsencrypt/boulder,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2023-04-23 01:28:54.000000,2023-04-21 21:00:27,6150.0,524.0,138.0,4048.0,4619.0,"An ACME-based certificate authority, written in Go.",125.0,28,True,168.0,186.0,2590.0,62.0,2023-04-17 19:29:52,,23076.0,2.0,release-2023-04-17,51126.0,,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2023-04-04 20:11:35.737275,1914424.0,['linux-foundation'],,12.0,,,,,,,,,,,,
34,keto,ory/keto,,,authorization,https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-04-19 14:14:40.000000,2023-04-19 14:14:39,1395.0,287.0,60.0,954.0,4001.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",66.0,28,True,98.0,44.0,246.0,50.0,,2.0,718981.0,3.0,,14485.0,2.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,43841245.0,['ory'],,6.0,,,,,,,,,,,,
35,oso,osohq/oso,,,authorization,https://github.com/osohq/oso,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2023-04-03 23:36:19.000000,2023-04-03 22:56:35,1187.0,142.0,30.0,1497.0,3007.0,Oso is a batteries-included framework for building authorization in your application.,61.0,28,True,15.0,98.0,97.0,100.0,2023-04-03 23:25:23,70.0,43213.0,3.0,0.27.0,2125.0,70.0,,,,,,,,,,,oso,https://pypi.org/project/oso,43132.0,,,,,,
36,identity-server,duendesoftware/identityserver,,,authentication,https://github.com/DuendeSoftware/IdentityServer,https://github.com/DuendeSoftware/IdentityServer,,2020-10-01 08:46:31,2023-04-21 10:57:51.000000,2023-04-20 08:20:37,4695.0,213.0,39.0,564.0,998.0,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,290.0,28,False,290.0,56.0,196.0,39.0,2023-02-02 17:27:15,945.0,,3.0,6.2.3,,945.0,,,,,,,,,,,,,,,,,,,
37,logto,logto-io/logto,,,idp,https://github.com/logto-io/logto,https://github.com/logto-io/logto,https://www.mozilla.org/en-US/MPL/2.0/,2021-06-19 03:01:50,2023-04-23 16:48:08.000000,2023-04-23 09:47:58,4051.0,195.0,33.0,3485.0,5632.0,Logto is a cost-effective open-source alternative to Auth0. It offers a seamless developer experience and is well-..,33.0,27,True,805.0,46.0,184.0,37.0,2023-04-18 13:33:17,6.0,447.0,2.0,1.2.0,1422.0,6.0,svhd/logto,https://hub.docker.com/r/svhd/logto,2023-04-23 10:13:55.520683,7250.0,,,1.0,,,,,,,,,,,,
38,zitadel,zitadel/zitadel,,,idp,https://github.com/zitadel/zitadel,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2023-04-23 14:35:05.000000,2023-04-21 14:54:32,2106.0,175.0,21.0,4028.0,3232.0,ZITADEL - The best of Auth0 and Keycloak combined. Built for the serverless era.,51.0,27,True,199.0,330.0,1092.0,100.0,2023-04-20 07:40:02,1.0,319.0,2.0,2.25.2,1915.0,1.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,,,,,,https://charts.zitadel.com,,,,,
39,node-solid-server,nodesolidserver/node-solid-server,,,decentralized,https://github.com/nodeSolidServer/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,,2014-09-21 22:05:03,2023-04-17 21:26:30.000000,2023-04-06 13:30:49,2951.0,283.0,82.0,828.0,1737.0,Solid server on top of the file-system in NodeJS.,85.0,27,False,17.0,274.0,611.0,51.0,2023-03-17 17:09:04,36.0,8523.0,1.0,5.7.7,,36.0,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-04-06 13:43:13.183129,838133.0,['solid'],True,4.0,solid-server,https://www.npmjs.com/package/solid-server,386.0,,,,,,,,,
40,cerbos,cerbos/cerbos,,,authorization,https://github.com/cerbos/cerbos,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2023-04-20 13:32:45.000000,2023-04-20 13:19:09,1216.0,60.0,23.0,1290.0,1302.0,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",18.0,27,True,82.0,40.0,195.0,49.0,2023-04-17 07:47:59,11.0,1316.0,3.0,0.26.0,32903.0,11.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,
41,jansen,janssenproject/jans,,,idp,https://github.com/JanssenProject/jans,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-04-23 15:29:54.000000,2023-04-21 16:45:57,32166.0,48.0,23.0,2662.0,203.0,"Welcome to the Janssen Project, an open standards-based digital Identity platform introducing Agama, a programming..",107.0,27,True,653.0,276.0,1732.0,100.0,2023-04-18 11:47:38,,512.0,2.0,1.0.12,512.0,,,,,,['linux-foundation'],,,,,,,,,,,,,,
42,did-jwt-vc,decentralized-identity/did-jwt-vc,,,decentralized,https://github.com/decentralized-identity/did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-04-20 20:57:10.000000,2023-04-03 09:40:41,301.0,36.0,23.0,84.0,149.0,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,21.0,26,True,6.0,5.0,42.0,36.0,2023-04-03 09:41:07,543.0,51062.0,2.0,3.1.3,,543.0,,,,,['dif'],True,,did-jwt-vc,https://www.npmjs.com/package/did-jwt-vc,51062.0,,,,,,,,,
43,kanidm,kanidm/kanidm,,,idp,https://github.com/kanidm/kanidm,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-04-23 08:48:07.000000,2023-04-20 05:49:51,1147.0,80.0,14.0,1092.0,1432.0,"Kanidm: A simple, secure and fast identity management platform.",40.0,25,True,160.0,104.0,345.0,13.0,2023-02-05 23:53:21,42.0,92.0,3.0,1.1.0-alpha.11,20.0,42.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2023-04-20 03:11:59.338569,4633.0,,,,,,,,,,,,,,,
44,conjur,cyberark/conjur,,,machine,https://github.com/cyberark/conjur,https://github.com/cyberark/conjur,,2016-06-28 21:18:07,2023-04-23 17:42:05.000000,2023-04-21 17:07:42,3280.0,115.0,44.0,1673.0,663.0,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,87.0,25,False,69.0,206.0,901.0,67.0,2023-01-26 20:38:30,,83200.0,3.0,1.19.3,298.0,,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-04-18 14:23:53.813112,6822119.0,,,29.0,,,,,,,,,,,,
45,aries-framework-go,hyperledger/aries-framework-go,aries,,decentralized,https://github.com/hyperledger/aries-framework-go,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-04-22 22:02:49.000000,2023-04-22 22:02:49,3149.0,147.0,19.0,1984.0,221.0,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,56.0,25,True,42.0,384.0,1192.0,11.0,2023-04-05 16:43:22,280.0,,2.0,0.2.0,,280.0,,,,,,,,,,,,,,,,,,,-1.0
46,authentik,goauthentik/authentik,,,idp,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik,,2019-12-30 09:19:48,2023-04-23 16:40:31.000000,2023-04-23 16:16:50,11348.0,289.0,16.0,4065.0,3632.0,The authentication glue you need.,150.0,24,False,697.0,301.0,886.0,100.0,2023-04-18 08:14:30,,38.0,3.0,ersion/2023.4.1,888.0,,,,,,,,,,,,,,,https://charts.goauthentik.io,,,,,1.0
47,lemur,netflix/lemur,,,pki,https://github.com/Netflix/lemur,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-04-18 01:08:38.000000,2023-04-18 01:08:38,5419.0,303.0,395.0,3824.0,1632.0,Repository for the Lemur Certificate Manager.,147.0,24,True,147.0,120.0,392.0,25.0,2023-04-04 20:35:03,,0.0,3.0,1.4.0,47.0,,,,,,,,,,,,,,,,,,,,
48,opal,permitio/opal,,,authorization,https://github.com/permitio/opal,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-04-21 08:05:51.050703,2023-04-20 15:05:25,1511.0,96.0,18.0,288.0,1265.0,"Policy and data administration, distribution, and real-time updates on top of Open Policy Agent.",35.0,24,True,182.0,38.0,60.0,27.0,2023-04-21 08:02:11,,1166.0,3.0,0.6.0,362.0,,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2023-04-21 08:05:51.050703,29927.0,,,,,,,,,,,,,,,
49,aries-python,hyperledger/aries-cloudagent-python,aries,,decentralized,https://github.com/hyperledger/aries-cloudagent-python,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-04-20 18:26:00.000000,2023-04-06 14:38:13,7304.0,391.0,32.0,1316.0,344.0,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,110.0,24,True,213.0,173.0,725.0,51.0,2023-04-06 14:41:18,,,2.0,0.8.1,,,,,,,,,,,,,,,,,,,,,
50,iota-identity,iotaledger/identity.rs,,,decentralized,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-04-18 13:29:57.000000,2023-04-18 13:29:56,1330.0,59.0,24.0,878.0,254.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,32.0,24,True,38.0,56.0,198.0,18.0,2023-03-08 16:34:58,78.0,,2.0,0.6.2,,78.0,,,,,,,,,,,,,,,,,,,
51,freeipa,freeipa/freeipa,,,idp,https://github.com/freeipa/freeipa,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-04-22 19:38:11.000000,2023-04-19 19:46:14,15544.0,300.0,51.0,6792.0,929.0,"Mirror of FreeIPA, an integrated security information management solution.",214.0,23,True,70.0,,,,,,41022.0,3.0,,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2023-04-21 12:31:32.808762,5373889.0,,,148.0,,,,,,,,,,,,
52,athenz,athenz/athenz,,,pki,https://github.com/AthenZ/athenz,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-04-23 15:29:45.000000,2023-04-23 15:29:45,2633.0,233.0,52.0,1933.0,766.0,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,71.0,23,True,104.0,29.0,170.0,100.0,2023-04-23 15:22:30,,,3.0,1.11.27,,,,,,,['linux-foundation'],,,,,,,,,,,,,,
53,universal-resolver,decentralized-identity/universal-resolver,,,decentralized,https://github.com/decentralized-identity/universal-resolver,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-04-23 01:34:18.000000,2023-04-16 18:15:30,1602.0,203.0,57.0,263.0,450.0,Universal Resolver implementation and drivers.,91.0,23,True,24.0,23.0,78.0,6.0,2022-01-07 16:42:38,,1550.0,2.0,0.5.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-04-16 18:17:43.297808,105449.0,,,,,,,,,,,,,,,
54,aries-vcx,hyperledger/aries-vcx,aries,,decentralized,https://github.com/hyperledger/aries-vcx,https://github.com/hyperledger/aries-vcx,Apache-2.0,2020-07-21 07:26:03,2023-04-22 20:10:11.000000,2023-04-14 09:00:57,9535.0,33.0,11.0,686.0,47.0,"AriesVCX is a Rust library for building web and mobile applications issuing, holding, presenting and verifying..",135.0,23,False,37.0,29.0,91.0,59.0,2023-04-14 09:52:15,10.0,275.0,2.0,0.54.1,8812.0,10.0,,,,,,,,,,,,,,,,,,,1.0
55,permify,permify/permify,,,authorization,https://github.com/Permify/permify,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-04-21 20:13:56.000000,2023-04-21 11:23:01,1256.0,44.0,11.0,327.0,1315.0,Permify is an open-source authorization service inspired by Google Zanzibar.,18.0,22,True,594.0,26.0,57.0,24.0,2023-04-19 16:38:30,,48.0,3.0,0.3.9,387.0,,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,,
56,supertokens,supertokens/supertokens-core,,,idp,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core,,2020-01-05 13:30:52,2023-04-22 06:09:56.000000,2023-04-22 06:09:17,700.0,306.0,57.0,228.0,8615.0,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,24.0,21,False,40.0,92.0,304.0,23.0,2023-04-01 06:14:01,,,3.0,4.6.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,,
57,gotrue,netlify/gotrue,,,idp,https://github.com/netlify/gotrue,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-03-07 03:09:30.000000,2022-02-10 15:59:24,635.0,252.0,64.0,214.0,3358.0,An SWT based API for managing users and issuing SWT tokens.,37.0,21,False,,9.0,111.0,2.0,2022-02-09 12:50:28,10.0,,3.0,1.0.1,,10.0,,,,,,,,,,,,,,,,,,,
58,veramo,uport-project/veramo,,,decentralized,https://github.com/uport-project/veramo,https://github.com/uport-project/veramo,Apache-2.0,2019-11-12 14:18:17,2023-04-21 04:29:24.000000,2023-04-14 22:38:36,1703.0,96.0,19.0,635.0,306.0,A JavaScript Framework for Verifiable Data.,48.0,21,True,71.0,57.0,331.0,34.0,2023-03-16 15:09:58,,,2.0,5.1.4,,,,,,,,,,,,,,,,,,,,,
59,aries-framework-javascript,hyperledger/aries-framework-javascript,aries,,decentralized,https://github.com/hyperledger/aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-04-19 22:07:58.000000,2023-04-19 22:04:45,753.0,119.0,27.0,877.0,177.0,Aries Framework JavaScript (Built using TypeScript).,50.0,21,True,113.0,145.0,391.0,74.0,2023-01-18 18:22:49,2.0,,2.0,0.3.3,,2.0,,,,,,,,,,,,,,,,,,,
60,web-did-resolver,decentralized-identity/web-did-resolver,,,decentralized,https://github.com/decentralized-identity/web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-04-17 00:44:42.000000,2023-04-03 11:05:53,243.0,13.0,13.0,112.0,67.0,DID resolver for HTTPS domains.,12.0,21,False,7.0,1.0,10.0,34.0,2023-04-03 11:06:06,547.0,22060.0,2.0,2.0.23,,547.0,,,,,['dif'],True,,web-did-resolver,https://www.npmjs.com/package/web-did-resolver,22060.0,,,,,,,,,
61,sidetree,decentralized-identity/sidetree,,,standards,https://github.com/decentralized-identity/sidetree,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-04-06 21:55:29.000000,2023-04-04 19:14:54,1149.0,100.0,42.0,676.0,420.0,Sidetree Specification and Reference Implementation.,47.0,20,True,1.0,38.0,440.0,12.0,2021-03-09 22:06:35,28.0,,3.0,1.0.2,,28.0,,,,,['dif'],True,,,,,,,,,,,,,
62,keystone,openstack/keystone,,,idp,https://github.com/openstack/keystone,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-04-21 17:38:20.000000,2023-04-21 17:30:29,14792.0,642.0,115.0,17.0,655.0,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,710.0,19,True,10.0,,,,,,,3.0,,,,,,,,['openstack'],,,,,,,,,,,,,,
63,aries-rfcs,hyperledger/aries-rfcs,aries,,decentralized,https://github.com/hyperledger/aries-rfcs,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-04-16 09:58:48.000000,2023-03-31 16:40:35,2105.0,203.0,58.0,564.0,296.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",84.0,19,True,20.0,48.0,169.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
