,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,updated_github_id,github-id
55,cerbos,https://github.com/cerbos/cerbos,authorization,"Cerbos is the open core, language-agnostic, scalable authorization solution that makes user permissions and..",,,28,True,cerbos/cerbos,,https://github.com/cerbos/cerbos,Apache-2.0,2021-03-21 13:23:10,2024-02-20 18:33:22.000000,2024-02-20 16:17:59,1535.0,95.0,103.0,28.0,1629.0,43.0,283.0,2270.0,2024-02-20 09:17:15,0.34.0,57.0,21.0,21.0,26.0,,,1592.0,3.0,,55749.0,ghcr.io/cerbos/cerbos,https://hub.docker.com/r/ghcr.io/cerbos/cerbos,,,,,,,oci://ghcr.io/cerbos/helm-charts/cerbos,,,,,,,
56,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2024-02-19 19:37:04.000000,2024-02-19 01:48:07,471.0,29.0,65.0,29.0,144.0,5.0,47.0,189.0,2024-02-14 22:03:28,10.1.5,59.0,1458.0,1458.0,26.0,https://www.npmjs.com/package/ethr-did-resolver,15853.0,15853.0,1.0,,,,,,,,,,,,,,,,,,
57,zitadel,https://github.com/zitadel/zitadel,idp,"ZITADEL - Identity infrastructure, simplified foryou.",,,27,True,zitadel/zitadel,,https://github.com/zitadel/zitadel,Apache-2.0,2020-03-16 13:51:31,2024-02-22 18:10:51.000000,2024-02-22 17:25:47,2862.0,149.0,372.0,37.0,4957.0,494.0,1487.0,6343.0,2024-02-16 14:27:29,2.46.0,100.0,,,99.0,,,588.0,3.0,,2352.0,ghcr.io/zitadel/zitadel,https://hub.docker.com/r/ghcr.io/zitadel/zitadel,,,,,,,https://charts.zitadel.com,,,,,,,
58,authentik,https://github.com/goauthentik/authentik,idp,The authentication glue you need.,,,27,True,goauthentik/authentik,,https://github.com/goauthentik/authentik,https://github.com/goauthentik/authentik/blob/13591fc72cd2f07bdd1c17f66e4f4f0a6608d8eb/authentik/enterprise/LICENSE,2019-12-30 09:19:48,2024-02-22 17:47:17.000000,2024-02-22 16:53:19,13725.0,640.0,458.0,33.0,6588.0,496.0,1359.0,5857.0,2024-02-22 15:36:54,ersion/2024.2.1,100.0,,,211.0,,,100.0,3.0,,2827.0,,,,,,,,,https://charts.goauthentik.io,,,,,,,
59,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,27,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2024-02-07 07:28:03.000000,2024-02-07 07:27:50,2459.0,33.0,739.0,70.0,243.0,,,2960.0,2024-01-17 08:17:36,8.4.5,100.0,3.0,3.0,72.0,https://www.npmjs.com/package/oidc-provider,179800.0,179800.0,2.0,,,,,,,,,,,,,,,,,,
60,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,27,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2024-02-22 10:57:36.000000,2024-02-22 07:34:46,1813.0,113.0,125.0,18.0,1810.0,160.0,544.0,1905.0,2024-02-07 04:43:11,1.1.0-rc.16,18.0,42.0,42.0,66.0,,,3293.0,3.0,,249.0,kanidm/server,https://hub.docker.com/r/kanidm/server,2024-02-07 06:29:26.911239,,197354.0,,,,,,,,,,,
61,jansen,https://github.com/JanssenProject/jans,idp,An open source enterprise digital identity platform that scales for CIAM: Janssen is a distribution of standards-..,,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2024-02-22 17:49:30.000000,2024-02-22 17:49:28,33696.0,445.0,57.0,31.0,4533.0,336.0,2837.0,361.0,2024-02-03 07:03:23,1.0.22,100.0,,,112.0,,,411.0,3.0,,1647.0,,,,,,,,,,,,,,,,
62,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2024-02-19 19:17:12.000000,2024-01-18 09:12:14,359.0,4.0,40.0,23.0,97.0,2.0,47.0,165.0,2024-01-18 09:12:30,4.0.0,54.0,874.0,874.0,22.0,https://www.npmjs.com/package/did-jwt-vc,18940.0,18940.0,1.0,,,,,,,,,,,,,,,,,,
63,whisper,https://github.com/openai/whisper,biometrics,Robust Speech Recognition via Large-Scale Weak Supervision.,,,26,True,openai/whisper,,https://github.com/openai/whisper,MIT,2022-09-16 20:02:54,2024-02-22 15:22:59.000000,2023-12-18 20:11:16,136.0,2.0,6234.0,479.0,209.0,,,56346.0,2023-11-17 19:59:53,20231117,10.0,21.0,21.0,66.0,,,267729.0,3.0,,,,,,,,openai-whisper,https://pypi.org/project/openai-whisper,267729.0,,,,,,,,
64,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,25,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2024-02-21 21:00:35.000000,2024-02-21 21:00:26,6071.0,97.0,310.0,411.0,4181.0,118.0,417.0,1681.0,2024-01-17 19:18:46,1.7.0,28.0,,,150.0,,,0.0,2.0,,51.0,,,,,,,,,,,,,,,,
65,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2024-02-22 00:24:06.000000,2024-02-21 22:05:47,2985.0,91.0,262.0,52.0,2255.0,38.0,205.0,845.0,2024-02-21 22:04:52,1.11.52,100.0,29.0,29.0,81.0,,,,2.0,,,,,,,,,,,,,,,,,,
66,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2024-02-22 18:13:33.000000,2024-02-22 18:04:33,1848.0,30.0,113.0,23.0,764.0,61.0,366.0,387.0,2024-01-16 17:06:31,5.6.0,43.0,575.0,575.0,54.0,,,,1.0,,,,,,,,,,,,,,,,,,
67,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2024-02-22 15:49:46.000000,2024-02-22 15:15:21,8886.0,512.0,440.0,30.0,1648.0,211.0,950.0,382.0,2023-11-25 05:08:09,0.11.0,74.0,,,134.0,,,,1.0,,,,,,,,,,,,,,,,,,
68,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,24,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2024-02-22 14:56:20.074703,2024-02-20 12:55:31,1697.0,20.0,125.0,21.0,365.0,38.0,79.0,2059.0,2023-09-14 19:06:35,0.7.4,32.0,,,49.0,,,4225.0,3.0,,580.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2024-02-22 14:56:20.074703,1.0,151493.0,,,,,,,,,,,
69,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,24,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2024-02-16 13:38:11.000000,2024-02-16 13:38:11,618.0,20.0,151.0,35.0,262.0,60.0,176.0,1029.0,2022-09-28 20:32:17,3.0.1,14.0,230.0,230.0,44.0,,,,3.0,,,,,,,,,,,,,,,,,,
70,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2024-02-22 16:01:58.000000,2024-02-21 14:49:12,1440.0,27.0,73.0,23.0,1008.0,52.0,226.0,276.0,2024-02-19 15:08:47,1.0.1,27.0,110.0,110.0,35.0,,,,2.0,,,,,,,,,,,,,,,,,,
71,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],24,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2024-02-19 21:25:32.000000,2024-02-19 21:22:49,781.0,124.0,37.0,16.0,221.0,24.0,83.0,66.0,2024-02-13 10:21:42,0.2.0,30.0,69.0,69.0,22.0,,,4859.0,2.0,,63168.0,,,,,,,,,,,,,,,,
72,hanko,https://github.com/teamhanko/hanko,idp,Auth and user management for the passkey era.,,,23,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2024-02-22 16:39:05.000000,2024-02-20 22:05:54,2004.0,85.0,803.0,27.0,1162.0,41.0,125.0,5271.0,2024-02-16 16:42:14,backend/v0.10.0,19.0,224.0,224.0,43.0,,,1.0,3.0,,21.0,,,,,,,,,,,,,,,,
73,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2024-02-22 16:03:30.000000,2024-02-21 15:22:18,2540.0,340.0,105.0,17.0,898.0,28.0,133.0,2322.0,2024-02-17 20:13:26,0.7.4,58.0,1.0,1.0,41.0,,,85.0,3.0,,1532.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
74,maxkey,https://github.com/dromara/MaxKey,idp,"MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) ProductIAM-IDaas,OAuth2.xOpenID..",,,23,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2024-02-22 00:17:43.000000,2024-01-05 02:13:29,2229.0,13.0,261.0,26.0,96.0,8.0,88.0,1127.0,2023-10-11 13:10:11,4.0.2,57.0,,,37.0,,,91.0,3.0,,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2023-10-11 12:25:07.733007,5.0,7965.0,,,,,,,,,,,
75,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2024-02-22 15:44:39.000000,2024-02-21 22:07:33,15805.0,96.0,310.0,52.0,7251.0,,,1064.0,,,,,,223.0,,,40273.0,3.0,,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2024-02-21 08:19:08.857998,162.0,5678590.0,,,,,,,,,,,
76,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2024-02-22 17:20:29.000000,2024-02-20 15:48:56,1705.0,29.0,221.0,60.0,291.0,28.0,83.0,511.0,2022-01-07 16:42:38,0.5.0,6.0,,,102.0,,,1543.0,2.0,,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2024-02-20 15:50:44.239326,,120421.0,,,,,,,,,,,
77,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-02-21 20:49:05.000000,2024-02-21 20:47:48,453.0,39.0,93.0,18.0,438.0,67.0,184.0,319.0,2024-02-21 20:48:22,0.2.18,36.0,356.0,356.0,41.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,,,
78,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2024-02-22 18:16:19.000000,2024-02-22 18:14:06,916.0,75.0,157.0,28.0,1085.0,120.0,536.0,223.0,2023-10-05 13:35:35,0.4.2,77.0,3.0,3.0,60.0,,,,2.0,,,,,,,,,,,,,,,,,,
79,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],23,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2024-02-19 18:08:51.000000,2024-02-19 00:24:37,390.0,10.0,41.0,23.0,128.0,3.0,18.0,202.0,2023-03-08 14:05:37,4.1.0,24.0,5620.0,5620.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,
80,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,3182.0,295.0,25.0,1.0,143.0,20717.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,24138.0,3.0,,772421.0,,,,,,,,,,,,,,,,
81,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,22,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2024-02-22 10:26:40.000000,2024-02-09 17:33:27,939.0,19.0,419.0,61.0,451.0,110.0,352.0,11274.0,2024-02-10 17:26:32,6.0.17,59.0,,,26.0,,,,3.0,,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
82,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2024-02-08 03:31:07.000000,2024-01-17 13:25:40,562.0,4.0,284.0,61.0,147.0,188.0,552.0,5246.0,2020-09-02 15:57:23,2.6.1,11.0,,,61.0,,,216.0,3.0,,15561.0,,,,,,,,,,,,,,howdy,,
83,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2024-02-03 00:32:39.000000,2024-02-03 00:32:39,4037.0,7.0,757.0,255.0,330.0,62.0,210.0,2827.0,2015-09-29 22:50:55,1.1.0,4.0,,,57.0,,,893.0,3.0,,109845.0,,,,,,,,,,,,,,,,
84,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,22,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,,122.0,48.0,1887.0,207.0,901.0,742.0,2023-08-04 21:07:07,1.20.0,73.0,,,96.0,,,76627.0,3.0,,387.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7049286.0,,,,,,,,,,,
85,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,22,True,github/webauthn-json,github/webauthn-json,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2024-02-22 04:38:48.000000,2023-07-17 21:06:20,282.0,,51.0,248.0,29.0,6.0,39.0,703.0,2023-01-31 02:32:05,2.1.1,52.0,1156.0,1156.0,12.0,https://www.npmjs.com/package/github/webauthn-json,,,3.0,,,,,,,,,,,,,,,,,,
86,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2024-02-14 21:29:52.000000,2024-02-09 17:33:51,14918.0,35.0,652.0,113.0,17.0,,,674.0,,,,124.0,124.0,727.0,,,,3.0,,,,,,,,,,,,,,,,,,
87,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,22,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2024-02-22 10:25:16.000000,2024-02-22 10:20:00,13289.0,155.0,125.0,12.0,1775.0,935.0,1964.0,303.0,2023-06-16 12:51:58,11.4.3,55.0,,,85.0,,,103.0,3.0,,7726.0,,,,,,,,,,,,,,,,
88,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2024-02-19 19:02:44.000000,2024-02-19 00:07:08,289.0,13.0,15.0,14.0,117.0,1.0,10.0,82.0,2023-07-03 18:25:08,2.0.27,38.0,882.0,882.0,12.0,https://www.npmjs.com/package/web-did-resolver,24526.0,24526.0,2.0,,,,,,,,,,,,,,,,,,
89,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-12-18 22:01:36.000000,2023-08-31 21:53:17,639.0,,270.0,65.0,222.0,9.0,123.0,3668.0,2022-02-09 12:50:28,1.0.1,2.0,10.0,10.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,
90,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],21,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2024-01-15 13:57:58.000000,2024-01-15 13:57:58,1279.0,1.0,265.0,89.0,488.0,25.0,160.0,2825.0,2021-06-23 10:02:43,ctap2.0,1.0,78.0,78.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,
91,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2024-02-21 20:28:18.000000,2024-02-21 20:26:56,2263.0,58.0,151.0,179.0,849.0,72.0,1048.0,1073.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,74.0,,,,1.0,,,,,,,,,,,,,,,,,,
92,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],21,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2024-02-14 18:34:46.000000,2024-02-14 18:34:45,4915.0,23.0,633.0,64.0,1757.0,33.0,51.0,662.0,2024-02-09 14:17:29,1.13.2,37.0,,,102.0,,,10.0,2.0,,575.0,,,,,,,,,,,,,,,,
93,sidetree,https://github.com/decentralized-identity/sidetree,specs,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-12-18 20:07:43.000000,2023-04-04 19:14:54,1149.0,,103.0,40.0,682.0,37.0,441.0,433.0,2021-03-09 22:06:35,1.0.2,12.0,33.0,33.0,47.0,,,,1.0,,,,,,,,,,,,,,,,,,
94,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2024-02-22 11:29:58.000000,2024-02-22 11:29:57,2507.0,92.0,32.0,16.0,3221.0,49.0,96.0,65.0,2023-12-20 18:55:46,2.0.0,22.0,797.0,797.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,
95,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4664.0,567.0,122.0,501.0,620.0,13404.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,
96,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2024-02-17 18:38:26.000000,2023-10-25 17:45:50,394.0,,674.0,97.0,312.0,157.0,326.0,1650.0,2023-05-01 17:52:41,1.6.2,25.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,,
97,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn and Apple App Attest server side verification.,,,20,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2024-02-19 14:39:28.000000,2024-02-01 07:44:20,2232.0,50.0,68.0,22.0,729.0,5.0,95.0,365.0,2024-02-01 07:18:11,0.22.1.RELEASE,53.0,,,26.0,,,,3.0,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,
98,aries-rfcs,https://github.com/hyperledger/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],20,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2024-02-21 16:38:47.000000,2024-02-21 04:41:44,2213.0,45.0,208.0,55.0,587.0,55.0,172.0,315.0,,,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,,
99,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,157.0,20.0,2046.0,388.0,1196.0,238.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,61.0,,,,2.0,,,,,,,,,,,,,,,,,,
100,web5-js,https://github.com/TBD54566975/web5-js,ssi-sdks,"An SDK for building decentralized web apps with DIDs, VCs, and DWNs.",,['web5'],20,True,TBD54566975/web5-js,web5/api,https://github.com/TBD54566975/web5-js,Apache-2.0,2023-03-06 19:11:53,2024-02-22 16:19:00.000000,2024-02-21 23:51:39,447.0,85.0,40.0,7.0,258.0,54.0,109.0,101.0,2024-01-11 22:18:15,api-0.8.4,19.0,65.0,65.0,26.0,https://www.npmjs.com/package/web5/api,,,2.0,,,,,,,,,,,,,,,,,,
101,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2024-02-21 23:12:09.000000,2024-02-16 20:14:38,1106.0,18.0,16.0,12.0,1270.0,,321.0,28.0,2023-11-16 22:24:18,1.13.0,16.0,,,27.0,,,357.0,2.0,,10003.0,,,,,,,,,,,,,,,,
102,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2024-02-14 16:36:16.000000,2023-07-12 07:05:13,339.0,,804.0,240.0,242.0,183.0,527.0,2675.0,,,,,,47.0,,,,3.0,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,
103,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,272.0,98.0,42.0,28.0,24.0,2464.0,,,,,,26.0,,,2374.0,3.0,,,,,,,,pyja3,https://pypi.org/project/pyja3,2374.0,,,,,,,,
104,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],19,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2024-02-04 16:25:34.000000,2023-06-09 16:12:30,149.0,,221.0,63.0,104.0,3.0,55.0,2319.0,2020-04-30 07:36:33,1.2.0,40.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,,
105,vc-data-model,https://github.com/w3c/vc-data-model,specs,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],19,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2024-02-22 10:44:48.000000,2024-02-21 17:00:14,1913.0,235.0,85.0,77.0,751.0,25.0,646.0,268.0,,,,,,66.0,,,,2.0,,,,,,,,,,,,,,,,,,
106,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,19,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2024-01-31 08:16:37.000000,2024-01-23 08:35:12,1730.0,2.0,100.0,28.0,346.0,37.0,73.0,178.0,2023-06-11 17:23:23,8.4.0,49.0,30.0,30.0,51.0,,,,3.0,,,,,,,,,,,,,,,,,,
107,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,19,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2024-02-21 17:00:50.000000,2024-02-21 17:00:30,1533.0,4.0,33.0,7.0,196.0,2.0,164.0,97.0,2023-12-13 10:55:46,1.2312131048.0,98.0,,,16.0,,,422.0,2.0,,58.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-12-13 10:55:45.426370,,12620.0,,,,,,,,,,,
