,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,updated_github_id,gem_url,new_addition,apt_id
51,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],27,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-11-06 18:32:20.000000,2023-11-06 01:17:32,378.0,5.0,40.0,23.0,127.0,3.0,18.0,194.0,2023-03-08 14:05:37,4.1.0,24.0,4961.0,4961.0,24.0,https://www.npmjs.com/package/did-resolver,165212.0,165212.0,2.0,,,,,,,,,,,,,,,,,,
52,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-11-06 04:10:02.000000,2023-11-06 01:34:30,355.0,31.0,38.0,24.0,92.0,2.0,47.0,156.0,2023-11-01 14:53:16,3.2.14,52.0,784.0,784.0,22.0,https://www.npmjs.com/package/did-jwt-vc,18841.0,18841.0,1.0,,,,,,,,,,,,,,,,,,
53,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-10-25 21:01:21.000000,2023-10-25 20:56:59,2423.0,24.0,722.0,72.0,226.0,,,2852.0,2023-10-25 21:01:30,8.4.1,100.0,2.0,2.0,67.0,https://www.npmjs.com/package/oidc-provider,186296.0,186296.0,3.0,,,,,,,,,,,,,,,,,,
54,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-11-06 21:07:19.000000,2023-11-06 21:07:19,5946.0,291.0,310.0,409.0,4094.0,119.0,415.0,1670.0,2023-10-23 21:10:51,1.6.0,27.0,,,151.0,,,0.0,3.0,,51.0,,,,,,,,,,,,,,,,
55,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,26,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-10-30 21:55:26.000000,2023-10-13 18:18:58,3449.0,90.0,120.0,48.0,1886.0,207.0,901.0,715.0,2023-08-04 21:07:07,1.20.0,73.0,,,96.0,,,78683.0,3.0,cyberark/conjur,366.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7002401.0,,,,,,,,,,,,
56,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-11-10 19:20:32.000000,2023-11-07 16:21:48,1817.0,50.0,103.0,23.0,731.0,61.0,348.0,359.0,2023-10-09 11:46:16,5.5.3,42.0,518.0,518.0,50.0,,,,1.0,,,,,,,,,,,,,,,,,,
57,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-11-11 12:46:26.000000,2023-11-09 14:25:46,2877.0,124.0,256.0,53.0,2151.0,35.0,198.0,811.0,2023-11-07 17:58:44,1.11.46,100.0,26.0,26.0,79.0,,,,3.0,,,,,,,,,,,,,,,,,,
58,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-11-11 05:08:46.000000,2023-11-08 21:27:25,8280.0,465.0,428.0,29.0,1528.0,229.0,847.0,373.0,2023-10-09 18:00:40,0.10.4,69.0,,,126.0,,,,1.0,,,,,,,,,,,,,,,,,,
59,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],24,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-10-20 15:23:04.000000,2023-09-03 08:06:59,2952.0,1.0,287.0,80.0,832.0,285.0,610.0,1754.0,2023-03-17 17:09:04,5.7.7,51.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,2394.0,11034.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-09-03 08:18:28.394842,4.0,950500.0,,,,,,,,,,,,
60,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-11-02 10:17:06.000000,2023-11-02 10:17:03,1412.0,36.0,70.0,25.0,978.0,57.0,201.0,268.0,2023-11-02 09:48:53,1.0.0,23.0,101.0,101.0,33.0,,,,2.0,,,,,,,,,,,,,,,,,,
61,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-11-10 13:46:24.000000,2023-11-10 07:08:30,910.0,78.0,392.0,64.0,417.0,99.0,341.0,10650.0,2023-11-10 13:47:03,7.0.11,52.0,,,25.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
62,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,23,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-11-09 14:42:55.000000,2023-09-24 10:25:45,558.0,19.0,271.0,58.0,141.0,177.0,534.0,4999.0,2020-09-02 15:57:23,2.6.1,11.0,,,60.0,,,208.0,3.0,,14378.0,,,,,,,,,,,,,,,,howdy
63,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-10-18 01:44:15.000000,2023-10-09 09:18:09,1677.0,24.0,116.0,20.0,337.0,32.0,76.0,1883.0,2023-09-14 19:06:35,0.7.4,32.0,,,45.0,,,3826.0,3.0,permitio/opal-server,536.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,125729.0,,,,,,,,,,,,
64,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-11-11 21:34:34.000000,2023-11-11 21:34:34,2096.0,358.0,61.0,15.0,688.0,27.0,105.0,1755.0,2023-11-02 07:39:49,0.5.6,40.0,,,29.0,,,76.0,3.0,ghcr.io/permify/permify,1142.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
65,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-11-10 18:02:02.000000,2023-11-02 13:47:50,15703.0,53.0,303.0,50.0,7072.0,,,1018.0,,,,,,219.0,,,40509.0,3.0,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2023-11-10 09:02:25.752739,156.0,5590261.0,,,,,,,,,,,,
66,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-11-11 18:52:32.000000,2023-11-09 10:51:30,1672.0,38.0,213.0,60.0,277.0,24.0,80.0,493.0,2022-01-07 16:42:38,0.5.0,6.0,,,98.0,,,1542.0,3.0,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-11-09 10:52:54.013835,,115694.0,,,,,,,-1.0,,,,,
67,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-11-11 22:09:37.000000,2023-11-07 23:14:17,402.0,88.0,87.0,17.0,378.0,43.0,180.0,309.0,2023-11-06 22:29:17,0.2.6,24.0,112.0,112.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,,,
68,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2023-11-11 15:45:38.000000,2023-10-31 12:59:26,614.0,59.0,33.0,16.0,176.0,19.0,74.0,53.0,2023-06-02 16:26:49,0.1.0,24.0,44.0,44.0,19.0,,,3350.0,3.0,,33500.0,,,,,,,,,,,,,,,True,
69,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,2753.0,274.0,25.0,1.0,143.0,18882.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,22174.0,3.0,,643062.0,,,,,,,,,,,,,,,,
70,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-11-10 23:38:46.000000,2023-11-09 21:18:47,4025.0,4.0,751.0,254.0,327.0,63.0,209.0,2812.0,2015-09-29 22:50:55,1.1.0,4.0,,,55.0,,,912.0,3.0,,109544.0,,,,,,,,,,,,,,,,
71,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-11-10 20:23:32.000000,2023-11-10 20:22:53,14878.0,13.0,651.0,114.0,17.0,,,669.0,,,,118.0,118.0,720.0,,,,3.0,,,,,,,,,,,,,,,,,,
72,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-11-06 03:51:55.000000,2023-11-06 01:18:53,273.0,14.0,15.0,14.0,114.0,1.0,10.0,76.0,2023-07-03 18:25:08,2.0.27,38.0,774.0,774.0,12.0,https://www.npmjs.com/package/web-did-resolver,19899.0,19899.0,3.0,,,,,,,,,,,,,,,,,,
73,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-11-10 10:28:35.000000,2023-10-11 18:56:38,2154.0,58.0,150.0,174.0,829.0,83.0,1025.0,1047.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,72.0,,,,1.0,,,,,,,,,,,,,,,,,,
74,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-09-28 17:59:07.000000,2023-04-04 19:14:54,1149.0,,102.0,40.0,680.0,37.0,441.0,428.0,2021-03-09 22:06:35,1.0.2,12.0,30.0,30.0,47.0,,,,1.0,,,,,,,,,,,,,,,,,,
75,aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,ssi-sdks,Aries Framework JavaScript (Built using TypeScript).,,['hyperledger'],21,True,hyperledger/aries-framework-javascript,,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-11-10 16:39:48.000000,2023-11-10 12:13:29,839.0,43.0,143.0,26.0,991.0,167.0,448.0,207.0,2023-10-05 13:35:35,0.4.2,77.0,2.0,2.0,56.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,
76,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2023-11-11 16:21:34.000000,2023-11-09 10:17:54,2393.0,100.0,30.0,14.0,3086.0,53.0,91.0,59.0,2023-11-09 12:25:17,1.17.4,20.0,747.0,747.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,True,
77,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4664.0,566.0,122.0,497.0,619.0,13267.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,
78,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-10-25 19:52:07.000000,2023-08-31 21:53:17,639.0,1.0,269.0,66.0,221.0,10.0,120.0,3596.0,2022-02-09 12:50:28,1.0.1,2.0,10.0,10.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,,
79,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-31 00:29:40.000000,2023-10-25 17:45:50,394.0,3.0,652.0,93.0,307.0,151.0,321.0,1606.0,2023-05-01 17:52:41,1.6.2,25.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,,
80,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,9.0,155.0,19.0,2046.0,387.0,1196.0,235.0,2023-05-09 10:57:15,0.3.2,14.0,2.0,2.0,59.0,,,,2.0,,,,,,,,,,,,,,,,,,
81,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,20,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-10 17:44:33.031368,2023-11-10 17:37:06,1523.0,25.0,31.0,6.0,190.0,3.0,162.0,91.0,2023-11-10 17:44:34,1.2311101737.0,94.0,,,16.0,,,374.0,2.0,waltid/ssikit,57.0,https://hub.docker.com/r/waltid/ssikit,2023-11-10 17:44:33.031368,,10058.0,,,,,,,-5.0,,,,,
82,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2023-11-11 06:21:58.000000,2023-11-02 16:18:23,1081.0,58.0,16.0,12.0,1242.0,6.0,314.0,27.0,2023-10-13 17:40:05,1.12.0,15.0,,,27.0,,,357.0,2.0,,8929.0,,,,,,,,,,,,,,,True,
83,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-11-10 22:02:09.000000,2023-07-12 07:05:13,339.0,,794.0,238.0,234.0,171.0,525.0,2577.0,,,,,,47.0,,,,3.0,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
84,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,2.0,270.0,96.0,42.0,28.0,23.0,2344.0,,,,,,26.0,,,1855.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,1855.0,,,,,,,,,
85,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2023-11-07 16:51:31.000000,2023-11-07 16:51:30,4888.0,8.0,631.0,65.0,1745.0,30.0,49.0,653.0,2022-09-02 20:48:34,1.12.6,36.0,,,100.0,,,10.0,1.0,,561.0,,,,,,,,,,,,,,,True,
86,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,,220.0,64.0,103.0,4.0,54.0,2281.0,2020-04-30 07:36:33,1.2.0,40.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,,
87,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],18,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-11-07 22:43:18.000000,2023-07-24 21:30:11,2151.0,,206.0,58.0,575.0,52.0,171.0,311.0,,,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,,
88,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],18,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-11-11 21:18:37.000000,2023-11-07 16:11:38,1615.0,155.0,78.0,82.0,691.0,55.0,580.0,258.0,,,,,,62.0,,,,1.0,,,,,,,,,,,,,,,,,,
89,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-11-11 00:16:58.000000,2023-11-01 15:51:52,531.0,8.0,46.0,29.0,353.0,73.0,103.0,157.0,,,,113.0,113.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,
90,aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],18,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-11-11 00:09:19.000000,2023-11-11 00:09:19,1600.0,73.0,105.0,21.0,776.0,67.0,173.0,121.0,,,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,
91,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Self Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2023-11-10 13:04:27.000000,2023-11-10 12:54:16,1305.0,97.0,47.0,9.0,431.0,17.0,79.0,61.0,2023-11-09 13:29:49,2.3.0,7.0,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,True,
92,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,374.0,562.0,56.0,126.0,88.0,8165.0,,,,,,22.0,,,,2.0,,,,,,,,,,,,,-6.0,,,,,
93,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,17,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,1.0,159.0,90.0,184.0,70.0,68.0,1216.0,2022-06-09 01:42:53,1.0.4,17.0,,,32.0,,,,2.0,,,,,,,,,,,,,,,,,,
94,solid-specification,https://github.com/solid/specification,protocols,Solid Technical Reports.,,['solid'],17,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-11-09 16:58:16.000000,2023-11-09 16:58:15,966.0,50.0,36.0,49.0,197.0,173.0,146.0,440.0,2021-12-21 13:00:06,protocol-v0.9.0,1.0,,,21.0,,,,2.0,,,,,,,,,,,,,,,,,,
95,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-11-10 18:43:29.000000,2023-11-07 17:22:46,3590.0,18.0,66.0,27.0,5.0,,,226.0,,,,,,297.0,,,,3.0,,,,,,,,,,,,,,,,,,
96,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],17,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-11-06 23:45:29.000000,2023-11-06 17:04:53,313.0,23.0,53.0,12.0,327.0,47.0,107.0,186.0,,,4.0,33.0,33.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,,
97,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,17,False,walt-id/waltid-walletkit,,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-10-31 12:37:38.854547,2023-10-31 12:31:18,1371.0,16.0,25.0,2.0,111.0,2.0,43.0,32.0,2023-10-31 12:37:40,1.2310311231.0,44.0,,,12.0,,,148.0,3.0,waltid/walletkit,,https://hub.docker.com/r/waltid/walletkit,2023-10-31 12:37:38.854547,,3849.0,,,,,,,,,,,,
98,talao-altme,https://github.com/TalaoDAO/AltMe,ssi-agents,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,17,False,talaodao/altme,,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-12-27 07:56:07,2023-11-10 12:30:00.000000,2023-11-08 21:06:34,3468.0,324.0,10.0,7.0,449.0,54.0,1587.0,27.0,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,
99,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",16,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-11-08 14:51:10.000000,2023-11-08 14:51:10,535.0,6.0,148.0,85.0,203.0,16.0,41.0,1323.0,,,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,,
100,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,16,True,spruceid/didkit,,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2023-10-25 21:52:04.000000,2023-10-25 21:52:03,304.0,5.0,61.0,32.0,247.0,46.0,71.0,223.0,,,,4.0,4.0,21.0,,,,3.0,ghcr.io/spruceid/didkit-http,,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,True,
101,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,16,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-11-10 12:21:19.000000,2023-11-10 12:20:26,389.0,21.0,21.0,4.0,123.0,6.0,20.0,39.0,2023-11-10 12:21:19,1.4.1,27.0,66.0,66.0,15.0,,,,3.0,,,,,,,,,,,,,,,,,,
102,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,ssi-sdks,Self Sovereign Identity SDK.,,,16,False,sphereon-opensource/ssi-sdk,,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-11-22 08:30:41,2023-10-23 14:41:34.000000,2023-10-13 02:22:48,1424.0,153.0,6.0,7.0,133.0,2.0,6.0,37.0,2023-10-01 02:16:26,0.17.5,29.0,1.0,1.0,13.0,,,,3.0,,,,,,,,,,,,,-9.0,,,,,
103,did-core,https://github.com/w3c/did-core,credentials,W3C Decentralized Identifier Specification v1.0.,,['w3c'],15,True,w3c/did-core,,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,,84.0,74.0,487.0,31.0,324.0,387.0,,,,,,62.0,,,,2.0,,,,,,,,,,,,,,,,,,
104,tbd-ssi-service,https://github.com/TBD54566975/ssi-service,ssi-agents,The Self Sovereign Identity Service.,,['web5'],15,True,tbd54566975/ssi-service,,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-11-06 00:20:10.000000,2023-10-30 14:36:57,437.0,32.0,52.0,11.0,494.0,87.0,126.0,138.0,,,3.0,,,21.0,,,,3.0,,,,,,,,,,,,,,,,,,
105,presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,protocols,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,,['dif'],15,False,decentralized-identity/presentation-exchange,,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-10-24 10:04:29.000000,2023-10-05 20:28:43,621.0,8.0,31.0,31.0,226.0,51.0,170.0,75.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,
