,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,gem_url,updated_github_id,apt_id
52,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-11-22 04:20:39.000000,2023-11-06 01:34:30,355.0,28.0,38.0,24.0,93.0,2.0,47.0,157.0,2023-11-01 14:53:16,3.2.14,52.0,793.0,793.0,22.0,https://www.npmjs.com/package/did-jwt-vc,16190.0,16190.0,1.0,,,,,,,,,,,,,,,,,
53,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-11-22 09:04:56.000000,2023-11-22 09:04:52,2426.0,26.0,724.0,73.0,227.0,,,2867.0,2023-10-25 21:01:30,8.4.1,100.0,2.0,2.0,67.0,https://www.npmjs.com/package/oidc-provider,192905.0,192905.0,3.0,,,,,,,,,,,,,,,,,
54,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-11-22 08:29:35.000000,2023-11-21 16:08:58,5967.0,291.0,310.0,410.0,4114.0,117.0,417.0,1673.0,2023-10-23 21:10:51,1.6.0,27.0,,,152.0,,,0.0,3.0,,51.0,,,,,,,,,,,,,,,
55,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,26,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,65.0,121.0,48.0,1887.0,207.0,901.0,719.0,2023-08-04 21:07:07,1.20.0,73.0,,,96.0,,,78760.0,3.0,cyberark/conjur,367.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7009215.0,,,,,,,,,,,
56,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-11-23 16:54:59.000000,2023-11-13 05:23:13,1818.0,44.0,103.0,23.0,732.0,61.0,349.0,362.0,2023-10-09 11:46:16,5.5.3,42.0,523.0,523.0,50.0,,,,1.0,,,,,,,,,,,,,,,,,
57,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-11-22 21:44:08.000000,2023-11-21 23:54:48,2894.0,127.0,256.0,53.0,2171.0,35.0,199.0,813.0,2023-11-20 16:37:50,1.11.47,100.0,26.0,26.0,79.0,,,,3.0,,,,,,,,,,,,,,,,,
58,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-11-22 03:24:02.000000,2023-11-21 18:58:41,8326.0,412.0,431.0,29.0,1539.0,210.0,874.0,372.0,2023-11-22 03:24:02,0.10.5,71.0,,,128.0,,,,1.0,,,,,,,,,,,,,,,,,
59,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],24,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-10-20 15:23:04.000000,2023-09-03 08:06:59,2952.0,1.0,289.0,80.0,832.0,285.0,610.0,1754.0,2023-03-17 17:09:04,5.7.7,51.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,1854.0,10533.0,1.0,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-09-03 08:18:28.394842,4.0,954726.0,,,,,,,,,,,
60,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-11-22 13:05:51.000000,2023-11-16 10:13:23,1413.0,31.0,69.0,25.0,979.0,57.0,201.0,272.0,2023-11-02 09:48:53,1.0.0,23.0,101.0,101.0,33.0,,,,2.0,,,,,,,,,,,,,,,,,
61,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-11-22 05:01:31.000000,2023-11-21 16:07:27,920.0,82.0,395.0,64.0,425.0,101.0,345.0,10714.0,2023-11-22 05:02:01,7.0.13,54.0,,,26.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
62,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,23,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-11-20 11:07:58.000000,2023-09-24 10:25:45,558.0,16.0,273.0,58.0,142.0,176.0,536.0,5031.0,2020-09-02 15:57:23,2.6.1,11.0,,,60.0,,,210.0,3.0,,14533.0,,,,,,,,,,,,,,,howdy
63,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-11-23 10:52:18.000000,2023-11-23 10:52:18,2187.0,407.0,76.0,17.0,722.0,28.0,113.0,1909.0,2023-11-20 17:04:40,0.5.9,43.0,,,31.0,,,79.0,3.0,ghcr.io/permify/permify,1199.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
64,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-11-22 20:32:30.000000,2023-10-09 09:18:09,1677.0,21.0,117.0,20.0,339.0,35.0,76.0,1894.0,2023-09-14 19:06:35,0.7.4,32.0,,,45.0,,,3916.0,3.0,permitio/opal-server,544.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,128668.0,,,,,,,,,,,
65,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-11-22 23:43:04.000000,2023-11-20 13:44:56,15709.0,44.0,304.0,50.0,7083.0,,,1029.0,,,,,,219.0,,,40588.0,3.0,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2023-11-22 08:39:25.676107,158.0,5601240.0,,,,,,,,,,,
66,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-11-23 12:38:29.000000,2023-11-23 07:25:07,1674.0,32.0,216.0,60.0,279.0,24.0,80.0,494.0,2022-01-07 16:42:38,0.5.0,6.0,,,98.0,,,1552.0,2.0,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-11-23 08:41:12.971671,,116469.0,,,,,,,,,,,
67,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-11-22 23:56:55.000000,2023-11-22 18:18:15,414.0,93.0,87.0,17.0,394.0,47.0,181.0,309.0,2023-11-22 18:19:15,0.2.8,26.0,128.0,128.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,,,,,,,
68,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2023-11-23 15:40:26.000000,2023-11-23 15:38:45,619.0,46.0,34.0,16.0,185.0,19.0,75.0,54.0,2023-06-02 16:26:49,0.1.0,24.0,45.0,45.0,20.0,,,3631.0,3.0,,36310.0,,,,,,,,,,,,,,,
69,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,2799.0,276.0,25.0,1.0,143.0,18988.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,22669.0,3.0,,657410.0,,,,,,,,,,,,,,,
70,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-11-10 20:23:32.000000,2023-11-10 20:22:53,14878.0,11.0,654.0,113.0,17.0,,,672.0,,,,118.0,118.0,720.0,,,,3.0,,,,,,,,,,,,,,,,,
71,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-11-20 03:51:48.000000,2023-11-20 01:28:36,276.0,16.0,15.0,14.0,114.0,1.0,10.0,76.0,2023-07-03 18:25:08,2.0.27,38.0,789.0,789.0,12.0,https://www.npmjs.com/package/web-did-resolver,19263.0,19263.0,3.0,,,,,,,,,,,,,,,,,
72,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,21,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-11-22 17:39:33.000000,2023-11-09 21:18:47,4025.0,1.0,753.0,254.0,329.0,63.0,209.0,2816.0,2015-09-29 22:50:55,1.1.0,4.0,,,55.0,,,913.0,3.0,,109614.0,,,,,,,,,,,,-1.0,,,
73,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-11-22 18:15:39.000000,2023-11-15 22:20:17,2172.0,61.0,150.0,173.0,834.0,83.0,1026.0,1050.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,72.0,,,,1.0,,,,,,,,,,,,,,,,,
74,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-09-28 17:59:07.000000,2023-04-04 19:14:54,1149.0,,102.0,40.0,680.0,37.0,441.0,429.0,2021-03-09 22:06:35,1.0.2,12.0,31.0,31.0,47.0,,,,1.0,,,,,,,,,,,,,,,,,
75,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2023-11-21 11:02:38.000000,2023-11-20 17:52:05,2415.0,107.0,29.0,14.0,3104.0,52.0,93.0,60.0,2023-11-16 16:03:01,1.17.5,21.0,762.0,762.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,
76,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4665.0,566.0,122.0,497.0,619.0,13294.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,
77,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-10-25 19:52:07.000000,2023-08-31 21:53:17,639.0,1.0,269.0,66.0,221.0,9.0,121.0,3606.0,2022-02-09 12:50:28,1.0.1,2.0,10.0,10.0,39.0,,,,3.0,,,,,,,,,,,,,,,,,
78,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-31 00:29:40.000000,2023-10-25 17:45:50,394.0,3.0,657.0,93.0,307.0,151.0,322.0,1610.0,2023-05-01 17:52:41,1.6.2,25.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,
79,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2023-11-23 13:40:24.000000,2023-11-21 17:51:02,4892.0,12.0,631.0,64.0,1746.0,30.0,49.0,657.0,2022-09-02 20:48:34,1.12.6,36.0,,,100.0,,,10.0,1.0,,561.0,,,,,,,,,,,,1.0,,,
80,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,4.0,155.0,19.0,2046.0,388.0,1196.0,234.0,2023-05-09 10:57:15,0.3.2,14.0,2.0,2.0,59.0,,,,2.0,,,,,,,,,,,,,,,,,
81,aries-framework-javascript,https://github.com/hyperledger/aries-framework-javascript,ssi-sdks,Aries Framework JavaScript (Built using TypeScript).,,['hyperledger'],20,True,hyperledger/aries-framework-javascript,,https://github.com/hyperledger/aries-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-11-23 13:59:03.000000,2023-11-22 02:32:16,841.0,37.0,146.0,26.0,995.0,166.0,455.0,208.0,2023-10-05 13:35:35,0.4.2,77.0,2.0,2.0,56.0,,,,2.0,,,,,,,,,,,,,,,,,
82,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,20,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-23 10:15:09.000000,2023-11-23 10:14:53,1529.0,31.0,31.0,6.0,193.0,3.0,162.0,93.0,2023-11-13 10:54:06,1.2311131043.0,96.0,,,16.0,,,387.0,2.0,waltid/ssikit,57.0,https://hub.docker.com/r/waltid/ssikit,2023-11-23 09:20:43.162363,,10411.0,,,,,,,,,,,
83,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2023-11-21 11:47:10.000000,2023-11-21 11:45:44,1088.0,57.0,16.0,12.0,1249.0,,321.0,27.0,2023-11-16 22:24:18,1.13.0,16.0,,,27.0,,,361.0,2.0,,9049.0,,,,,,,,,,,,,,,
84,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-11-10 22:02:09.000000,2023-07-12 07:05:13,339.0,,796.0,238.0,234.0,173.0,525.0,2586.0,,,,,,47.0,,,,3.0,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,
85,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,1.0,270.0,96.0,42.0,28.0,23.0,2350.0,,,,,,26.0,,,1760.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,1760.0,,,,,,,,
86,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,,220.0,63.0,103.0,4.0,54.0,2285.0,2020-04-30 07:36:33,1.2.0,40.0,,,50.0,,,,3.0,,,,,,,,,,,,,,,,,
87,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,159.0,90.0,184.0,70.0,68.0,1218.0,2022-06-09 01:42:53,1.0.4,17.0,,,32.0,,,,2.0,,,,,,,,,,,,,,1.0,,,
88,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],18,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-11-21 15:59:57.000000,2023-11-21 15:59:40,1678.0,186.0,78.0,81.0,700.0,51.0,589.0,259.0,,,,,,64.0,,,,1.0,,,,,,,,,,,,,,,,,
89,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-11-23 00:18:24.000000,2023-11-01 15:51:52,531.0,8.0,47.0,30.0,353.0,73.0,103.0,159.0,,,,113.0,113.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,
90,digitalbazaar-vc,https://github.com/digitalbazaar/vc,credentials-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,18,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2023-11-23 12:04:27.000000,2023-11-15 20:42:38,365.0,21.0,43.0,16.0,73.0,22.0,62.0,153.0,,,,193.0,193.0,14.0,,,,3.0,,,,,,,,,,,,,,1.0,,,
91,aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],18,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-11-23 05:27:01.000000,2023-11-22 21:01:20,1607.0,66.0,105.0,21.0,782.0,68.0,173.0,120.0,,,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,
92,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Self Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2023-11-23 16:49:35.000000,2023-11-23 08:02:11,1342.0,120.0,50.0,9.0,452.0,4.0,104.0,66.0,2023-11-23 08:09:27,2.3.2,9.0,,,16.0,,,,2.0,,,,,,,,,,,,,,,,,
93,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,18,False,walt-id/waltid-walletkit,,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-11-23 10:20:00.964946,2023-11-23 10:15:56,1373.0,18.0,25.0,2.0,111.0,,46.0,32.0,2023-11-23 10:20:04,1.2311231016.0,46.0,,,12.0,,,149.0,3.0,waltid/walletkit,,https://hub.docker.com/r/waltid/walletkit,2023-11-23 10:20:00.964946,,3874.0,,,,,,,,,,,
94,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,374.0,561.0,56.0,126.0,88.0,8167.0,,,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,
95,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",17,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-11-21 10:24:10.000000,2023-11-08 14:51:10,535.0,4.0,149.0,84.0,204.0,16.0,41.0,1334.0,,,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,
96,solid-specification,https://github.com/solid/specification,protocols,Solid Technical Reports.,,['solid'],17,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-11-22 18:25:03.000000,2023-11-17 15:58:14,969.0,49.0,38.0,48.0,200.0,173.0,146.0,441.0,2021-12-21 13:00:06,protocol-v0.9.0,1.0,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,
97,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],17,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-11-21 12:36:47.000000,2023-11-13 03:34:35,2152.0,1.0,206.0,58.0,577.0,52.0,171.0,311.0,,,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,
98,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-11-22 09:43:18.000000,2023-11-22 09:42:44,3596.0,15.0,66.0,27.0,5.0,,,227.0,,,,,,297.0,,,,3.0,,,,,,,,,,,,,,,,,
99,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],17,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-11-21 02:44:38.000000,2023-11-21 02:43:54,317.0,25.0,53.0,13.0,330.0,47.0,107.0,187.0,,,4.0,33.0,33.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,
100,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,17,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-11-10 12:21:19.000000,2023-11-10 12:20:26,389.0,19.0,22.0,4.0,123.0,6.0,21.0,39.0,2023-11-10 12:21:19,1.4.1,27.0,73.0,73.0,15.0,,,,3.0,,,,,,,,,,,,,,,,,
101,talao-altme,https://github.com/TalaoDAO/AltMe,ssi-agents,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,17,False,talaodao/altme,,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-12-27 07:56:07,2023-11-23 15:54:05.000000,2023-11-23 15:54:05,3476.0,269.0,10.0,7.0,451.0,62.0,1601.0,28.0,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,
102,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,16,True,spruceid/didkit,,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2023-10-25 21:52:04.000000,2023-10-25 21:52:03,304.0,5.0,63.0,32.0,247.0,45.0,72.0,223.0,,,,4.0,4.0,21.0,,,,3.0,ghcr.io/spruceid/didkit-http,,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
103,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,ssi-sdks,Self Sovereign Identity SDK.,,,16,False,sphereon-opensource/ssi-sdk,,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-11-22 08:30:41,2023-11-23 10:26:02.000000,2023-10-13 02:22:48,1424.0,129.0,6.0,8.0,134.0,3.0,6.0,38.0,2023-10-01 02:16:26,0.17.5,29.0,1.0,1.0,13.0,,,,3.0,,,,,,,,,,,,,,,,,
104,did-core,https://github.com/w3c/did-core,credentials,W3C Decentralized Identifier Specification v1.0.,,['w3c'],15,True,w3c/did-core,,https://github.com/w3c/did-core,W3C,2019-09-10 07:46:26,2023-04-11 23:37:45.000000,2023-04-11 23:37:45,1309.0,,84.0,74.0,487.0,31.0,324.0,387.0,,,,,,62.0,,,,2.0,,,,,,,,,,,,,,,,,
105,tbd-ssi-service,https://github.com/TBD54566975/ssi-service,ssi-agents,The Self Sovereign Identity Service.,,['web5'],15,True,tbd54566975/ssi-service,,https://github.com/TBD54566975/ssi-service,Apache-2.0,2022-03-11 18:07:18,2023-11-20 00:57:22.000000,2023-10-30 14:36:57,437.0,20.0,52.0,12.0,496.0,87.0,126.0,139.0,,,3.0,,,21.0,,,,3.0,,,,,,,,,,,,,,,,,
106,presentation-exchange,https://github.com/decentralized-identity/presentation-exchange,protocols,Specification that codifies an inter-related pair of data formats for defining proof presentations (Presentation..,,['dif'],15,False,decentralized-identity/presentation-exchange,,https://github.com/decentralized-identity/presentation-exchange,Apache-2.0,2020-01-07 23:10:12,2023-10-24 10:04:29.000000,2023-10-05 20:28:43,621.0,6.0,31.0,31.0,226.0,54.0,170.0,75.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,
107,universal-registrar,https://github.com/decentralized-identity/universal-registrar,dids,Universal Registrar implementation and drivers.,,,15,False,decentralized-identity/universal-registrar,,https://github.com/decentralized-identity/universal-registrar,Apache-2.0,2017-09-29 13:01:11,2023-11-23 18:01:46.000000,2023-11-23 18:01:32,396.0,16.0,24.0,29.0,54.0,13.0,9.0,65.0,2021-10-08 12:33:05,0.2.0,2.0,,,11.0,,,,3.0,,,,,,,,,,,,,,,,,
