,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,helm_id,maven_id,maven_url,gem_url,brew_id,apt_id,github,github-id
54,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],29,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2026-06-10 19:05:15.000000,2026-06-10 19:04:22,615.0,56.0,76.0,26.0,189.0,5.0,57.0,231.0,2026-05-18 08:06:32,13.0.0,81.0,1916.0,1916.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,31326.0,31326.0,1.0,,,,,,,,,,,,,,,,,,,
55,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,28,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2026-05-29 10:41:20.000000,2026-05-29 10:40:03,1896.0,35.0,13220.0,1517.0,547.0,6.0,899.0,55268.0,2025-12-21 02:44:08,3.0.0,5.0,,,98.0,,,1058.0,3.0,,,93107.0,,,,,,,,,,,,,,,,
56,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,28,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3824.0,348.0,114.0,452.0,391.0,17869.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,474414.0,474414.0,3.0,,,,,,,,,,,,,,,,,,,
57,openface,https://github.com/cmusatyalab/openface,biometrics,Face recognition with deep neural networks.,,,28,False,cmusatyalab/openface,,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2024-10-04 12:59:04.000000,2024-10-04 12:58:31,743.0,,3487.0,735.0,77.0,1.0,382.0,15485.0,2024-10-04 12:56:15,0.2.2,5.0,96.0,96.0,31.0,,,1269.0,3.0,,bamos/openface,,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,71.0,163814.0,,,,,,,,,,,,
58,did-jwt,https://github.com/decentralized-identity/did-jwt,dids,Create and verify DID verifiable JWTs in Javascript.,,['dif'],28,True,decentralized-identity/did-jwt,did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2026-06-10 06:59:20.000000,2025-12-01 01:00:51,676.0,,71.0,37.0,237.0,5.0,87.0,372.0,2025-08-25 22:29:37,8.0.18,100.0,6249.0,6249.0,42.0,https://www.npmjs.com/package/did-jwt,371494.0,371494.0,1.0,,,,,,,,,,,,,,,,,,,
59,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,27,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2026-06-10 10:43:58.000000,2026-06-09 12:38:49,2561.0,84.0,1009.0,39.0,2181.0,33.0,388.0,8947.0,2026-06-05 13:50:38,backend/v2.7.0,42.0,341.0,341.0,54.0,,,26.0,3.0,,,1256.0,,,,,,,,,,,,,,,,
60,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2026-06-11 05:03:57.000000,2026-06-05 14:28:33,5920.0,212.0,318.0,24.0,2625.0,54.0,300.0,5892.0,2026-05-20 21:31:22,1.7.0,100.0,4.0,4.0,77.0,,,463.0,3.0,,ghcr.io/permify/permify,13909.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
61,ockam,https://github.com/build-trust/ockam,machine,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",,,27,True,build-trust/ockam,,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2026-01-04 22:01:38.000000,2026-01-04 21:59:47,9734.0,,554.0,52.0,7294.0,,1780.0,4628.0,2025-06-30 22:09:21,ockam_v0.157.0,100.0,189.0,189.0,318.0,,,317.0,3.0,,,15535.0,,,,,,,,,,,,,build-trust/ockam/ockam,,,
62,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,False,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,185.0,25.0,1531.0,111.0,104.0,3495.0,2024-01-13 04:08:30,0.27.3,100.0,219.0,219.0,68.0,,,46392.0,3.0,,,4042.0,,,,,oso,https://pypi.org/project/oso,46329.0,,,,,,,,,
63,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],27,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2026-05-30 15:56:43.000000,2026-01-11 10:32:45,3308.0,,299.0,72.0,909.0,300.0,644.0,1800.0,2026-01-07 15:47:40,6.0.0,60.0,3.0,3.0,90.0,https://www.npmjs.com/package/solid-server,1566.0,8699.0,1.0,,nodesolidserver/node-solid-server,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005815.0,,,,,,,,,,,,
64,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,27,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2026-06-10 01:14:45.000000,2026-06-10 01:14:43,599.0,28.0,187.0,34.0,155.0,2.0,109.0,1046.0,2026-02-11 23:35:38,2.7.1,37.0,,,35.0,,,5551474.0,2.0,1.0,,,,,,,webauthn,https://pypi.org/project/webauthn,5551474.0,,,,,,,,,
65,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2026-06-03 01:12:05.000000,2026-06-02 17:50:23,3820.0,113.0,300.0,51.0,3027.0,42.0,293.0,992.0,2026-05-28 06:37:29,1.12.42,100.0,380.0,380.0,108.0,,,,3.0,,,,,,,,,,,,,,,,,,,
66,authgear,https://github.com/authgear/authgear-server,idp,"Open source Auth0/Clerk/Firebase alternative. Passkeys, SSO, MFA, passwordless, biometric login. Self-hosted or cloud...",,,25,True,authgear/authgear-server,,https://github.com/authgear/authgear-server,Apache-2.0,2020-06-16 03:34:34,2026-06-11 09:31:53.000000,2026-06-11 03:17:18,24145.0,807.0,116.0,11.0,3359.0,350.0,1949.0,1830.0,2026-06-11 11:10:56,2026-06-11.0,74.0,9.0,9.0,50.0,,,11.0,3.0,,,692.0,,,,,,,,,,,,,,,,
67,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,25,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2026-04-20 15:45:25.000000,2026-04-20 15:43:43,692.0,8.0,199.0,41.0,349.0,32.0,250.0,1435.0,2026-04-06 10:34:14,4.0.1,25.0,395.0,395.0,55.0,,,,2.0,,,,,,,,,,,,,,,,,,,
68,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2026-06-11 18:56:16.000000,2026-02-11 12:59:21,1942.0,,132.0,22.0,868.0,68.0,394.0,540.0,2026-02-11 12:59:23,7.0.0,47.0,931.0,931.0,59.0,,,,1.0,,,,,,,,,,,,,,,,,,,
69,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2026-06-11 15:50:35.000000,2026-06-11 15:50:03,10556.0,100.0,499.0,23.0,2706.0,146.0,1298.0,486.0,2026-06-09 19:00:27,1.6-lts,100.0,,,167.0,,,,1.0,,,,,,,,,,,openwallet-foundation/acapy,,,,,,,,
70,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],25,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2026-06-11 11:02:34.000000,2026-06-07 05:53:54,407.0,2.0,45.0,19.0,104.0,4.0,49.0,210.0,2025-08-26 05:57:14,4.0.16,70.0,1377.0,1377.0,22.0,https://www.npmjs.com/package/did-jwt-vc,73141.0,73141.0,1.0,,,,,,,,,,,,,,,,,,,
71,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2026-06-11 13:41:53.000000,2026-06-04 08:59:50,1510.0,72.0,662.0,65.0,720.0,132.0,406.0,15082.0,2026-06-10 14:56:37,10.0.5,100.0,,,36.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
72,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,24,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2026-06-06 02:28:14.000000,2026-06-06 02:28:10,2756.0,12.0,397.0,30.0,125.0,4.0,134.0,1904.0,2026-02-02 00:59:44,4.1.11,72.0,,,60.0,,,413.0,3.0,,maxkeytop/maxkey,,https://hub.docker.com/r/maxkeytop/maxkey,2026-02-01 06:50:25.105245,5.0,47543.0,,,,,,,,,,,,
73,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2026-06-11 08:33:03.000000,2026-06-08 11:30:48,16538.0,113.0,368.0,45.0,8443.0,,,1423.0,,,,,,258.0,,,38237.0,3.0,,freeipa/freeipa-server,,https://hub.docker.com/r/freeipa/freeipa-server,2026-06-10 10:05:08.281428,181.0,6462080.0,,,,,,,,,,,,
74,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2026-06-11 14:51:12.000000,2026-06-08 13:05:38,1764.0,21.0,99.0,24.0,1351.0,91.0,352.0,350.0,2026-06-08 13:06:26,1.9.9-beta.1,68.0,159.0,159.0,44.0,,,,1.0,1.0,,,,,,,,,,iotaledger/identity,,,,,,,,
75,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],24,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2026-06-10 23:07:17.000000,2026-06-10 23:04:51,2232.0,57.0,181.0,21.0,1545.0,21.0,288.0,195.0,2026-06-10 23:07:17,3.0.15,75.0,8.0,8.0,66.0,,,,1.0,,,,,,,,,,,openwallet-foundation/bifold-wallet,,,,,,,,
76,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],24,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,MIT,2019-11-21 00:49:46,2026-06-08 03:38:13.000000,2026-06-08 03:34:56,3220.0,67.0,42.0,11.0,4131.0,56.0,106.0,77.0,2026-06-03 13:49:58,5.0.0,40.0,1002.0,1002.0,27.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
77,identity-server,https://github.com/DuendeSoftware/products,authentication,The most flexible and standards-compliant OpenID Connect and OAuth 2.x framework for ASP.NET Core.,,,23,True,duendesoftware/identityserver,,https://github.com/DuendeSoftware/products,https://duendesoftware.com/license,2020-10-01 08:46:31,2026-06-11 15:53:20.000000,2026-06-11 15:53:15,8209.0,40.0,389.0,38.0,1537.0,,325.0,1605.0,2026-06-11 16:26:52,is-8.0.1,100.0,,,341.0,,,,3.0,,,,,,,,,,,DuendeSoftware/products,,,,,,,,
78,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,23,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2026-06-09 12:59:14.490259,2025-11-10 16:00:50,4111.0,,146.0,47.0,1908.0,137.0,974.0,963.0,2025-11-20 20:24:03,1.24.0,83.0,,,115.0,,,63974.0,3.0,,cyberark/conjur,2679.0,https://hub.docker.com/r/cyberark/conjur,2026-06-09 12:59:14.490259,29.0,7673830.0,,,,,,,,,,,,
79,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],23,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2026-06-11 17:00:54.000000,2026-06-02 13:45:09,15356.0,42.0,683.0,106.0,21.0,,,712.0,,,,197.0,197.0,760.0,,,,3.0,-1.0,,,,,,,,,,,,,,,,,,
80,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2026-06-11 19:44:28.000000,2026-04-24 08:06:26,2085.0,20.0,281.0,57.0,431.0,37.0,90.0,642.0,2022-01-07 16:42:38,0.5.0,6.0,,,135.0,,,1475.0,2.0,,universalresolver/uni-resolver-web,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2026-04-24 08:23:48.703345,,156424.0,,,,,,,,,,,,
81,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2026-06-11 17:58:46.000000,2026-06-11 16:58:18,15006.0,165.0,153.0,14.0,2342.0,56.0,2976.0,495.0,2023-06-16 12:51:58,11.4.3,55.0,,,99.0,,,98.0,3.0,,,10176.0,,,,,,,,,,,,,,,,
82,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2026-06-11 16:30:28.000000,2026-06-11 13:23:52,1423.0,57.0,231.0,27.0,1876.0,247.0,651.0,345.0,2026-04-29 08:06:01,0.7.0,100.0,,,89.0,,,,2.0,,,,,,,,,,,,,,,,,,,
83,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2026-06-11 17:34:08.000000,2026-06-11 11:19:15,13052.0,551.0,119.0,7.0,1441.0,7.0,320.0,285.0,2026-06-05 15:18:46,0.20.4,100.0,,,45.0,,,,2.0,,waltid/identity,,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,
84,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],23,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2026-06-08 04:31:59.000000,2026-06-08 01:43:57,439.0,21.0,44.0,20.0,135.0,4.0,19.0,231.0,2026-05-04 13:17:45,5.0.1,27.0,7937.0,7937.0,25.0,,,,2.0,,,,,,,,,,,,,,,,,,,
85,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,22,False,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,886.0,1.0,131.0,531.0,786.0,19235.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,24.0,24.0,22.0,,,3056.0,3.0,,,229238.0,,,,,,,,,,,,,,,,
86,gotrue,https://github.com/netlify/gotrue,idp,An JWT based API for managing users and issuing JWT tokens.,,,22,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2026-06-03 08:28:22.000000,2026-05-28 08:04:04,691.0,21.0,322.0,53.0,300.0,9.0,137.0,4420.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,48.0,,,,3.0,,,,,,,,,,,,,,,,,,,
87,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2026-06-11 18:21:10.000000,2026-06-10 19:21:05,2803.0,18.0,270.0,194.0,1015.0,74.0,1262.0,1404.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,83.0,,,,1.0,,,,,,,,,,,,,,,,,,,
88,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,22,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2026-05-23 12:27:40.000000,2026-05-15 06:02:25,309.0,4.0,59.0,7.0,42.0,,65.0,607.0,2026-05-15 06:05:04,2.4.0,43.0,5587.0,5587.0,20.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,
89,django-passkeys,https://github.com/mkalioby/django-passkeys,authentication,Django Authentication Backend For Passkeys.,,,22,True,mkalioby/django-passkeys,,https://github.com/mkalioby/django-passkeys,MIT,2022-10-28 09:46:58,2026-05-01 14:12:25.000000,2026-05-01 14:10:43,90.0,24.0,30.0,5.0,36.0,9.0,31.0,253.0,2026-05-01 14:12:25,2.1.0,9.0,25.0,25.0,6.0,,,11159.0,3.0,,,,,,,,django-passkeys,https://pypi.org/project/django-passkeys,11159.0,,,,,,,,,
90,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,True,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2026-06-08 05:27:26.000000,2026-06-08 00:29:37,392.0,19.0,19.0,12.0,126.0,1.0,11.0,100.0,2025-12-03 20:47:02,2.0.32,43.0,1467.0,1467.0,12.0,https://www.npmjs.com/package/web-did-resolver,59029.0,59029.0,2.0,,,,,,,,,,,,,,,,,,,
91,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,381.0,68.0,182.0,318.0,614.0,7581.0,2020-09-02 15:57:23,2.6.1,11.0,,,69.0,,,332.0,3.0,,,33231.0,,,,,,,,,,,,,,howdy,,
92,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,21,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2026-01-09 17:26:39.000000,2025-11-14 16:30:51,4083.0,,780.0,237.0,368.0,64.0,210.0,2900.0,2015-09-29 22:50:55,1.1.0,4.0,,,60.0,,,841.0,3.0,,,127057.0,,,,,,,,,,,,,,,,
93,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,21,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2026-06-11 14:32:42.000000,2026-06-10 14:22:42,3049.0,214.0,93.0,18.0,1150.0,12.0,154.0,578.0,2026-06-09 12:51:26,0.31.7.RELEASE,93.0,,,39.0,,,,3.0,,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,
94,hyperledger-anoncreds-rs,https://github.com/anoncreds/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],21,False,hyperledger/anoncreds-rs,,https://github.com/anoncreds/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2026-01-07 14:36:37.000000,2026-01-07 14:36:37,835.0,,58.0,12.0,249.0,29.0,91.0,87.0,2025-11-13 16:53:54,0.2.3,33.0,76.0,76.0,28.0,,,10019.0,2.0,,,410819.0,,,,,,,,anoncreds/anoncreds-rs,,,,,,,,
95,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,21,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2026-06-10 01:01:23.000000,2026-06-05 16:00:40,4150.0,385.0,69.0,11.0,1060.0,177.0,164.0,76.0,,,1.0,76.0,76.0,39.0,,,,2.0,,,,,,,,,,,,,,,,,,,
96,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,20,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,1247.0,5.0,25.0,1.0,143.0,30914.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,27666.0,3.0,,,1659972.0,,,,,,,,,,,,,,,,
97,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4665.0,548.0,123.0,511.0,619.0,14322.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
98,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],20,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2026-06-04 14:13:35.000000,2026-06-04 14:13:35,1340.0,14.0,321.0,82.0,561.0,11.0,202.0,3360.0,2021-06-23 10:02:43,ctap2.0,1.0,,,26.0,,,,3.0,,,,,,,,,,,,,,,,,,,
99,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2026-06-04 21:42:39.000000,2026-05-20 00:22:11,419.0,5.0,795.0,94.0,370.0,186.0,368.0,2007.0,2025-04-23 13:34:24,2.0.0,33.0,,,53.0,,,,3.0,,,,,,,,,,,,,,,,,,,
100,indy-node,https://github.com/hyperledger-indy/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,False,hyperledger/indy-node,,https://github.com/hyperledger-indy/indy-node,Apache-2.0,2016-12-21 05:45:04,2026-05-11 17:10:09.000000,2025-02-24 16:33:21,4946.0,,644.0,61.0,1847.0,39.0,60.0,707.0,2024-02-09 14:17:29,1.13.2,37.0,,,111.0,,,26.0,2.0,,,2234.0,,,,,,,,hyperledger-indy/indy-node,,,,,,,,
101,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,322.0,2024-10-23 19:02:40,0.5.2,62.0,494.0,494.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,
102,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,20,False,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,127.0,26.0,364.0,57.0,78.0,264.0,2025-02-10 16:01:17,8.5.1,51.0,44.0,44.0,58.0,,,,3.0,,,,,,,,,,,,,,,,,,,
103,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],20,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2026-05-29 15:29:43.000000,2026-05-29 15:29:09,3829.0,54.0,76.0,24.0,10.0,,,248.0,,,,17.0,17.0,313.0,,,,3.0,,,,,,,,,,,,,,,,,,,
104,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2026-06-02 07:45:20.000000,2026-06-02 07:28:14,649.0,4.0,75.0,33.0,473.0,97.0,123.0,260.0,,,,218.0,218.0,33.0,,,,2.0,,,,,,,,,,,,,,,,,,,
105,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],19,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,156.0,1.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,
