,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,helm_id,trending,updated_github_id,brew_id,gem_url,apt_id,github,github-id
54,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],28,True,decentralized-identity/ethr-did-resolver,,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-11-20 17:07:38.000000,2025-11-17 00:50:05,546.0,15.0,75.0,26.0,157.0,5.0,48.0,229.0,2025-08-10 14:02:43,11.0.5,,24696.0,71.0,1837.0,1837.0,28.0,,,,,1.0,,,,ethr-did-resolver,,https://www.npmjs.com/package/ethr-did-resolver,24696.0,,,,,,,,,
55,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3819.0,346.0,113.0,452.0,393.0,17643.0,2020-03-22 14:01:55,0.22.2,,201072.0,38.0,,,25.0,,,,,3.0,,,,face-api.js,,https://www.npmjs.com/package/face-api.js,201072.0,,,,,,,,,
56,dex,https://github.com/dexidp/dex,authentication,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,,['linux-foundation'],27,True,dexidp/dex,quay.io/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2025-11-20 03:00:42.000000,2025-11-03 12:52:37,3550.0,117.0,1749.0,170.0,2932.0,332.0,858.0,10381.0,2025-09-01 13:23:20,2.44.0,358.0,2.0,92.0,,,280.0,https://hub.docker.com/r/quay.io/dexidp/dex,,,,2.0,,,,,,,,,,,,,,,,
57,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,ghcr.io/permify/permify,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2025-11-20 16:13:57.000000,2025-11-20 16:13:53,5410.0,468.0,268.0,24.0,2284.0,49.0,283.0,5664.0,2025-11-16 09:32:37,1.5.2,9845.0,378.0,100.0,4.0,4.0,68.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,3.0,,,,,,,,,,,,,,,,
58,doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,authentication,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,,,27,True,doorkeeper-gem/doorkeeper,,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2025-08-29 11:36:50.000000,2025-08-29 11:36:50,2517.0,3.0,1035.0,103.0,878.0,48.0,849.0,5444.0,2025-04-04 08:29:47,5.8.2,,,70.0,10816.0,10816.0,333.0,,,,,2.0,,,,,,,,,,,,,doorkeeper,,,
59,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure, and fast identity management platform.",,,27,True,kanidm/kanidm,kanidm/server,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2025-11-20 06:01:32.000000,2025-11-20 06:01:32,2550.0,79.0,273.0,20.0,2661.0,228.0,897.0,4252.0,2025-11-19 04:13:45,1.8.1,420.0,8339.0,47.0,,,136.0,https://hub.docker.com/r/kanidm/server,2025-11-20 01:39:52.794294,4.0,675074.0,3.0,,,,,,,,,,,,,,,,
60,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,27,True,panva/node-oidc-provider,,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2025-11-19 07:33:00.000000,2025-11-19 07:32:56,2727.0,26.0,766.0,66.0,268.0,,,3601.0,2025-10-24 08:28:38,9.5.2,,724354.0,100.0,,,76.0,,,,,2.0,,,,oidc-provider,,https://www.npmjs.com/package/oidc-provider,724354.0,,,-5.0,,,,,,
61,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,181.0,26.0,1529.0,110.0,104.0,3493.0,2024-01-13 04:08:30,0.27.3,3851.0,23606.0,100.0,215.0,215.0,68.0,,,,,3.0,oso,https://pypi.org/project/oso,23539.0,,,,,,,,,,,,,
62,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],27,True,nodesolidserver/node-solid-server,nodesolidserver/node-solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-11-20 17:38:45.000000,2025-11-07 15:29:48,3226.0,15.0,298.0,74.0,885.0,290.0,642.0,1791.0,2025-02-21 20:25:35,5.8.5,,9277.0,59.0,3.0,3.0,89.0,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1005114.0,1.0,,,,solid-server,,https://www.npmjs.com/package/solid-server,1777.0,,,,,,,,,
63,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,27,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-10-27 16:47:31.000000,2025-10-27 16:46:38,7099.0,122.0,318.0,418.0,4705.0,102.0,448.0,1759.0,2024-06-11 16:44:34,1.8.2,64.0,0.0,31.0,44.0,44.0,157.0,,,,,2.0,,,,,,,,,,,,,,,,
64,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-11-20 04:37:01.000000,2025-11-20 04:36:59,3598.0,110.0,290.0,49.0,2812.0,32.0,261.0,968.0,2025-11-09 17:57:21,1.12.29,,,100.0,367.0,367.0,100.0,,,,,2.0,,,,,,,,,,,,,,,,
65,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,"Passkeys, FIDO2 and WebAuhtn .NET library.",,,26,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-11-17 10:07:45.000000,2025-11-17 10:07:44,679.0,24.0,192.0,41.0,335.0,33.0,244.0,1370.0,2025-08-29 13:12:19,4.0.0,,,21.0,352.0,352.0,51.0,,,,,2.0,,,,,,,,,,,,,,,,
66,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,26,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-09-30 23:28:42.000000,2025-09-30 23:28:37,560.0,15.0,178.0,33.0,145.0,,107.0,1004.0,2025-09-04 23:18:52,2.7.0,,531799.0,36.0,,,31.0,,,,,2.0,webauthn,https://pypi.org/project/webauthn,531799.0,,,,,,,,,,,,,
67,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-11-18 19:52:36.000000,2025-11-18 19:52:35,10269.0,126.0,497.0,23.0,2540.0,146.0,1270.0,474.0,2025-11-15 18:44:32,1.4.0,,,100.0,,,163.0,,,,,1.0,,,,,,,,,,,openwallet-foundation/acapy,,,,,
68,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],26,True,decentralized-identity/did-jwt-vc,,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-11-20 16:45:57.000000,2025-10-28 01:31:35,404.0,5.0,46.0,19.0,103.0,4.0,49.0,207.0,2025-08-26 05:57:14,4.0.16,,57589.0,70.0,1320.0,1320.0,22.0,,,,,1.0,,,,did-jwt-vc,,https://www.npmjs.com/package/did-jwt-vc,57589.0,,,,,,,,,
69,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache-2.0 is free IAM-..",,,25,True,dromara/MaxKey,maxkeytop/maxkey,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-11-18 01:45:39.000000,2025-11-18 01:45:21,2681.0,70.0,377.0,30.0,124.0,2.0,131.0,1806.0,2025-10-10 01:21:58,4.1.9,,352.0,70.0,,,59.0,https://hub.docker.com/r/maxkeytop/maxkey,2025-10-13 03:39:11.964812,5.0,38094.0,3.0,,,,,,,,,,,,,,,,
70,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,25,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-11-20 17:01:24.000000,2025-10-15 06:03:01,1913.0,13.0,131.0,23.0,855.0,65.0,392.0,508.0,2024-04-02 18:54:31,6.0.0,,,44.0,889.0,889.0,59.0,,,,,1.0,,,,,,,,,,,,,,,,
71,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,752.0,60.0,131.0,531.0,786.0,18805.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,219460.0,3227.0,2.0,21.0,21.0,22.0,,,,,3.0,,,,,,,,,,,,,,,,
72,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,freeipa/freeipa-server,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-11-19 21:51:38.000000,2025-11-19 21:50:37,16324.0,102.0,353.0,47.0,8029.0,,,1338.0,,,,38171.0,,,,247.0,https://hub.docker.com/r/freeipa/freeipa-server,2025-11-19 05:18:24.760991,180.0,6183813.0,3.0,,,,,,,,,,,,,,,,
73,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,24,False,cyberark/conjur,cyberark/conjur,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-11-10 17:04:43.000000,2024-09-25 08:07:10,4404.0,,131.0,45.0,1907.0,137.0,972.0,902.0,2025-11-10 17:02:21,1.24.0,1554.0,66887.0,83.0,,,107.0,https://hub.docker.com/r/cyberark/conjur,2025-11-10 16:58:40.255868,29.0,7556471.0,3.0,,,,,,,,,,,,,,,,
74,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2025-11-19 12:22:47.000000,2025-11-07 14:04:44,1711.0,21.0,96.0,24.0,1293.0,98.0,319.0,339.0,2025-11-07 14:09:45,1.7.0-beta.3,,,49.0,150.0,150.0,44.0,,,,,1.0,,,,,,,,,,,iotaledger/identity,,,,,
75,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],24,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-11-19 22:14:56.000000,2025-11-19 22:14:56,2114.0,65.0,166.0,25.0,1407.0,13.0,283.0,184.0,2025-11-19 02:53:15,2.11.4,,,40.0,5.0,5.0,62.0,,,,,1.0,,,,,,,,,,,openwallet-foundation/bifold-wallet,,,,,
76,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],24,False,decentralized-identity/web-did-resolver,,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-11-20 18:08:46.000000,2025-11-17 02:42:47,352.0,17.0,21.0,12.0,125.0,1.0,11.0,97.0,2025-10-20 08:49:10,2.0.31,,53089.0,42.0,1384.0,1384.0,12.0,,,,,2.0,,,,web-did-resolver,,https://www.npmjs.com/package/web-did-resolver,53089.0,,,,,,,,,
77,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],24,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-11-13 16:53:54.000000,2025-11-13 16:49:42,832.0,24.0,56.0,12.0,247.0,29.0,91.0,83.0,2025-11-13 16:53:54,0.2.3,327141.0,9621.0,33.0,74.0,74.0,28.0,,,,,1.0,,,,,,,,,,,,,,,,
78,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],24,False,inrupt/solid-client-authn-js,,https://github.com/inrupt/solid-client-authn-js,MIT,2019-11-21 00:49:46,2025-11-20 13:58:05.000000,2025-11-19 23:33:06,3098.0,76.0,39.0,11.0,3979.0,54.0,103.0,76.0,2025-10-30 14:51:08,3.1.1,,,38.0,984.0,984.0,26.0,,,,,3.0,,,,inrupt/solid-client-authn-node,,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,,2.0,,,,,,
79,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,registry.supertokens.io/supertokens/supertokens-postgresql,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-11-19 18:15:03.000000,2025-11-19 14:05:30,1351.0,18.0,628.0,65.0,644.0,130.0,400.0,14699.0,2025-10-28 12:13:58,11.2.0,,,93.0,,,32.0,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,3.0,,,,,,,,,,,,,,,,
80,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,universalresolver/uni-resolver-web,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-11-20 12:46:34.000000,2025-11-03 09:38:47,2021.0,29.0,261.0,55.0,395.0,34.0,89.0,618.0,2022-01-07 16:42:38,0.5.0,,1466.0,6.0,,,127.0,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-11-17 20:22:00.027714,,145188.0,2.0,,,,,,,,,,,,,,,,
81,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-11-20 15:15:11.000000,2025-11-18 08:55:21,1279.0,84.0,219.0,26.0,1620.0,220.0,641.0,321.0,2025-10-31 19:50:59,0.5.18,,,100.0,,,83.0,,,,,2.0,,,,,,,,,,,,,,,,
82,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,23,True,walt-id/waltid-identity,waltid/identity,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-11-20 14:50:07.000000,2025-11-20 06:40:14,11439.0,709.0,89.0,5.0,1056.0,5.0,276.0,233.0,2025-07-22 15:14:36,0.15.1,,,100.0,,,38.0,https://hub.docker.com/r/waltid/identity,,,,2.0,,,,,,,,,,,,,,,,
83,hanko,https://github.com/teamhanko/hanko,idp,"Modern authentication, on your terms. Open source alternative to Auth0, Clerk, WorkOS, Stytch.",,,22,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-11-20 02:36:20.000000,2025-11-13 14:17:21,2317.0,37.0,1001.0,38.0,1831.0,33.0,375.0,8548.0,2025-11-13 14:28:47,backend/v2.2.1,996.0,24.0,37.0,,,51.0,,,,,3.0,,,,,,,,,,,,,,,,
84,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-11-14 16:30:54.000000,2025-11-14 16:30:51,4083.0,8.0,783.0,238.0,366.0,64.0,210.0,2897.0,2015-09-29 22:50:55,1.1.0,124146.0,862.0,4.0,,,60.0,,,,,3.0,,,,,,,,,,,,,,,,
85,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-11-13 07:50:28.000000,2025-11-13 07:48:43,2755.0,14.0,229.0,183.0,983.0,78.0,1225.0,1328.0,2018-03-20 13:11:25,CR-00-20180320,,,7.0,,,82.0,,,,,1.0,,,,,,,,,,,,,,,,
86,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-11-14 23:50:12.000000,2025-11-14 23:49:44,15250.0,21.0,678.0,106.0,19.0,,,706.0,,,,,,182.0,182.0,755.0,,,,,3.0,,,,,,,,,,,,,,,,
87,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,22,True,passwordless-id/webauthn,,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-11-17 22:55:56.000000,2025-07-28 19:27:49,287.0,,57.0,7.0,36.0,1.0,59.0,559.0,2025-06-29 14:25:26,2.3.1,,,38.0,5421.0,5421.0,20.0,,,,,3.0,,,,passwordless-id/webauthn,,https://www.npmjs.com/package/passwordless-id/webauthn,,,,,,,,,,
88,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,22,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-11-19 20:59:01.000000,2025-11-19 19:28:34,14703.0,114.0,146.0,15.0,2205.0,100.0,2914.0,453.0,2023-06-16 12:51:58,11.4.3,9953.0,103.0,55.0,,,95.0,,,,,3.0,,,,,,,,,,,,,,,,
89,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-11-20 17:05:22.000000,2025-10-28 01:42:40,415.0,5.0,43.0,21.0,132.0,3.0,18.0,228.0,2023-03-08 14:05:37,4.1.0,,,24.0,7593.0,7593.0,25.0,,,,,2.0,,,,,,,,,,,,,,,,
90,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,False,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,984.0,436.0,25.0,1.0,143.0,30127.0,2023-01-21 09:26:53,TINA_SHIFT,1531795.0,28901.0,35.0,,,11.0,,,,,3.0,,,,,,,,,,,,,,,,
91,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-07-29 10:07:27.000000,2025-06-22 10:19:45,592.0,,347.0,67.0,168.0,284.0,607.0,6895.0,2020-09-02 15:57:23,2.6.1,27694.0,297.0,11.0,,,69.0,,,,,3.0,,,,,,,,,,,,,,howdy,,
92,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4691.0,554.0,123.0,510.0,622.0,14242.0,,,,,,,,36.0,,,,,3.0,,,,,,,,,,,,,,,,
93,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,,313.0,58.0,237.0,4.0,133.0,4245.0,2022-02-09 12:50:28,1.0.1,,,2.0,11.0,11.0,42.0,,,,,3.0,,,,,,,,,,,,,,,,
94,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-09-29 23:07:10.000000,2025-04-22 20:11:48,414.0,,785.0,92.0,360.0,182.0,368.0,1937.0,2025-04-23 13:34:24,2.0.0,,,33.0,,,52.0,,,,,3.0,,,,,,,,,,,,,,,,
95,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-11-10 21:34:38.000000,2025-02-24 16:33:21,4946.0,,655.0,61.0,1832.0,39.0,60.0,699.0,2024-02-09 14:17:29,1.13.2,2069.0,26.0,37.0,,,111.0,,,,,2.0,,,,,,,,,,,,,,,,
96,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,False,TBD54566975/dwn-sdk-js,,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,99.0,18.0,546.0,42.0,238.0,325.0,2024-10-23 19:02:40,0.5.2,,,62.0,487.0,487.0,48.0,,,,,2.0,,,,tbd54566975/dwn-sdk-js,,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,,,decentralized-identity/dwn-sdk-js,,,,,
97,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,159.0,17.0,2046.0,388.0,1196.0,239.0,2023-05-09 10:57:15,0.3.2,,,14.0,3.0,3.0,62.0,,,,,2.0,,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,,
98,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,20,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2025-11-14 18:20:21.000000,2025-11-14 18:18:48,574.0,22.0,38.0,4.0,315.0,6.0,39.0,69.0,2025-11-14 18:20:21,1.37.4,,,100.0,264.0,264.0,19.0,,,,,2.0,,,,,,,,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,,303.0,92.0,43.0,28.0,24.0,3024.0,,,,2016.0,,1.0,1.0,27.0,,,,,3.0,pyja3,https://pypi.org/project/pyja3,2016.0,,,,,,,,,,,,,
100,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-11-20 14:01:04.000000,2025-11-01 13:54:30,2701.0,51.0,83.0,19.0,973.0,11.0,143.0,541.0,2025-11-01 15:18:55,0.30.0.RELEASE,,,83.0,,,35.0,,,,,3.0,,,,,com.webauthn4j:webauthn4j-core,,,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,,,
101,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],18,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-10-20 09:33:35.000000,2025-10-20 09:33:34,1324.0,1.0,308.0,85.0,542.0,32.0,178.0,3229.0,2021-06-23 10:02:43,ctap2.0,,,1.0,,,24.0,,,,,3.0,,,,,,,,,,,,,,,,
102,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,,925.0,244.0,255.0,213.0,555.0,3150.0,,,,,,,,49.0,,,,,3.0,,,,,net.openid:appauth,,,https://search.maven.org/artifact/net.openid/appauth,,,,,,,,
103,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-10-22 16:06:57.000000,2025-10-22 16:06:52,166.0,2.0,221.0,62.0,107.0,2.0,59.0,2449.0,2024-03-06 13:35:30,1.3.0,,,41.0,,,54.0,,,,,3.0,,,,,,,,,,,,,,,,
104,ion,https://github.com/decentralized-identity/ion,dids,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,False,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,163.0,83.0,184.0,72.0,70.0,1238.0,2022-06-09 01:42:53,1.0.4,,,17.0,,,32.0,,,,,2.0,,,,,,,,,,,,,,,,
105,webauthn-json,https://github.com/github/webauthn-json,authentication,A small WebAuthn API wrapper that translates to/from pure JSON using base64url.,,,18,True,github/webauthn-json,,https://github.com/github/webauthn-json,MIT,2019-07-01 18:52:54,2025-08-25 21:02:41.000000,2025-08-11 13:26:58,295.0,,61.0,297.0,36.0,,53.0,792.0,2023-01-31 02:32:05,2.1.1,,,52.0,29.0,29.0,15.0,,,,,3.0,,,,github/webauthn-json,,https://www.npmjs.com/package/github/webauthn-json,,,,,,,,,,
106,solid-specification,https://github.com/solid/specification,specs,Solid Technical Reports.,,['solid'],18,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2025-11-20 00:19:21.000000,2025-11-20 00:12:32,1267.0,15.0,51.0,47.0,325.0,189.0,152.0,543.0,2021-12-21 13:00:06,protocol-v0.9.0,,,1.0,,,29.0,,,,,1.0,,,,,,,,,,,,,,,,
