,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,trending,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-06-11 22:19:11.000000,2025-06-11 22:19:09,7016.0,101.0,595.0,140.0,5039.0,176.0,2995.0,5461.0,2025-06-09 18:55:40,release-2025-06-09,100.0,,,137.0,,,17621.0,2.0,37043.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-06-07 00:37:44.409943,13.0,2008200.0,,,,,,,,,,,,,
55,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-04-17 17:54:55.000000,2025-04-17 17:54:55,3211.0,17.0,297.0,77.0,875.0,289.0,641.0,1784.0,2025-02-21 20:25:35,5.8.5,59.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,510.0,8299.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004836.0,,,,,,,,,,,,,
56,jansen,https://github.com/JanssenProject/jans,idp,"The Janssen Project maintains open source IAM components, featuring Agama for identity orchestration, and the..",,['linux-foundation'],28,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-06-12 15:28:58.000000,2025-06-12 06:53:35,35041.0,218.0,84.0,31.0,6657.0,436.0,4316.0,547.0,2025-05-20 10:48:36,1.7.0,100.0,7.0,7.0,128.0,,,494.0,3.0,9882.0,,,,,,,,,,,,,,,,,,
57,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],28,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-06-12 05:55:10.000000,2025-06-07 04:33:57,397.0,18.0,46.0,22.0,102.0,2.0,48.0,194.0,2025-06-07 04:34:15,4.0.15,69.0,1289.0,1289.0,22.0,https://www.npmjs.com/package/did-jwt-vc,38931.0,38931.0,1.0,,,,,,,,,,,,,,,,,,,
58,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3753.0,345.0,111.0,452.0,394.0,17279.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,159235.0,159235.0,3.0,,,,,,,,,,,,,,,,,,,
59,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,27,True,permify/permify,,https://github.com/Permify/permify,AGPL-3.0,2022-07-14 11:16:57,2025-06-06 08:46:15.000000,2025-06-06 08:46:12,4683.0,199.0,251.0,25.0,1932.0,54.0,266.0,5423.0,2025-06-06 08:44:50,1.4.0,100.0,4.0,4.0,65.0,,,347.0,3.0,9030.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,
60,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,,180.0,27.0,1529.0,110.0,104.0,3483.0,2024-01-13 04:08:30,0.27.3,100.0,211.0,211.0,68.0,,,24108.0,3.0,3548.0,,,,,,oso,https://pypi.org/project/oso,24040.0,,,,,,,,,,
61,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],27,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-06-11 18:49:56.000000,2025-06-11 18:49:53,3428.0,90.0,281.0,51.0,2688.0,30.0,253.0,937.0,2025-05-30 23:42:46,1.12.18,100.0,356.0,356.0,96.0,,,,2.0,,,,,,,,,,,,,,,,,,,
62,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-06-10 18:37:24.000000,2025-06-10 15:08:00,10080.0,138.0,494.0,28.0,2391.0,129.0,1253.0,454.0,2025-05-01 17:11:14,1.3.0,100.0,,,160.0,,,,1.0,,,,,,,,,,openwallet-foundation/acapy,1.0,,,,,,,,
63,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],26,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-06-12 13:43:52.000000,2025-04-04 10:50:07,522.0,2.0,73.0,27.0,154.0,5.0,48.0,225.0,2025-01-06 05:24:12,11.0.3,69.0,1816.0,1816.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,35153.0,35153.0,1.0,,,,,,,,,,,,,,,,,,,
64,hanko,https://github.com/teamhanko/hanko,idp,"The Complete Authentication and User Management Solution for the Passkey Era. Open Source Alternative to Clerk, Auth0,..",,,25,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-06-11 19:39:41.000000,2025-05-21 07:37:08,2271.0,38.0,962.0,42.0,1724.0,43.0,346.0,8170.0,2025-05-21 10:05:04,backend/v2.1.0,34.0,324.0,324.0,50.0,,,20.0,3.0,710.0,,,,,,,,,,-1.0,,,,,,,,
65,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,25,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-06-10 09:03:46.000000,2025-06-09 17:20:57,6890.0,197.0,313.0,424.0,4598.0,126.0,420.0,1741.0,2024-06-11 16:44:34,1.8.2,31.0,,,154.0,,,0.0,3.0,64.0,,,,,,,,,,1.0,,,,,,,,
66,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-06-06 15:31:04.000000,2025-04-03 17:13:03,3852.0,13.0,126.0,46.0,1906.0,138.0,971.0,858.0,2025-04-30 17:07:19,1.22.0,78.0,,,102.0,,,67070.0,3.0,1171.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2025-04-30 16:48:24.359425,30.0,7242224.0,,,,,,,,,,,,,
67,iota-identity,https://github.com/iotaledger/identity,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,25,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity,Apache-2.0,2020-02-06 14:33:11,2025-06-12 07:42:49.000000,2025-06-12 07:27:05,1676.0,61.0,91.0,26.0,1246.0,94.0,311.0,323.0,2025-06-10 11:37:54,1.6.0-beta.2,40.0,149.0,149.0,43.0,,,,1.0,,,,,,,,,,iotaledger/identity,,,,,,,,,
68,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,24,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,544.0,40.0,130.0,531.0,787.0,18155.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3277.0,3.0,206478.0,,,,,,,,,,,,,,,,,,
69,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-06-10 21:22:38.000000,2025-06-10 16:58:25,1316.0,80.0,577.0,66.0,606.0,127.0,398.0,14190.0,2025-06-10 21:26:54,11.0.4,90.0,,,32.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,
70,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,24,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-06-12 15:45:56.000000,2025-03-03 16:29:56,2035.0,,210.0,31.0,548.0,57.0,101.0,5304.0,2025-02-18 15:31:39,0.8.0,48.0,,,69.0,,,6371.0,3.0,1516.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2025-02-18 15:39:20.906277,1.0,329774.0,,,,,,,,,,,,,
71,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache License Version 2.0..",,,24,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-05-30 07:26:09.000000,2025-05-30 07:25:03,2577.0,19.0,353.0,29.0,117.0,2.0,124.0,1695.0,2025-03-31 23:29:37,4.1.7,68.0,,,51.0,,,296.0,3.0,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2025-03-29 23:51:26.519049,5.0,30587.0,,,,,,,,,,,,,
72,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-06-11 05:19:56.156662,2025-06-04 15:25:42,16193.0,64.0,344.0,50.0,7848.0,,,1251.0,,,,,,240.0,,,38414.0,3.0,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2025-06-11 05:19:56.156662,173.0,6031110.0,,,,,,,,,,,,,
73,py_webauthn,https://github.com/duo-labs/py_webauthn,authentication,Pythonic WebAuthn.,,,24,True,duo-labs/py_webauthn,,https://github.com/duo-labs/py_webauthn,BSD-3-Clause,2017-11-10 18:02:28,2025-06-11 23:22:14.000000,2025-06-11 23:22:14,528.0,2.0,175.0,34.0,139.0,2.0,104.0,935.0,2025-03-07 19:43:46,2.5.2,32.0,,,31.0,,,574115.0,2.0,,,,,,,webauthn,https://pypi.org/project/webauthn,574115.0,,,,,,,,,,
74,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,24,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-06-12 17:43:59.000000,2025-02-27 17:32:56,1900.0,,133.0,23.0,835.0,65.0,392.0,474.0,2024-04-02 18:54:31,6.0.0,44.0,877.0,877.0,58.0,,,,1.0,,,,,,,,,,,,,,,,,,,
75,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-05-23 16:36:59.000000,2025-05-23 16:36:56,4067.0,12.0,778.0,247.0,354.0,64.0,210.0,2874.0,2015-09-29 22:50:55,1.1.0,4.0,,,59.0,,,857.0,3.0,119149.0,,,,,,,,,,,,,,,,,,
76,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,23,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-02-21 13:56:02.000000,2025-02-21 13:56:01,651.0,,185.0,42.0,305.0,47.0,221.0,1291.0,2022-09-28 20:32:17,3.0.1,19.0,336.0,336.0,50.0,,,,3.0,,,,,,,,,,,,,,,,,,,
77,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],23,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-06-06 18:13:18.000000,2025-06-06 18:12:52,15192.0,50.0,671.0,109.0,19.0,,,702.0,,,,173.0,173.0,747.0,,,,3.0,,,,,,,,,,,,,,,,,,,
78,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-06-12 12:47:05.000000,2025-06-10 11:24:42,1894.0,31.0,241.0,56.0,358.0,33.0,89.0,596.0,2022-01-07 16:42:38,0.5.0,6.0,,,119.0,,,1477.0,2.0,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-06-12 05:34:26.230085,,138883.0,,,,,,,,,,,,,
79,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-06-12 00:05:35.000000,2025-06-11 20:37:54,14545.0,260.0,144.0,16.0,2130.0,90.0,2894.0,421.0,2023-06-16 12:51:58,11.4.3,55.0,,,92.0,,,104.0,3.0,9523.0,,,,,,,,,,,,,,,,,,
80,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],23,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-06-11 23:50:47.000000,2025-06-11 23:47:23,2005.0,73.0,150.0,26.0,1258.0,30.0,254.0,168.0,2025-06-11 23:49:19,2.1.7,11.0,,,58.0,,,,1.0,,,,,,,,,,openwallet-foundation/bifold-wallet,1.0,,,,,,,,
81,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-06-09 07:27:23.000000,2025-06-09 03:05:53,321.0,13.0,18.0,14.0,125.0,1.0,11.0,93.0,2025-03-29 02:34:05,2.0.30,41.0,1357.0,1357.0,12.0,https://www.npmjs.com/package/web-did-resolver,56612.0,56612.0,2.0,,,,,,,,,,,,,,,,,,,
82,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],22,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-06-12 09:27:56.000000,2025-06-12 09:26:25,2722.0,42.0,196.0,181.0,969.0,67.0,1195.0,1247.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,81.0,,,,1.0,,,,,,,,,,,,,,,,,,,
83,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,22,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-05-29 12:53:54.000000,2025-05-29 12:53:54,278.0,5.0,56.0,7.0,34.0,,55.0,532.0,2025-03-16 21:06:42,2.3.0,37.0,5296.0,5296.0,20.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,
84,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],22,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-06-04 13:25:23.000000,2025-06-04 12:35:51,1165.0,36.0,203.0,28.0,1445.0,211.0,617.0,303.0,2025-05-09 12:55:46,0.5.15,100.0,,,73.0,,,,2.0,,,,,,,,,,,,,,,,,,,
85,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-06-10 22:57:18.000000,2025-06-02 01:22:07,404.0,5.0,42.0,22.0,132.0,3.0,18.0,220.0,2023-03-08 14:05:37,4.1.0,24.0,7474.0,7474.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,,
86,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,22,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-06-12 17:44:01.000000,2025-06-12 12:52:21,5028.0,371.0,69.0,8.0,861.0,24.0,217.0,179.0,2025-05-07 10:22:09,0.14.0,100.0,,,30.0,,,,2.0,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,,
87,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2025-06-12 10:20:00.000000,2025-06-12 10:19:59,2983.0,90.0,39.0,13.0,3827.0,54.0,102.0,77.0,2025-05-09 12:38:10,2.5.0,35.0,972.0,972.0,26.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,
88,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,610.0,415.0,24.0,1.0,143.0,28818.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,28887.0,3.0,1386597.0,,,,,,,,,,,,,,,,,,
89,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-02-02 15:58:38.000000,2025-02-02 15:58:38,586.0,,323.0,64.0,158.0,253.0,604.0,6298.0,2020-09-02 15:57:23,2.6.1,11.0,,,67.0,,,268.0,3.0,23635.0,,,,,,,,,,,,,,,,howdy,,
90,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],21,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2025-04-23 13:34:24.000000,2025-04-22 20:11:48,414.0,3.0,762.0,95.0,353.0,179.0,361.0,1873.0,2025-04-23 13:34:24,2.0.0,33.0,,,52.0,,,,3.0,,,,,,,,,,,,,,,,,,,
91,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4690.0,558.0,123.0,510.0,622.0,14109.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,
92,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,,303.0,60.0,236.0,4.0,131.0,4095.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,
93,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],20,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,102.0,18.0,545.0,42.0,238.0,326.0,2024-10-23 19:02:40,0.5.2,62.0,482.0,482.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,,,,,,,
94,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,False,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,160.0,19.0,2046.0,388.0,1196.0,240.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,,,,,,
95,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,20,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,,123.0,26.0,362.0,52.0,75.0,233.0,2025-02-10 16:01:17,8.5.1,51.0,38.0,38.0,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,
96,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],20,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-03-21 12:07:15.000000,2025-03-21 12:07:15,805.0,1.0,51.0,14.0,239.0,29.0,87.0,80.0,2024-02-13 10:21:42,0.2.0,30.0,73.0,73.0,27.0,,,9070.0,2.0,263045.0,,,,,,,,,,,,,,,,,,
97,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Privado ID.,,,20,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,Apache-2.0,2022-11-08 12:11:09,2025-06-11 15:42:52.000000,2025-06-11 13:52:20,537.0,13.0,37.0,4.0,271.0,6.0,39.0,67.0,2025-06-11 14:42:01,1.30.0,100.0,260.0,260.0,19.0,,,,2.0,,,,,,,,,,,,,,,,,,,
98,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-06-05 14:02:13.000000,2025-06-05 14:02:13,1307.0,3.0,294.0,89.0,522.0,34.0,168.0,3137.0,2021-06-23 10:02:43,ctap2.0,1.0,,,24.0,,,,3.0,,,,,,,,,,,,,,,,,,,
99,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2025-05-01 17:30:05.000000,2025-05-01 17:30:05,152.0,1.0,298.0,93.0,43.0,28.0,24.0,2948.0,,,,1.0,1.0,27.0,,,2064.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,2064.0,,,,,,,,,,
100,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],19,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-06-11 05:00:25.000000,2025-02-24 16:33:21,4946.0,,656.0,63.0,1822.0,38.0,60.0,694.0,2024-02-09 14:17:29,1.13.2,37.0,,,110.0,,,11.0,2.0,858.0,,,,,,,,,,,,,,,,,,
101,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-06-05 08:50:32.000000,2025-06-05 08:48:23,2635.0,89.0,82.0,19.0,943.0,4.0,134.0,505.0,2025-06-01 10:35:55,0.29.3.RELEASE,78.0,,,33.0,,,,3.0,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,
102,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,19,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2025-06-03 11:50:06.000000,2025-06-03 11:50:04,636.0,14.0,64.0,35.0,454.0,93.0,120.0,213.0,,,,188.0,188.0,31.0,,,,2.0,,,,,,,,,,,,,,,,,,,
103,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,19,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2025-06-10 21:14:33.000000,2025-06-10 21:14:32,2985.0,164.0,58.0,10.0,703.0,181.0,127.0,65.0,,,1.0,57.0,57.0,30.0,,,,2.0,,,,,,,,,,,,,,,,,,,
104,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],18,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2025-03-10 20:57:13.000000,2025-03-10 20:57:13,343.0,,887.0,249.0,251.0,204.0,548.0,3030.0,,,,,,49.0,,,,3.0,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,,
105,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-03-12 16:19:08.000000,2025-03-12 16:19:03,164.0,,219.0,64.0,107.0,2.0,59.0,2426.0,2024-03-06 13:35:30,1.3.0,41.0,,,54.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,
