,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,new_addition,gem_url,updated_github_id,apt_id
52,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],27,True,decentralized-identity/did-resolver,did-resolver,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2023-11-28 13:04:22.000000,2023-11-27 01:29:22,381.0,8.0,40.0,23.0,127.0,3.0,18.0,196.0,24.0,5097.0,5097.0,24.0,https://www.npmjs.com/package/did-resolver,169342.0,169342.0,2.0,,,2023-03-08 14:05:37,4.1.0,,,,,,,,,,,,,,,,
53,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-11-29 20:31:35.000000,2023-11-06 01:34:30,355.0,27.0,38.0,24.0,93.0,2.0,47.0,158.0,52.0,805.0,805.0,22.0,https://www.npmjs.com/package/did-jwt-vc,18275.0,18275.0,1.0,,,2023-11-01 14:53:16,3.2.14,,,,,,,,,,,,,,,,
54,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-11-29 08:57:14.000000,2023-11-27 20:44:49,2427.0,20.0,724.0,73.0,231.0,,,2871.0,100.0,2.0,2.0,67.0,https://www.npmjs.com/package/oidc-provider,189256.0,189256.0,3.0,,,2023-10-25 21:01:30,8.4.1,,,,,,,,,,,,,,,,
55,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-11-29 18:18:24.000000,2023-11-29 18:18:22,5985.0,304.0,308.0,410.0,4122.0,117.0,417.0,1672.0,27.0,,,152.0,,,0.0,3.0,,,2023-10-23 21:10:51,1.6.0,51.0,,,,,,,,,,,,,,,
56,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,26,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,46.0,122.0,48.0,1887.0,207.0,901.0,719.0,73.0,,,96.0,,,78821.0,3.0,,cyberark/conjur,2023-08-04 21:07:07,1.20.0,370.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7014703.0,,,,,,,,,,,
57,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-11-30 09:23:38.000000,2023-11-13 05:23:13,1818.0,43.0,105.0,23.0,732.0,61.0,349.0,367.0,42.0,528.0,528.0,50.0,,,,1.0,,,2023-10-09 11:46:16,5.5.3,,,,,,,,,,,,,,,,
58,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-11-30 17:15:30.000000,2023-11-30 16:56:32,2903.0,122.0,256.0,53.0,2181.0,37.0,201.0,815.0,100.0,26.0,26.0,79.0,,,,3.0,,,2023-11-20 16:37:50,1.11.47,,,,,,,,,,,,,,,,
59,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-11-30 17:18:27.000000,2023-11-29 19:44:58,8411.0,470.0,432.0,29.0,1550.0,213.0,878.0,372.0,72.0,,,129.0,,,,1.0,,,2023-11-25 05:08:09,0.11.0,,,,,,,,,,,,,,,,
60,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],24,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-11-30 09:55:39.000000,2023-09-03 08:06:59,2952.0,1.0,289.0,80.0,833.0,286.0,610.0,1753.0,51.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,1289.0,9991.0,1.0,,nodesolidserver/node-solid-server,2023-03-17 17:09:04,5.7.7,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-09-03 08:18:28.394842,4.0,957244.0,,,,,,,,,,,
61,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-11-30 12:27:32.000000,2023-11-29 15:46:17,1414.0,28.0,71.0,24.0,983.0,58.0,202.0,274.0,23.0,102.0,102.0,34.0,,,,2.0,,,2023-11-02 09:48:53,1.0.0,,,,,,,,,,,,,,,,
62,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-11-29 12:29:42.000000,2023-11-28 13:53:28,924.0,78.0,398.0,63.0,427.0,100.0,346.0,10749.0,56.0,,,26.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,2023-11-28 15:30:42,7.0.15,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,
63,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,23,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-11-20 11:07:58.000000,2023-09-24 10:25:45,558.0,14.0,275.0,58.0,142.0,176.0,537.0,5045.0,11.0,,,60.0,,,211.0,3.0,,,2020-09-02 15:57:23,2.6.1,14616.0,,,,,,,,,,,,,,,howdy
64,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-11-30 16:57:33.000000,2023-11-30 16:47:39,2221.0,423.0,79.0,18.0,747.0,32.0,113.0,1958.0,43.0,,,33.0,,,81.0,3.0,,ghcr.io/permify/permify,2023-11-20 17:04:40,0.5.9,1221.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,
65,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,23,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-11-28 15:42:35.000000,2023-11-27 16:04:12,1679.0,21.0,118.0,20.0,340.0,35.0,76.0,1896.0,32.0,,,45.0,,,3987.0,3.0,,permitio/opal-server,2023-09-14 19:06:35,0.7.4,549.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,131015.0,,,,,,,,,,,
66,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-11-30 13:19:12.000000,2023-11-28 16:09:32,15714.0,43.0,304.0,50.0,7096.0,,,1032.0,,,,219.0,,,40640.0,3.0,,freeipa/freeipa-server,,,,https://hub.docker.com/r/freeipa/freeipa-server,2023-11-29 07:28:28.334701,158.0,5608453.0,,,,,,,,,,,
67,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-11-30 12:39:12.000000,2023-11-29 09:44:04,1677.0,35.0,216.0,60.0,280.0,24.0,80.0,499.0,6.0,,,99.0,,,1557.0,2.0,,universalresolver/uni-resolver-web,2022-01-07 16:42:38,0.5.0,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-11-29 09:45:54.612308,,116848.0,,,,,,,,,,,
68,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],23,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-11-30 17:30:34.000000,2023-11-27 19:12:41,415.0,93.0,88.0,17.0,397.0,52.0,181.0,310.0,26.0,146.0,146.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,,2023-11-22 18:19:15,0.2.8,,,,,,,,,,,,,,,,
69,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2023-11-30 14:52:35.000000,2023-11-23 15:38:45,619.0,43.0,34.0,16.0,186.0,19.0,75.0,57.0,24.0,46.0,46.0,20.0,,,3767.0,2.0,,,2023-06-02 16:26:49,0.1.0,37672.0,,,,,,,,,,,,,,,
70,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,2827.0,278.0,25.0,1.0,143.0,19086.0,35.0,,,11.0,,,22964.0,3.0,,,2023-01-21 09:26:53,TINA_SHIFT,665959.0,,,,,,,,,,,,,,,
71,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-11-29 17:22:55.000000,2023-11-28 22:11:36,4033.0,9.0,754.0,254.0,329.0,63.0,209.0,2817.0,4.0,,,55.0,,,913.0,3.0,1.0,,2015-09-29 22:50:55,1.1.0,109628.0,,,,,,,,,,,,,,,
72,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-11-29 16:36:40.000000,2023-11-29 16:35:53,14880.0,11.0,654.0,113.0,17.0,,,672.0,,119.0,119.0,721.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
73,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,22,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2023-11-28 10:05:21.000000,2023-11-14 00:30:30,1728.0,11.0,98.0,28.0,338.0,36.0,73.0,170.0,49.0,30.0,30.0,51.0,,,,3.0,,,2023-06-11 17:23:23,8.4.0,,,,,,,,,,,,,True,,,
74,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-11-27 04:50:38.000000,2023-11-27 00:46:22,277.0,16.0,15.0,14.0,114.0,1.0,10.0,76.0,38.0,800.0,800.0,12.0,https://www.npmjs.com/package/web-did-resolver,20569.0,20569.0,3.0,,,2023-07-03 18:25:08,2.0.27,,,,,,,,,,,,,,,,
75,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-10-25 19:52:07.000000,2023-08-31 21:53:17,639.0,,269.0,66.0,221.0,9.0,121.0,3616.0,2.0,10.0,10.0,39.0,,,,3.0,1.0,,2022-02-09 12:50:28,1.0.1,,,,,,,,,,,,,,,,
76,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-11-30 12:19:16.000000,2023-11-29 20:20:50,2188.0,71.0,150.0,173.0,836.0,80.0,1030.0,1055.0,7.0,,,72.0,,,,1.0,,,2018-03-20 13:11:25,CR-00-20180320,,,,,,,,,,,,,,,,
77,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-09-28 17:59:07.000000,2023-04-04 19:14:54,1149.0,,102.0,40.0,680.0,37.0,441.0,429.0,12.0,31.0,31.0,47.0,,,,1.0,,,2021-03-09 22:06:35,1.0.2,,,,,,,,,,,,,,,,
78,web5-js,https://github.com/TBD54566975/web5-js,ssi-sdks,"An SDK for building decentralized web apps with DIDs, VCs, and DWNs.",,['web5'],21,False,TBD54566975/web5-js,web5/api,https://github.com/TBD54566975/web5-js,Apache-2.0,2023-03-06 19:11:53,2023-11-30 01:32:50.000000,2023-11-30 01:32:49,368.0,48.0,36.0,5.0,192.0,49.0,80.0,76.0,17.0,56.0,56.0,25.0,https://www.npmjs.com/package/web5/api,,,2.0,,,2023-11-09 21:01:39,0.8.2,,,,,,,,,,,,,True,,,
79,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2023-11-28 15:52:43.000000,2023-11-28 15:51:14,2419.0,99.0,31.0,14.0,3113.0,52.0,93.0,60.0,21.0,767.0,767.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,2023-11-16 16:03:01,1.17.5,,,,,,,,,,,,,,,,
80,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4665.0,566.0,122.0,497.0,619.0,13293.0,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
81,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-31 00:29:40.000000,2023-10-25 17:45:50,394.0,3.0,662.0,93.0,307.0,152.0,322.0,1614.0,25.0,,,50.0,,,,3.0,,,2023-05-01 17:52:41,1.6.2,,,,,,,,,,,,,,,,
82,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2023-11-28 08:00:51.000000,2023-11-21 17:51:02,4892.0,12.0,632.0,64.0,1746.0,30.0,49.0,657.0,36.0,,,100.0,,,10.0,1.0,,,2022-09-02 20:48:34,1.12.6,564.0,,,,,,,,,,,,,,,
83,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,154.0,19.0,2046.0,388.0,1196.0,236.0,14.0,2.0,2.0,59.0,,,,2.0,,,2023-05-09 10:57:15,0.3.2,,,,,,,,,,,,,,,,
84,aries-framework-javascript,https://github.com/openwallet-foundation/agent-framework-javascript,ssi-sdks,Aries Framework JavaScript (Built using TypeScript).,,['hyperledger'],20,True,hyperledger/aries-framework-javascript,,https://github.com/openwallet-foundation/agent-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-11-30 17:50:07.000000,2023-11-27 15:08:06,843.0,35.0,146.0,26.0,1004.0,169.0,458.0,210.0,77.0,2.0,2.0,56.0,,,,2.0,,,2023-10-05 13:35:35,0.4.2,,,,,,,,,,,,,,,openwallet-foundation/agent-framework-javascript,
85,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,20,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-26 20:53:45.946694,2023-11-23 10:14:53,1529.0,21.0,32.0,6.0,194.0,3.0,162.0,93.0,96.0,,,16.0,,,393.0,2.0,,waltid/ssikit,2023-11-13 10:54:06,1.2311131043.0,58.0,https://hub.docker.com/r/waltid/ssikit,2023-11-26 20:53:45.946694,,10571.0,,,,,,,,,,,
86,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,20,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2023-11-30 17:58:38.000000,2023-11-30 16:17:09,1090.0,59.0,16.0,12.0,1252.0,,321.0,27.0,16.0,,,27.0,,,364.0,2.0,,,2023-11-16 22:24:18,1.13.0,9116.0,,,,,,,,,,,,,,,
87,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-11-10 22:02:09.000000,2023-07-12 07:05:13,339.0,,798.0,238.0,234.0,174.0,524.0,2595.0,,,,47.0,,,,3.0,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,
88,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,1.0,269.0,96.0,42.0,28.0,23.0,2363.0,,,,26.0,,,1839.0,3.0,,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1839.0,,,,,,,,
89,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],19,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-11-30 14:41:50.000000,2023-11-30 14:41:45,1718.0,198.0,77.0,81.0,701.0,48.0,597.0,259.0,,,,65.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
90,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,,220.0,63.0,103.0,4.0,54.0,2287.0,40.0,,,50.0,,,,3.0,,,2020-04-30 07:36:33,1.2.0,,,,,,,,,,,,,,,,
91,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,158.0,90.0,184.0,70.0,68.0,1218.0,17.0,,,32.0,,,,2.0,,,2022-06-09 01:42:53,1.0.4,,,,,,,,,,,,,,,,
92,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-11-30 00:18:13.000000,2023-11-01 15:51:52,531.0,8.0,48.0,30.0,353.0,73.0,103.0,158.0,,113.0,113.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
93,digitalbazaar-vc,https://github.com/digitalbazaar/vc,credentials-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,18,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2023-11-30 16:18:07.000000,2023-11-28 14:51:07,366.0,22.0,43.0,16.0,79.0,22.0,62.0,153.0,,195.0,195.0,14.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
94,aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],18,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-11-30 17:41:48.000000,2023-11-30 17:41:47,1611.0,60.0,105.0,21.0,788.0,66.0,175.0,122.0,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
95,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Self Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2023-11-29 14:28:49.000000,2023-11-28 15:05:35,1347.0,123.0,49.0,9.0,457.0,4.0,104.0,67.0,10.0,,,16.0,,,,2.0,,,2023-11-28 15:25:14,2.3.3,,,,,,,,,,,,,,,,
96,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,374.0,560.0,56.0,126.0,88.0,8167.0,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
97,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",17,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-11-21 10:24:10.000000,2023-11-08 14:51:10,535.0,3.0,149.0,84.0,204.0,16.0,41.0,1336.0,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,solid-specification,https://github.com/solid/specification,protocols,Solid Technical Reports.,,['solid'],17,True,solid/specification,,https://github.com/solid/specification,MIT,2019-05-14 21:20:03,2023-11-29 15:12:02.000000,2023-11-29 11:54:53,971.0,45.0,38.0,48.0,202.0,173.0,146.0,440.0,1.0,,,22.0,,,,2.0,,,2021-12-21 13:00:06,protocol-v0.9.0,,,,,,,,,,,,,,,,
99,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],17,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-11-29 14:46:53.000000,2023-11-13 03:34:35,2152.0,1.0,207.0,58.0,578.0,53.0,171.0,311.0,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
100,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-11-22 09:43:18.000000,2023-11-22 09:42:44,3596.0,14.0,66.0,27.0,5.0,,,228.0,,,,297.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],17,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-11-27 23:52:27.000000,2023-11-21 02:43:54,317.0,16.0,53.0,13.0,331.0,47.0,107.0,187.0,4.0,33.0,33.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
102,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,17,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-11-30 15:53:09.000000,2023-11-30 14:41:31,390.0,18.0,22.0,4.0,124.0,6.0,21.0,40.0,28.0,81.0,81.0,15.0,,,,3.0,,,2023-11-30 14:47:21,1.4.2,,,,,,,,,,,,,,,,
103,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,17,False,walt-id/waltid-walletkit,,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-11-23 10:20:00.964946,2023-11-23 10:15:56,1373.0,8.0,25.0,2.0,111.0,,46.0,32.0,46.0,,,12.0,,,149.0,3.0,,waltid/walletkit,2023-11-23 10:20:04,1.2311231016.0,,https://hub.docker.com/r/waltid/walletkit,2023-11-23 10:20:00.964946,,3887.0,,,,,,,,,,,
104,talao-altme,https://github.com/TalaoDAO/AltMe,ssi-agents,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,17,False,talaodao/altme,,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-12-27 07:56:07,2023-11-30 08:35:51.000000,2023-11-27 14:21:21,3482.0,245.0,11.0,7.0,454.0,67.0,1619.0,29.0,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
105,spruceid-didkit,https://www.spruceid.dev/didkit/didkit,ssi-sdks,A cross-platform toolkit for decentralized identity.,,,16,True,spruceid/didkit,,https://github.com/spruceid/didkit,Apache-2.0,2020-10-06 21:52:28,2023-10-25 21:52:04.000000,2023-10-25 21:52:03,304.0,5.0,64.0,32.0,247.0,45.0,72.0,224.0,,4.0,4.0,21.0,,,,3.0,,ghcr.io/spruceid/didkit-http,,,,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,
106,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,16,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2023-11-30 02:23:30.000000,2023-11-30 00:56:01,2236.0,38.0,35.0,12.0,386.0,132.0,87.0,45.0,1.0,23.0,23.0,20.0,,,,3.0,,,,,,,,,,,,,,,,,True,,,
