,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
52,jansen,https://github.com/JanssenProject/jans,idp,"An open source enterprise digital identity platform that scales: Janssen is a distribution of standards-based,..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2023-12-14 16:56:29.000000,2023-12-14 16:56:28,33420.0,547.0,54.0,31.0,4112.0,319.0,2578.0,322.0,100.0,,,110.0,,,267.0,3.0,,2023-12-14 13:58:11,1.0.21,803.0,,,,,,,,,,,,,,,,
53,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,credentials-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],27,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2023-12-13 19:40:17.000000,2023-12-12 10:19:45,357.0,25.0,38.0,23.0,94.0,2.0,47.0,159.0,53.0,826.0,826.0,22.0,https://www.npmjs.com/package/did-jwt-vc,19618.0,19618.0,1.0,,2023-12-12 10:20:04,3.2.15,,,,,,,,,,,,,,,,,
54,node-oidc-provider,https://github.com/panva/node-oidc-provider,authentication,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,,,26,True,panva/node-oidc-provider,oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-12-14 11:37:08.000000,2023-12-14 11:33:04,2435.0,24.0,725.0,73.0,235.0,,,2890.0,100.0,2.0,2.0,68.0,https://www.npmjs.com/package/oidc-provider,200820.0,200820.0,3.0,,2023-12-14 11:37:15,8.4.3,,,,,,,,,,,,,,,,,
55,kanidm,https://github.com/kanidm/kanidm,idp,"Kanidm: A simple, secure and fast identity management platform.",,,26,True,kanidm/kanidm,,https://github.com/kanidm/kanidm,MPL-2.0,2019-02-02 01:41:26,2023-12-14 03:15:57.000000,2023-12-11 01:18:26,1719.0,157.0,114.0,17.0,1694.0,140.0,491.0,1804.0,17.0,42.0,42.0,59.0,,,851.0,3.0,kanidm/server,2023-10-31 12:08:26,1.1.0-rc.15,143.0,https://hub.docker.com/r/kanidm/server,2023-12-13 08:46:05.762562,,49254.0,,,,,,,,,,,,
56,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,26,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2023-12-12 22:24:28.000000,2023-12-12 22:24:27,6013.0,286.0,307.0,409.0,4137.0,117.0,417.0,1672.0,27.0,,,152.0,,,0.0,2.0,,2023-10-23 21:10:51,1.6.0,51.0,,,,,,,,,,,,,,,,
57,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,26,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2023-12-13 16:48:08.000000,2023-12-13 16:40:51,1826.0,47.0,109.0,23.0,738.0,61.0,353.0,371.0,42.0,538.0,538.0,54.0,,,,1.0,,2023-10-09 11:46:16,5.5.3,,,,,,,,,,,,,,1.0,,,
58,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],25,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2023-11-30 20:07:17.572171,2023-11-30 19:57:58,2955.0,3.0,289.0,80.0,833.0,286.0,610.0,1756.0,51.0,2.0,2.0,85.0,https://www.npmjs.com/package/solid-server,480.0,9149.0,1.0,nodesolidserver/node-solid-server,2023-03-17 17:09:04,5.7.7,,https://hub.docker.com/r/nodesolidserver/node-solid-server,2023-11-30 20:07:17.572171,4.0,962284.0,,,,,,,,,,,,
59,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2023-12-13 22:09:16.000000,2023-12-13 22:09:16,2921.0,119.0,256.0,52.0,2198.0,37.0,201.0,820.0,100.0,26.0,26.0,79.0,,,,3.0,,2023-12-07 00:08:14,1.11.48,,,,,,,,,,,,,,,,,
60,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,25,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2023-11-20 08:18:32.000000,2023-10-13 18:18:58,3449.0,21.0,122.0,48.0,1887.0,207.0,901.0,722.0,73.0,,,96.0,,,78104.0,3.0,cyberark/conjur,2023-08-04 21:07:07,1.20.0,375.0,https://hub.docker.com/r/cyberark/conjur,2023-10-27 18:55:35.655413,30.0,7028915.0,,,,,,,,,,,,
61,aries-python,https://github.com/hyperledger/aries-cloudagent-python,ssi-sdks,Hyperledger Aries Cloud Agent Python (ACA-Py) is a foundation for building decentralized identity applications and..,,['hyperledger'],25,True,hyperledger/aries-cloudagent-python,,https://github.com/hyperledger/aries-cloudagent-python,Apache-2.0,2019-06-24 18:12:14,2023-12-14 05:06:07.000000,2023-12-13 22:24:21,8495.0,401.0,437.0,29.0,1567.0,218.0,889.0,373.0,72.0,,,130.0,,,,1.0,,2023-11-25 05:08:09,0.11.0,,,,,,,,,,,,,,,,,
62,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,24,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2023-12-14 17:24:34.000000,2023-12-12 16:17:00,1682.0,18.0,120.0,21.0,345.0,36.0,76.0,1921.0,32.0,,,46.0,,,3988.0,3.0,permitio/opal-server,2023-09-14 19:06:35,0.7.4,555.0,https://hub.docker.com/r/permitio/opal-server,2023-09-14 19:15:56.999755,,135034.0,,,,,,,,,,,,
63,dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],24,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/TBD54566975/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2023-12-13 22:54:52.000000,2023-12-13 22:53:28,423.0,93.0,88.0,17.0,406.0,55.0,182.0,314.0,27.0,237.0,237.0,40.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,2.0,,2023-12-04 19:16:00,0.2.9,,,,,,,,,,,,,,,,,
64,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-12-14 13:23:33.000000,2023-12-04 10:33:08,1420.0,31.0,71.0,24.0,983.0,50.0,214.0,274.0,23.0,107.0,107.0,35.0,,,,2.0,,2023-11-02 09:48:53,1.0.0,,,,,,,,,,,,,,,,,
65,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,23,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2023-12-13 06:45:51.000000,2023-12-08 15:09:04,929.0,72.0,398.0,62.0,431.0,103.0,346.0,10840.0,57.0,,,26.0,,,,3.0,registry.supertokens.io/supertokens/supertokens-postgresql,2023-12-07 05:06:05,7.0.16,,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,
66,openbr,https://github.com/biometrics/openbr,face,"Open Source Biometrics, Face Recognition.",,,23,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2023-12-08 22:18:11.000000,2023-12-08 22:18:11,4035.0,11.0,756.0,254.0,329.0,63.0,209.0,2820.0,4.0,,,56.0,,,906.0,3.0,,2015-09-29 22:50:55,1.1.0,109719.0,,,,,,,,,,,,,,,,
67,permify,https://github.com/Permify/permify,authorization,Permify is an open-source authorization service inspired by Google Zanzibar.,,,23,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2023-12-10 21:05:11.000000,2023-12-10 21:04:25,2274.0,410.0,85.0,18.0,775.0,28.0,120.0,2021.0,47.0,1.0,1.0,35.0,,,81.0,3.0,ghcr.io/permify/permify,2023-12-10 21:15:36,0.6.3,1309.0,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,
68,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,23,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2023-12-14 14:21:15.000000,2023-12-14 08:24:46,15729.0,52.0,307.0,50.0,7119.0,,,1034.0,,,,219.0,,,40439.0,3.0,freeipa/freeipa-server,,,,https://hub.docker.com/r/freeipa/freeipa-server,2023-12-13 07:57:26.999151,158.0,5621157.0,,,,,,,,,,,,
69,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,23,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2023-12-14 13:05:08.000000,2023-11-29 09:44:04,1677.0,34.0,219.0,60.0,282.0,26.0,80.0,500.0,6.0,,,99.0,,,1545.0,2.0,universalresolver/uni-resolver-web,2022-01-07 16:42:38,0.5.0,,https://hub.docker.com/r/universalresolver/uni-resolver-web,2023-11-29 09:45:54.612308,,117456.0,,,,,,,,,,,,
70,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2023-12-14 18:07:48.000000,2023-12-14 18:07:48,13188.0,196.0,120.0,10.0,1746.0,933.0,1961.0,283.0,55.0,,,84.0,,,105.0,3.0,,2023-06-16 12:51:58,11.4.3,7726.0,,,,,,,,True,,,,,,,,
71,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,credentials-sdks,anoncreds-rs.,,['hyperledger'],23,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2023-12-12 17:21:53.000000,2023-12-07 16:39:53,673.0,84.0,35.0,16.0,191.0,20.0,75.0,58.0,24.0,52.0,52.0,22.0,,,3695.0,2.0,,2023-06-02 16:26:49,0.1.0,40653.0,,,,,,,,,,,,,,,,
72,deepfacelive,https://github.com/iperov/DeepFaceLive,face,Real-time face swap for PC streaming or video calls.,,,22,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2023-07-28 10:14:16.000000,2023-07-28 10:14:10,326.0,,2890.0,280.0,25.0,1.0,143.0,19283.0,35.0,,,11.0,,,22796.0,3.0,,2023-01-21 09:26:53,TINA_SHIFT,683889.0,,,,,,,,,,,,,,,,
73,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],22,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2023-12-13 18:57:17.000000,2023-12-13 18:56:13,14886.0,14.0,653.0,113.0,17.0,,,672.0,,119.0,119.0,721.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
74,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],22,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2023-12-12 03:41:03.000000,2023-12-12 03:41:02,279.0,15.0,15.0,14.0,115.0,1.0,10.0,77.0,38.0,828.0,828.0,12.0,https://www.npmjs.com/package/web-did-resolver,19998.0,19998.0,3.0,,2023-07-03 18:25:08,2.0.27,,,,,,,,,,,,,,,,,
75,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,21,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2023-12-05 08:57:06.000000,2023-09-24 10:25:45,558.0,2.0,278.0,58.0,143.0,181.0,539.0,5084.0,11.0,,,60.0,,,211.0,3.0,,2020-09-02 15:57:23,2.6.1,14775.0,,,,,,,,,,,,,-1.0,,,howdy
76,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,21,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2023-10-25 19:52:07.000000,2023-08-31 21:53:17,639.0,,268.0,66.0,221.0,10.0,121.0,3623.0,2.0,10.0,10.0,39.0,,,,3.0,,2022-02-09 12:50:28,1.0.1,,,,,,,,,,,,,,,,,
77,webauthn,https://github.com/w3c/webauthn,protocols,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],21,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2023-12-13 20:16:44.000000,2023-12-13 20:15:00,2198.0,71.0,150.0,175.0,837.0,78.0,1033.0,1060.0,7.0,,,72.0,,,,1.0,,2018-03-20 13:11:25,CR-00-20180320,,,,,,,,,,,,,,,,,
78,sidetree,https://github.com/decentralized-identity/sidetree,protocols,Sidetree Specification and Reference Implementation.,,['dif'],21,True,decentralized-identity/sidetree,,https://github.com/decentralized-identity/sidetree,Apache-2.0,2018-09-04 17:20:14,2023-12-11 09:57:56.000000,2023-04-04 19:14:54,1149.0,,104.0,40.0,681.0,37.0,441.0,429.0,12.0,31.0,31.0,47.0,,,,1.0,,2021-03-09 22:06:35,1.0.2,,,,,,,,,,,,,,,,,
79,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,21,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2023-12-12 01:16:03.000000,2023-11-14 00:30:30,1728.0,11.0,98.0,28.0,339.0,36.0,73.0,171.0,49.0,30.0,30.0,51.0,,,,3.0,,2023-06-11 17:23:23,8.4.0,,,,,,,,,,,,,,,,,
80,web5-js,https://github.com/TBD54566975/web5-js,ssi-sdks,"An SDK for building decentralized web apps with DIDs, VCs, and DWNs.",,['web5'],21,False,TBD54566975/web5-js,web5/api,https://github.com/TBD54566975/web5-js,Apache-2.0,2023-03-06 19:11:53,2023-12-13 21:29:34.000000,2023-12-13 20:05:38,399.0,75.0,39.0,6.0,212.0,47.0,90.0,88.0,18.0,58.0,58.0,26.0,https://www.npmjs.com/package/web5/api,,,2.0,,2023-12-07 19:14:55,0.8.3,,,,,,,,,,,,,,,,,
81,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],21,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2023-12-13 21:16:01.000000,2023-12-13 12:52:16,2430.0,91.0,31.0,14.0,3127.0,51.0,94.0,60.0,21.0,772.0,772.0,21.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,2023-11-16 16:03:01,1.17.5,,,,,,,,,,,,,,,,,
82,facenet,https://github.com/davidsandberg/facenet,face,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4661.0,566.0,122.0,498.0,619.0,13314.0,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
83,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2023-10-31 00:29:40.000000,2023-10-25 17:45:50,394.0,3.0,666.0,94.0,307.0,153.0,323.0,1616.0,25.0,,,50.0,,,,3.0,,2023-05-01 17:52:41,1.6.2,,,,,,,,,,,,,,,,,
84,indy-node,https://github.com/hyperledger/indy-node,ssi-infra,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2023-12-11 09:10:23.000000,2023-11-21 17:51:02,4892.0,12.0,632.0,64.0,1746.0,31.0,49.0,660.0,36.0,,,100.0,,,10.0,1.0,,2022-09-02 20:48:34,1.12.6,564.0,,,,,,,,,,,,,,,,
85,aries-framework-go,https://github.com/hyperledger/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2023-10-27 19:12:10.000000,2023-09-01 12:06:39,3196.0,,154.0,19.0,2046.0,388.0,1196.0,235.0,14.0,2.0,2.0,59.0,,,,2.0,,2023-05-09 10:57:15,0.3.2,,,,,,,,,,,,,,,,,
86,aries-framework-javascript,https://github.com/openwallet-foundation/agent-framework-javascript,ssi-sdks,Agent Framework JavaScript.,,['hyperledger'],20,True,hyperledger/aries-framework-javascript,,https://github.com/openwallet-foundation/agent-framework-javascript,Apache-2.0,2019-11-20 17:23:33,2023-12-14 14:45:49.000000,2023-12-14 13:20:14,848.0,39.0,145.0,26.0,1009.0,169.0,460.0,210.0,77.0,2.0,2.0,56.0,,,,2.0,,2023-10-05 13:35:35,0.4.2,,,,,,,,,,,,,,,openwallet-foundation/agent-framework-javascript,,
87,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,ssi-sdks,All-In-One SSI infrastructure toolkit.,,,20,False,walt-id/waltid-ssikit,,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-12-13 10:55:45.426370,2023-12-13 10:48:35,1531.0,19.0,32.0,6.0,195.0,3.0,162.0,94.0,98.0,,,16.0,,,388.0,2.0,waltid/ssikit,2023-12-13 10:55:46,1.2312131048.0,58.0,https://hub.docker.com/r/waltid/ssikit,2023-12-13 10:55:45.426370,,10831.0,,,,,,,,,,,,
88,appauth-android,https://github.com/openid/AppAuth-Android,authentication,Android client SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],19,True,openid/appauth-android,,https://github.com/openid/AppAuth-Android,Apache-2.0,2016-02-19 15:09:43,2023-12-02 04:19:25.000000,2023-07-12 07:05:13,339.0,,799.0,237.0,237.0,175.0,525.0,2607.0,,,,47.0,,,,3.0,,,,,,,,,,,,,,net.openid:appauth,https://search.maven.org/artifact/net.openid/appauth,,,,,
89,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,True,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,1.0,269.0,96.0,42.0,28.0,23.0,2379.0,,,,26.0,,,1837.0,3.0,,,,,,,,,pyja3,https://pypi.org/project/pyja3,1837.0,,,,,,,,,
90,aries-rfcs,https://github.com/hyperledger/aries-rfcs,protocols,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/hyperledger/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2023-12-12 23:26:53.000000,2023-12-07 04:55:29,2178.0,15.0,207.0,58.0,580.0,52.0,172.0,313.0,,,,84.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
91,vc-data-model,https://github.com/w3c/vc-data-model,credentials,W3C Verifiable Credentials Working Group VC Data Model and Representations specification.,,['w3c'],19,True,w3c/vc-data-model,,https://github.com/w3c/vc-data-model,W3C,2016-11-15 20:14:42,2023-12-13 17:32:54.000000,2023-12-07 23:28:26,1768.0,233.0,78.0,81.0,712.0,47.0,605.0,260.0,,,,65.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
92,trinsic-sdk,https://github.com/trinsic-id/sdk,ssi-sdks,Trinsic SDK repository.,,,19,False,trinsic-id/sdk,,https://github.com/trinsic-id/sdk,Apache-2.0,2021-04-26 20:47:34,2023-12-14 15:19:48.000000,2023-12-14 15:18:17,1094.0,38.0,16.0,12.0,1257.0,,321.0,28.0,16.0,,,27.0,,,355.0,3.0,,2023-11-16 22:24:18,1.13.0,9238.0,,,,,,,,,,,,,-1.0,,,
93,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],18,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2023-06-09 16:12:30.000000,2023-06-09 16:12:30,149.0,,220.0,63.0,103.0,4.0,54.0,2291.0,40.0,,,50.0,,,,3.0,,2020-04-30 07:36:33,1.2.0,,,,,,,,,,,,,,,,,
94,ion,https://github.com/decentralized-identity/ion,ssi-infra,The Identity Overlay Network (ION) is a DID Method implementation using the Sidetree protocol atop Bitcoin.,,,18,True,decentralized-identity/ion,,https://github.com/decentralized-identity/ion,Apache-2.0,2019-01-25 00:34:40,2023-08-25 15:24:32.000000,2023-08-25 15:23:54,215.0,,159.0,90.0,184.0,70.0,69.0,1219.0,17.0,,,32.0,,,,2.0,,2022-06-09 01:42:53,1.0.4,,,,,,,,,,,,,,,,,
95,warrant,https://github.com/warrant-dev/warrant,authorization,"Warrant is a highly scalable, centralized authorization service based on Google Zanzibar, used for defining, querying,..",,,18,True,warrant-dev/warrant,,https://github.com/warrant-dev/warrant,Apache-2.0,2023-02-14 23:22:46,2023-12-12 23:29:25.635467,2023-12-12 17:16:34,227.0,52.0,21.0,5.0,234.0,18.0,15.0,911.0,86.0,1.0,1.0,5.0,,,106.0,3.0,warrantdev/warrant,2023-12-12 23:29:26,1.0.5,803.0,https://hub.docker.com/r/warrantdev/warrant,2023-12-12 23:29:25.635467,,264.0,,,,True,,,,,,,,
96,spruceid-ssi,https://github.com/spruceid/ssi,ssi-sdks,Core library for decentralized identity.,,,18,True,spruceid/ssi,,https://github.com/spruceid/ssi,Apache-2.0,2020-08-04 14:40:34,2023-12-14 00:18:05.000000,2023-11-01 15:51:52,531.0,8.0,48.0,30.0,353.0,73.0,103.0,161.0,,114.0,114.0,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
97,digitalbazaar-vc,https://github.com/digitalbazaar/vc,credentials-sdks,W3C Verifiable Credentials implementation in JavaScript.,,,18,True,digitalbazaar/vc,,https://github.com/digitalbazaar/vc,BSD-3-Clause,2017-10-24 20:45:37,2023-12-08 21:35:58.000000,2023-12-07 12:08:25,381.0,37.0,43.0,15.0,84.0,23.0,62.0,154.0,,207.0,207.0,14.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,aries-mobile-agent-react-native,https://github.com/hyperledger/aries-mobile-agent-react-native,ssi-agents,Aries Mobile Agent React Native - Part of the Aries Bifold effort to provide SSI capabilities in a production ready app.,,['hyperledger'],18,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/hyperledger/aries-mobile-agent-react-native,Apache-2.0,2020-11-06 19:58:19,2023-12-14 18:15:17.000000,2023-12-14 18:12:56,1623.0,64.0,105.0,21.0,798.0,66.0,175.0,122.0,,,,40.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
99,polygon-issuer,https://github.com/0xPolygonID/issuer-node,ssi-agents,Self Hosted Issuer Node.,,,18,False,0xPolygonID/issuer-node,,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-12-20 15:29:39,2023-12-14 17:53:35.000000,2023-12-07 09:27:01,1363.0,133.0,52.0,9.0,470.0,6.0,104.0,70.0,13.0,,,16.0,,,,2.0,,2023-12-04 18:12:46,2.3.6,,,,,,,,,,,,,,,,,
100,keripy,https://github.com/WebOfTrust/keripy,ssi-sdks,Key Event Receipt Infrastructure - the spec and implementation of the KERI protocol.,,,18,False,weboftrust/keripy,,https://github.com/WebOfTrust/keripy,Apache-2.0,2021-06-09 16:01:34,2023-12-13 21:32:50.000000,2023-12-13 21:32:49,2274.0,71.0,35.0,12.0,402.0,131.0,88.0,45.0,1.0,23.0,23.0,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,solid-project,https://github.com/solid/solid,protocols,Solid - Re-decentralizing the web (project directory).,,['solid'],17,False,solid/solid,,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2022-08-24 14:54:37.000000,2022-05-27 15:42:07,132.0,,373.0,560.0,56.0,126.0,88.0,8169.0,,,,22.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
102,spiffe,https://github.com/spiffe/spiffe,machine,The SPIFFE Project.,,"['cncf', 'linux-foundation']",17,True,spiffe/spiffe,,https://github.com/spiffe/spiffe,Apache-2.0,2017-08-07 20:45:21,2023-12-13 20:50:19.000000,2023-12-13 20:50:19,537.0,4.0,149.0,84.0,206.0,17.0,42.0,1343.0,,,,57.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
103,barbican,https://github.com/openstack/barbican,pki,"Barbican is a ReST API designed for the secure storage, provisioning and management of secrets, including in OpenStack..",,['openstack'],17,True,openstack/barbican,,https://github.com/openstack/barbican,Apache-2.0,2014-05-23 22:15:27,2023-12-14 11:31:53.000000,2023-11-22 09:42:44,3596.0,13.0,67.0,27.0,5.0,,,228.0,,,,297.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
104,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],17,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2023-12-14 16:30:01.000000,2023-12-14 16:30:01,320.0,19.0,54.0,13.0,334.0,47.0,107.0,189.0,4.0,33.0,33.0,18.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
105,polygon-js-sdk,https://github.com/0xPolygonID/js-sdk,ssi-sdks,SDK to work with Polygon ID.,,,17,False,0xPolygonID/js-sdk,,https://github.com/0xPolygonID/js-sdk,,2022-11-08 12:11:09,2023-12-14 16:28:57.000000,2023-12-12 18:52:17,391.0,17.0,22.0,4.0,125.0,6.0,21.0,42.0,28.0,115.0,115.0,15.0,,,,3.0,,2023-11-30 14:47:21,1.4.2,,,,,,,,,,,,,,,,,
106,waltid-walletkit,https://github.com/walt-id/waltid-walletkit,ssi-sdks,Toolkit for SSI and NFT/SBT wallets.,,,17,False,walt-id/waltid-walletkit,,https://github.com/walt-id/waltid-walletkit,Apache-2.0,2021-09-24 15:14:51,2023-12-13 10:51:53.446549,2023-12-13 10:46:56,1375.0,10.0,25.0,2.0,111.0,,46.0,33.0,48.0,,,12.0,,,145.0,3.0,waltid/walletkit,2023-12-13 10:51:55,1.2312131047.0,,https://hub.docker.com/r/waltid/walletkit,2023-12-13 10:51:53.446549,,3925.0,,,,,,,,,,,,
