,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id,new_addition,github,github-id
54,boulder,https://github.com/letsencrypt/boulder,pki,"An ACME-based certificate authority, written in Go.",,['linux-foundation'],28,True,letsencrypt/boulder,,https://github.com/letsencrypt/boulder,MPL-2.0,2014-12-21 00:29:54,2025-03-20 10:09:12.000000,2025-03-19 21:03:59,6920.0,113.0,599.0,138.0,4925.0,167.0,2949.0,5362.0,2025-03-19 17:44:21,release-2025-03-18,100.0,,,137.0,,,17934.0,2.0,36932.0,letsencrypt/boulder-tools,https://hub.docker.com/r/letsencrypt/boulder-tools,2025-03-10 17:36:42.406196,13.0,1999576.0,,,,,,,,,,,,,,
55,permify,https://github.com/Permify/permify,authorization,"An open-source authorization as a service inspired by Google Zanzibar, designed to build and manage fine-grained and..",,,28,True,permify/permify,,https://github.com/Permify/permify,Apache-2.0,2022-07-14 11:16:57,2025-03-20 07:36:30.000000,2025-03-20 07:36:27,4496.0,426.0,241.0,25.0,1838.0,48.0,228.0,5288.0,2025-03-13 13:24:16,1.3.5,100.0,4.0,4.0,65.0,,,301.0,3.0,7245.0,ghcr.io/permify/permify,https://hub.docker.com/r/ghcr.io/permify/permify,,,,,,,,,,,,,,,,,
56,node-solid-server,https://github.com/nodeSolidServer/node-solid-server,ssi-agents,Solid server on top of the file-system in NodeJS.,,['solid'],28,True,nodesolidserver/node-solid-server,solid-server,https://github.com/nodeSolidServer/node-solid-server,MIT,2014-09-21 22:05:03,2025-02-21 20:16:24.000000,2025-02-21 16:08:11,3194.0,12.0,298.0,77.0,867.0,287.0,640.0,1785.0,2025-02-21 20:25:35,5.8.5,59.0,3.0,3.0,89.0,https://www.npmjs.com/package/solid-server,607.0,8580.0,1.0,,nodesolidserver/node-solid-server,https://hub.docker.com/r/nodesolidserver/node-solid-server,2024-04-30 17:23:49.835167,5.0,1004657.0,,,,,,,,,,,,,,
57,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,ssi-sdks,Create and verify W3C Verifiable Credentials and Presentations in JWT format.,,['dif'],28,True,decentralized-identity/did-jwt-vc,did-jwt-vc,https://github.com/decentralized-identity/did-jwt-vc,Apache-2.0,2019-07-22 20:20:06,2025-03-20 03:13:49.000000,2025-03-19 11:10:03,381.0,14.0,46.0,22.0,102.0,2.0,48.0,189.0,2025-03-19 11:10:20,4.0.7,61.0,1172.0,1172.0,22.0,https://www.npmjs.com/package/did-jwt-vc,50448.0,50448.0,1.0,,,,,,,,,,,,,,,,,,,,
58,faceswap,https://github.com/deepfakes/faceswap,biometrics,Deepfakes Software For All.,,,27,True,deepfakes/faceswap,,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2025-02-26 17:55:37.000000,2025-02-26 17:55:36,1831.0,1.0,13221.0,1534.0,526.0,31.0,844.0,53502.0,2023-06-18 18:08:19,2.2.0,4.0,,,97.0,,,6803.0,3.0,496649.0,,,,,,,,,,,,,,,,,,,
59,face-api-js,https://github.com/justadudewhohacks/face-api.js,biometrics,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,,,27,False,justadudewhohacks/face-api.js,face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2024-01-24 09:25:35.000000,2020-04-22 16:40:10,488.0,,3710.0,344.0,111.0,447.0,393.0,17077.0,2020-03-22 14:01:55,0.22.2,38.0,,,25.0,https://www.npmjs.com/package/face-api.js,149994.0,149994.0,3.0,,,,,,,,,,-6.0,,,,,,,,,,
60,oso,https://github.com/osohq/oso,authorization,Deprecated: See README.,,,27,True,osohq/oso,,https://github.com/osohq/oso,Apache-2.0,2020-05-04 20:05:50,2025-02-26 16:59:39.000000,2025-02-26 16:59:37,1215.0,1.0,177.0,27.0,1529.0,110.0,104.0,3477.0,2024-01-13 04:08:30,0.27.3,100.0,209.0,209.0,68.0,,,27194.0,3.0,3535.0,,,,,,oso,https://pypi.org/project/oso,27122.0,,,,,,,,,,,
61,jansen,https://github.com/JanssenProject/jans,idp,"An enterprise identity and access management platform-- Janssen is a distribution of standards-based, developer..",,['linux-foundation'],27,True,janssenproject/jans,,https://github.com/JanssenProject/jans,Apache-2.0,2020-11-03 15:00:37,2025-03-20 18:02:07.000000,2025-03-20 17:44:56,34830.0,218.0,83.0,31.0,6375.0,442.0,4096.0,522.0,2025-02-14 08:09:56,1.4.0,100.0,,,126.0,,,518.0,3.0,8818.0,,,,,,,,,,,,,,,,,,,
62,aries-python,https://github.com/openwallet-foundation/acapy,ssi-sdks,ACA-Py is a foundation for building decentralized identity applications and services running in non-mobile environments.,,['hyperledger'],26,True,hyperledger/aries-cloudagent-python,,https://github.com/openwallet-foundation/acapy,Apache-2.0,2019-06-24 18:12:14,2025-03-20 18:03:24.000000,2025-03-20 18:02:50,9951.0,130.0,487.0,28.0,2260.0,125.0,1219.0,434.0,2025-03-13 21:13:48,1.2.4,100.0,,,153.0,,,,1.0,,,,,,,,,,,,,,,,openwallet-foundation/acapy,,,,
63,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,dids,DID resolver for Ethereum Addresses with support for key management.,,['dif'],26,True,decentralized-identity/ethr-did-resolver,ethr-did-resolver,https://github.com/decentralized-identity/ethr-did-resolver,Apache-2.0,2018-03-31 18:40:19,2025-03-20 16:23:36.000000,2025-01-06 05:23:39,520.0,2.0,74.0,27.0,154.0,5.0,48.0,222.0,2025-01-06 05:24:12,11.0.3,69.0,1745.0,1745.0,28.0,https://www.npmjs.com/package/ethr-did-resolver,17943.0,17943.0,1.0,,,,,,,,,,,,,,,,,,,,
64,hanko,https://github.com/teamhanko/hanko,idp,"The Complete Authentication and User Management Solution for the Passkey Era. Open Source Alternative to Clerk, Auth0,..",,,25,False,teamhanko/hanko,,https://github.com/teamhanko/hanko,,2022-03-14 17:03:46,2025-03-19 21:16:07.000000,2025-03-19 21:16:04,2236.0,43.0,946.0,39.0,1650.0,44.0,345.0,7755.0,2025-03-14 13:43:46,backend/v1.5.0,31.0,308.0,308.0,50.0,,,18.0,3.0,605.0,,,,,,,,,,,,,,,,,,,
65,opal,https://github.com/permitio/opal,authorization,"Policy and data administration, distribution, and real-time updates on top of Policy Agents (OPA, Cedar, ...).",,,25,True,permitio/opal,,https://github.com/permitio/opal,Apache-2.0,2021-02-14 11:37:31,2025-03-11 21:41:56.000000,2025-03-03 16:29:56,2035.0,21.0,201.0,29.0,537.0,57.0,100.0,5221.0,2025-02-18 15:31:39,0.8.0,48.0,,,69.0,,,6258.0,3.0,1420.0,permitio/opal-server,https://hub.docker.com/r/permitio/opal-server,2025-02-18 15:39:20.906277,1.0,305216.0,,,,,,,,,,,,,,
66,maxkey,https://github.com/dromara/MaxKey,idp,"Dromara MaxKey SSO ,Leading-Edge IAM-IDaas(Identity and Access Management) Product , Under Apache License, Version 2.0..",,,25,True,dromara/MaxKey,,https://github.com/dromara/MaxKey,Apache-2.0,2016-11-16 03:06:50,2025-03-14 01:15:57.000000,2025-03-14 01:08:03,2558.0,69.0,343.0,29.0,117.0,3.0,123.0,1608.0,2025-02-20 00:53:11,4.1.6,67.0,,,50.0,,,289.0,3.0,,maxkeytop/maxkey,https://hub.docker.com/r/maxkeytop/maxkey,2025-02-18 01:02:26.029788,5.0,28909.0,,,,,,,,,,,,,,
67,athenz,https://github.com/AthenZ/athenz,pki,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic..,,['linux-foundation'],25,True,athenz/athenz,,https://github.com/AthenZ/athenz,Apache-2.0,2016-11-16 18:23:08,2025-03-18 23:25:52.000000,2025-03-18 23:25:52,3342.0,85.0,278.0,51.0,2609.0,29.0,250.0,924.0,2025-03-07 21:46:52,1.12.12,100.0,34.0,34.0,91.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
68,supertokens,https://github.com/supertokens/supertokens-core,idp,Open source alternative to Auth0 / Firebase Auth / AWS Cognito.,,,24,True,supertokens/supertokens-core,,https://github.com/supertokens/supertokens-core,https://github.com/supertokens/supertokens-core/blob/4a134fff6e96c46546fd11d66592d75c9fcef614/ee/LICENSE.md,2020-01-05 13:30:52,2025-03-20 15:53:28.000000,2025-03-13 14:50:37,1232.0,74.0,566.0,66.0,588.0,126.0,387.0,13959.0,2025-03-17 12:48:09,10.1.0,83.0,,,31.0,,,,3.0,,registry.supertokens.io/supertokens/supertokens-postgresql,https://hub.docker.com/r/registry.supertokens.io/supertokens/supertokens-postgresql,,,,,,,,,,,,,,,,,
69,lemur,https://github.com/Netflix/lemur,pki,Repository for the Lemur Certificate Manager.,,,24,True,netflix/lemur,,https://github.com/Netflix/lemur,Apache-2.0,2015-06-16 16:36:07,2025-03-19 01:56:38.000000,2025-03-19 01:56:38,6693.0,170.0,314.0,423.0,4514.0,125.0,419.0,1734.0,2024-06-11 16:44:34,1.8.2,31.0,,,151.0,,,0.0,3.0,64.0,,,,,,,,,,,,,,,,,,,
70,freeipa,https://github.com/freeipa/freeipa,idp,"Mirror of FreeIPA, an integrated security information management solution.",,,24,True,freeipa/freeipa,,https://github.com/freeipa/freeipa,GPL-3.0,2012-05-15 20:34:40,2025-03-20 18:21:01.237990,2025-03-20 15:32:04,16135.0,67.0,343.0,50.0,7741.0,,,1211.0,,,,,,239.0,,,38739.0,3.0,,freeipa/freeipa-server,https://hub.docker.com/r/freeipa/freeipa-server,2025-03-20 18:21:01.237990,172.0,5965911.0,,,,,,,,,,,,,,
71,conjur,https://github.com/cyberark/conjur,machine,CyberArk Conjur automatically secures secrets used by privileged users and machine identities.,,,24,True,cyberark/conjur,,https://github.com/cyberark/conjur,LGPL,2016-06-28 21:18:07,2025-03-10 20:39:43.360145,2024-12-31 19:54:56,3793.0,5.0,126.0,45.0,1898.0,178.0,931.0,839.0,2025-02-19 20:39:44,1.21.3,77.0,,,102.0,,,68503.0,3.0,1099.0,cyberark/conjur,https://hub.docker.com/r/cyberark/conjur,2025-03-10 20:39:43.360145,30.0,7191584.0,,,,-1.0,,,,,,,,,,
72,universal-resolver,https://github.com/decentralized-identity/universal-resolver,dids,Universal Resolver implementation and drivers.,,,24,True,decentralized-identity/universal-resolver,,https://github.com/decentralized-identity/universal-resolver,Apache-2.0,2017-08-01 18:25:42,2025-03-20 12:39:04.000000,2025-03-19 10:48:14,1871.0,54.0,240.0,56.0,349.0,32.0,89.0,580.0,2022-01-07 16:42:38,0.5.0,6.0,,,118.0,,,1476.0,2.0,,universalresolver/uni-resolver-web,https://hub.docker.com/r/universalresolver/uni-resolver-web,2025-03-19 10:52:09.301474,,134355.0,,,,,,,,,,,,,,
73,veramo,https://github.com/decentralized-identity/veramo,ssi-sdks,A JavaScript Framework for Verifiable Data.,,,24,True,decentralized-identity/veramo,,https://github.com/decentralized-identity/veramo,Apache-2.0,2019-11-12 14:18:17,2025-03-20 02:51:06.000000,2025-02-27 17:32:56,1900.0,18.0,131.0,22.0,826.0,65.0,392.0,458.0,2024-04-02 18:54:31,6.0.0,44.0,813.0,813.0,58.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
74,iota-identity,https://github.com/iotaledger/identity.rs,ssi-sdks,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,,,24,True,iotaledger/identity.rs,,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2025-03-20 15:34:30.000000,2025-02-28 12:46:34,1502.0,12.0,89.0,26.0,1200.0,104.0,285.0,314.0,2025-01-20 10:48:25,1.5.0,35.0,140.0,140.0,42.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
75,deepfacelab,https://github.com/iperov/DeepFaceLab,biometrics,DeepFaceLab is the leading software for creating deepfakes.,,,23,True,iperov/DeepFaceLab,,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2024-11-13 19:29:05.000000,2024-11-13 19:29:05,1317.0,,276.0,19.0,131.0,531.0,787.0,17298.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,21.0,21.0,22.0,,,3301.0,3.0,198093.0,,,,,,,,,,,,,,,,,,,
76,fido2-net-lib,https://github.com/passwordless-lib/fido2-net-lib,authentication,FIDO2 .NET library for FIDO2 / WebAuthn Attestation and Assertion using .NET.,,,23,True,passwordless-lib/fido2-net-lib,,https://github.com/passwordless-lib/fido2-net-lib,MIT,2018-05-31 07:51:51,2025-02-21 13:56:02.000000,2025-02-21 13:56:01,651.0,2.0,182.0,41.0,304.0,47.0,221.0,1241.0,2022-09-28 20:32:17,3.0.1,19.0,315.0,315.0,49.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
77,webauthn,https://github.com/w3c/webauthn,specs,Web Authentication: An API for accessing Public Key Credentials.,,['w3c'],23,True,w3c/webauthn,,https://github.com/w3c/webauthn,W3C,2016-02-08 14:51:38,2025-03-12 18:09:13.000000,2025-03-12 18:08:02,2677.0,47.0,179.0,176.0,955.0,73.0,1175.0,1218.0,2018-03-20 13:11:25,CR-00-20180320,7.0,,,81.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
78,keystone,https://github.com/openstack/keystone,idp,OpenStack Identity (Keystone). Mirror of code maintained at opendev.org.,,['openstack'],23,True,openstack/keystone,,https://github.com/openstack/keystone,Apache-2.0,2013-05-30 14:48:39,2025-03-19 16:16:45.000000,2025-03-13 13:34:08,15133.0,43.0,668.0,109.0,19.0,,,699.0,,,,162.0,162.0,743.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
79,passwordlessid-webauthn,https://github.com/passwordless-id/webauthn,authentication,"Webauthn / passkeys helper library to make your life easier. Client side, server side and demo included.",,,23,True,passwordless-id/webauthn,passwordless-id/webauthn,https://github.com/passwordless-id/webauthn,MIT,2022-08-11 07:41:33,2025-03-16 21:06:42.000000,2025-03-16 21:05:50,276.0,32.0,56.0,7.0,33.0,2.0,53.0,517.0,2025-03-16 21:06:42,2.3.0,37.0,4364.0,4364.0,19.0,https://www.npmjs.com/package/passwordless-id/webauthn,,,3.0,,,,,,,,,,,,,,,,,,,,
80,dogtagpki,https://github.com/dogtagpki/pki,pki,The Dogtag Certificate System is an enterprise-class Certificate Authority (CA) which supports all aspects of..,,,23,True,dogtagpki/pki,,https://github.com/dogtagpki/pki,GPL-2.0,2017-02-16 19:36:36,2025-03-20 17:13:49.000000,2025-03-20 16:23:12,14303.0,315.0,139.0,15.0,2050.0,950.0,2003.0,399.0,2023-06-16 12:51:58,11.4.3,55.0,,,89.0,,,105.0,3.0,9309.0,,,,,,,,,,,,,,,,,,,
81,credo-ts,https://github.com/openwallet-foundation/credo-ts,ssi-sdks,Typescript framework for building decentralized identity and verifiable credential solutions.,,['openwallet-foundation'],23,True,openwallet-foundation/credo-ts,,https://github.com/openwallet-foundation/credo-ts,Apache-2.0,2019-11-20 17:23:33,2025-03-20 14:12:16.000000,2025-03-20 14:09:11,1130.0,44.0,193.0,28.0,1386.0,202.0,596.0,289.0,2024-11-07 19:07:51,0.5.13,100.0,,,71.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
82,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,dids,DID resolver for HTTPS domains.,,['dif'],23,False,decentralized-identity/web-did-resolver,web-did-resolver,https://github.com/decentralized-identity/web-did-resolver,Apache-2.0,2018-09-20 21:44:09,2025-03-17 06:43:46.000000,2025-03-17 02:50:57,309.0,15.0,18.0,14.0,125.0,1.0,11.0,87.0,2025-01-24 11:36:29,2.0.29,40.0,1263.0,1263.0,12.0,https://www.npmjs.com/package/web-did-resolver,36147.0,36147.0,2.0,,,,,,,,,,,,,,,,,,,,
83,howdy,https://github.com/boltgolt/howdy,authentication,Windows Hello style facial authentication for Linux.,,,22,True,boltgolt/howdy,,https://github.com/boltgolt/howdy,MIT,2018-01-05 00:54:21,2025-02-02 15:58:38.000000,2025-02-02 15:58:38,586.0,9.0,310.0,61.0,157.0,244.0,599.0,6120.0,2020-09-02 15:57:23,2.6.1,11.0,,,67.0,,,258.0,3.0,21976.0,,,,,,,,,,,,,,,,howdy,,,
84,openbr,https://github.com/biometrics/openbr,biometrics,"Open Source Biometrics, Face Recognition.",,,22,False,biometrics/openbr,,https://github.com/biometrics/openbr,,2012-12-20 02:52:37,2025-03-14 20:59:52.000000,2025-03-05 00:09:47,4055.0,4.0,775.0,248.0,348.0,63.0,210.0,2866.0,2015-09-29 22:50:55,1.1.0,4.0,,,59.0,,,855.0,3.0,116366.0,,,,,,,,,,,,,,,,,,,
85,did-resolver,https://github.com/decentralized-identity/did-resolver,dids,Universal did-resolver for javascript environments.,,['dif'],22,True,decentralized-identity/did-resolver,,https://github.com/decentralized-identity/did-resolver,Apache-2.0,2018-02-20 16:33:55,2025-03-20 02:57:51.000000,2025-03-17 02:46:34,400.0,3.0,42.0,22.0,132.0,3.0,18.0,219.0,2023-03-08 14:05:37,4.1.0,24.0,7118.0,7118.0,24.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
86,waltid-identity,https://github.com/walt-id/waltid-identity,ssi-sdks,All-in-one open-source identity and wallet toolkit.,,,22,True,walt-id/waltid-identity,,https://github.com/walt-id/waltid-identity,Apache-2.0,2023-10-05 20:33:14,2025-03-20 15:40:24.000000,2025-03-20 15:28:25,4664.0,421.0,60.0,8.0,782.0,14.0,190.0,159.0,2025-03-04 18:35:51,0.12.0,100.0,1.0,1.0,28.0,,,,2.0,,waltid/identity,https://hub.docker.com/r/waltid/identity,,,,,,,,,,,,,,,,,
87,hyperledger-anoncreds-rs,https://github.com/hyperledger/anoncreds-rs,ssi-sdks,anoncreds-rs.,,['hyperledger'],22,False,hyperledger/anoncreds-rs,,https://github.com/hyperledger/anoncreds-rs,Apache-2.0,2022-10-20 16:09:54,2025-02-24 18:08:18.000000,2025-02-24 18:08:17,804.0,5.0,50.0,14.0,238.0,28.0,87.0,75.0,2024-02-13 10:21:42,0.2.0,30.0,142.0,142.0,27.0,,,9285.0,2.0,241426.0,,,,,,,,,,,,,,,,,,,
88,solid-client-authn-js,https://github.com/inrupt/solid-client-authn-js,authentication,A client library for authenticating with Solid.,,['solid'],22,False,inrupt/solid-client-authn-js,inrupt/solid-client-authn-node,https://github.com/inrupt/solid-client-authn-js,,2019-11-21 00:49:46,2025-03-20 14:11:32.000000,2025-03-20 14:10:08,2901.0,68.0,37.0,15.0,3736.0,54.0,101.0,72.0,2024-11-14 15:51:25,2.3.0,32.0,936.0,936.0,25.0,https://www.npmjs.com/package/inrupt/solid-client-authn-node,,,3.0,,,,,,,,,,,,,,,,,,,,
89,deepfacelive,https://github.com/iperov/DeepFaceLive,biometrics,Real-time face swap for PC streaming or video calls.,,,21,True,iperov/DeepFaceLive,,https://github.com/iperov/DeepFaceLive,GPL-3.0,2020-12-15 12:19:22,2024-11-08 03:07:42.000000,2024-10-24 16:17:15,328.0,,356.0,395.0,25.0,1.0,143.0,27880.0,2023-01-21 09:26:53,TINA_SHIFT,35.0,,,11.0,,,28685.0,3.0,1290842.0,,,,,,,,,,,,,,,,,,,
90,dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,ssi-agents,Decentralized Web Node (DWN) Reference implementation.,,['web5'],21,True,TBD54566975/dwn-sdk-js,tbd54566975/dwn-sdk-js,https://github.com/decentralized-identity/dwn-sdk-js,Apache-2.0,2022-03-11 17:33:48,2024-10-23 19:02:40.000000,2024-10-23 19:00:48,551.0,,102.0,18.0,545.0,42.0,238.0,325.0,2024-10-23 19:02:40,0.5.2,62.0,481.0,481.0,48.0,https://www.npmjs.com/package/tbd54566975/dwn-sdk-js,,,1.0,,,,,,,,,,,,,,,,decentralized-identity/dwn-sdk-js,,,,
91,satosa,https://github.com/IdentityPython/SATOSA,authentication,"Proxy translating between different authentication protocols (SAML2, OpenID Connect and OAuth2).",,,21,True,IdentityPython/satosa,,https://github.com/IdentityPython/SATOSA,Apache-2.0,2015-09-02 07:08:03,2025-02-17 10:37:28.000000,2025-02-17 10:37:28,1754.0,9.0,119.0,27.0,361.0,49.0,75.0,214.0,2025-02-10 16:01:17,8.5.1,51.0,38.0,38.0,56.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
92,facenet,https://github.com/davidsandberg/facenet,biometrics,Face recognition using Tensorflow.,,,20,False,davidsandberg/facenet,,https://github.com/davidsandberg/facenet,MIT,2016-02-12 22:14:40,2023-07-24 12:43:21.000000,2018-04-16 17:32:11,566.0,,4690.0,558.0,122.0,509.0,621.0,14005.0,,,,,,36.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
93,gotrue,https://github.com/netlify/gotrue,idp,An SWT based API for managing users and issuing SWT tokens.,,,20,True,netlify/gotrue,,https://github.com/netlify/gotrue,MIT,2016-05-16 23:14:24,2025-03-13 00:50:41.000000,2025-01-14 19:47:39,643.0,1.0,295.0,60.0,236.0,5.0,130.0,3995.0,2022-02-09 12:50:28,1.0.1,2.0,11.0,11.0,41.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
94,ladon,https://github.com/ory/ladon,authorization,A SDK for access control policies: authorization for the microservice and IoT age. Inspired by AWS IAM policies...,,['ory'],20,True,ory/ladon,,https://github.com/ory/ladon,Apache-2.0,2015-10-16 15:21:28,2025-03-12 16:19:08.000000,2025-03-12 16:19:03,164.0,11.0,221.0,63.0,107.0,3.0,58.0,2409.0,2024-03-06 13:35:30,1.3.0,41.0,,,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
95,appauth-ios,https://github.com/openid/AppAuth-iOS,authentication,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,,['openid'],20,True,openid/appauth-ios,,https://github.com/openid/AppAuth-iOS,Apache-2.0,2016-02-11 14:38:23,2024-11-28 00:10:31.000000,2024-11-26 00:53:33,411.0,,741.0,96.0,346.0,176.0,359.0,1834.0,2024-11-26 01:35:07,1.7.6,32.0,,,52.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
96,indy-node,https://github.com/hyperledger/indy-node,ssi-sdks,The server portion of a distributed ledger purpose-built for decentralized identity.,,['hyperledger'],20,True,hyperledger/indy-node,,https://github.com/hyperledger/indy-node,Apache-2.0,2016-12-21 05:45:04,2025-03-10 21:46:47.000000,2025-02-24 16:33:21,4946.0,17.0,655.0,64.0,1821.0,38.0,60.0,693.0,2024-02-09 14:17:29,1.13.2,37.0,,,110.0,,,11.0,2.0,799.0,,,,,,,,,,,,,,,,,,,
97,webauthn-ruby,https://github.com/cedarcode/webauthn-ruby,authentication,WebAuthn ruby server library Make your Ruby/Rails web server become a conformant WebAuthn Relying Party.,,,20,True,cedarcode/webauthn-ruby,,https://github.com/cedarcode/webauthn-ruby,MIT,2018-05-09 21:49:17,2025-03-11 18:46:36.000000,2025-02-17 17:26:42,957.0,17.0,59.0,11.0,327.0,5.0,112.0,682.0,,,,1038.0,1038.0,35.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,laragear-webauthn,https://github.com/Laragear/WebAuthn,authentication,"Authenticate users with Passkeys: fingerprints, patterns and biometric data.",,,20,True,laragear/webauthn,,https://github.com/Laragear/WebAuthn,MIT,2022-06-14 09:13:53,2025-02-16 06:57:59.000000,2025-02-16 06:57:56,162.0,22.0,40.0,3.0,59.0,,43.0,333.0,2025-02-16 06:44:03,4.0.0,22.0,66.0,66.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
99,aries-framework-go,https://github.com/hyperledger-aries/aries-framework-go,ssi-sdks,Hyperledger Aries Framework Go provides packages for building Agent / DIDComm services.,,['hyperledger'],20,True,hyperledger/aries-framework-go,,https://github.com/hyperledger-aries/aries-framework-go,Apache-2.0,2019-07-09 20:45:08,2024-03-27 16:44:00.000000,2024-03-27 16:36:25,3197.0,,159.0,19.0,2046.0,388.0,1196.0,238.0,2023-05-09 10:57:15,0.3.2,14.0,3.0,3.0,62.0,,,,2.0,,,,,,,,,,,,,,,,hyperledger-aries/aries-framework-go,,,,
100,opensk,https://github.com/google/OpenSK,authentication,OpenSK is an open-source implementation for security keys written in Rust that supports both FIDO U2F and FIDO2..,,['cncf'],19,True,google/OpenSK,,https://github.com/google/OpenSK,Apache-2.0,2019-12-17 18:55:43,2025-03-14 17:54:35.000000,2025-03-14 16:30:35,1304.0,4.0,286.0,89.0,519.0,30.0,168.0,3096.0,2021-06-23 10:02:43,ctap2.0,1.0,,,23.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
101,ja3,https://github.com/salesforce/ja3,pki,JA3 is a standard for creating SSL client fingerprints in an easy to produce and shareable way.,,,19,False,salesforce/ja3,,https://github.com/salesforce/ja3,BSD-3-Clause,2017-06-13 22:54:10,2023-10-20 20:55:26.000000,2023-10-20 20:55:26,151.0,,296.0,93.0,43.0,28.0,24.0,2889.0,,,,,,26.0,,,1632.0,3.0,,,,,,,pyja3,https://pypi.org/project/pyja3,1632.0,,,,,,,,,,,
102,webauthn4j,https://github.com/webauthn4j/webauthn4j,authentication,A portable Java library for WebAuthn(Passkeys) server side verification.,,,19,True,webauthn4j/webauthn4j,,https://github.com/webauthn4j/webauthn4j,Apache-2.0,2018-05-20 12:14:36,2025-03-17 14:50:08.000000,2025-03-17 14:49:09,2563.0,59.0,79.0,19.0,916.0,5.0,131.0,480.0,2025-03-01 14:55:15,0.28.6.RELEASE,74.0,,,32.0,,,,3.0,,,,,,,,,,,,com.webauthn4j:webauthn4j-core,https://search.maven.org/artifact/com.webauthn4j/webauthn4j-core,,,,,,,
103,aries-rfcs,https://github.com/decentralized-identity/aries-rfcs,specs,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",,['hyperledger'],19,True,hyperledger/aries-rfcs,,https://github.com/decentralized-identity/aries-rfcs,Apache-2.0,2019-05-08 16:49:20,2025-03-17 11:25:43.000000,2025-03-12 15:21:23,2409.0,27.0,213.0,54.0,642.0,56.0,175.0,331.0,,,,,,93.0,,,,1.0,,,,,,,,,,,,,,,,decentralized-identity/aries-rfcs,,,,
104,tbd-ssi-sdk,https://github.com/TBD54566975/ssi-sdk,ssi-sdks,self sovereign identity sdk.,,['web5'],19,True,tbd54566975/ssi-sdk,,https://github.com/TBD54566975/ssi-sdk,Apache-2.0,2022-02-02 20:20:10,2024-12-11 23:50:38.000000,2024-10-03 18:09:33,367.0,,56.0,13.0,399.0,49.0,107.0,210.0,2024-10-03 18:13:37,0.0.1-beta,5.0,57.0,57.0,23.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
105,aries-mobile-agent-react-native,https://github.com/openwallet-foundation/bifold-wallet,ssi-agents,Bifold is an extensible open-source React Native project designed to enhance the way we interact with digital..,,['hyperledger'],19,True,hyperledger/aries-mobile-agent-react-native,,https://github.com/openwallet-foundation/bifold-wallet,Apache-2.0,2020-11-06 19:58:19,2025-03-18 18:48:59.000000,2025-03-18 18:48:59,1938.0,76.0,142.0,24.0,1180.0,45.0,232.0,162.0,,,,,,55.0,,,,2.0,,,,,,,,,,,,,,,,openwallet-foundation/bifold-wallet,,,,
